Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,35.56,1,35.56,35.56,35.56,0
host,acl,aclrtCreateEvent,6.67,2,3.335,0.89,5.78,5.978
host,acl,aclrtCreateStream,1346.85,1,1346.85,1346.85,1346.85,0
host,acl,aclrtDestroyEvent,8.26,2,4.13,3.15,5.11,0.96
host,acl,aclrtDestroyStream,828.89,1,828.89,828.89,828.89,0
host,acl,aclrtFree,13.48,6,2.247,1.35,5.02,1.591
host,acl,aclrtLaunchKernelWithHostArgs,1783.37,700,2.548,1.7,324.09,148.801
host,acl,aclrtMalloc,21.18,6,3.53,1.57,11.91,14.219
host,acl,aclrtMemcpy,199.85,6,33.308,19.13,78.22,419.514
host,acl,aclrtRecordEvent,196.64,10,19.664,6.01,82.24,443.811
host,acl,aclrtResetDevice,470532.22,1,470532.22,470532.22,470532.22,0
host,acl,aclrtSynchronizeStream,8879.97,6,1479.995,803.67,2942.33,458391.642
