Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,46,add_kernel,N/A,N/A,N/A,1784177144514943.513	,13.780,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229458,0.0,0.026,0.0,0.225,0.0,0.481,0.0,0.086,0.137,0.000
0,4294967295,1,46,add_kernel,N/A,N/A,N/A,1784177144514957.993	,13.521,0.720000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234470,0.0,0.026,0.0,0.253,0.0,0.471,0.0,0.104,0.139,0.000
0,4294967295,2,46,add_kernel,N/A,N/A,N/A,1784177144514972.254	,12.340,0.729000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204110,0.0,0.029,0.0,0.251,0.0,0.461,0.0,0.091,0.138,0.000
0,4294967295,3,46,add_kernel,N/A,N/A,N/A,1784177144514985.334	,9.680,0.660000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151413,0.0,0.04,0.0,0.182,0.0,0.627,0.0,0.141,0.051,0.000
0,4294967295,4,46,add_kernel,N/A,N/A,N/A,1784177144514995.714	,9.800,0.820000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159704,0.0,0.038,0.0,0.126,0.0,0.705,0.0,0.17,0.0,0.000
0,4294967295,5,46,add_kernel,N/A,N/A,N/A,1784177144515006.254	,9.321,0.700000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147072,0.0,0.041,0.0,0.14,0.0,0.713,0.0,0.148,0.0,0.000
0,4294967295,6,46,add_kernel,N/A,N/A,N/A,1784177144515016.315	,9.800,0.679000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150674,0.0,0.04,0.0,0.136,0.0,0.741,0.0,0.123,0.0,0.000
0,4294967295,7,46,add_kernel,N/A,N/A,N/A,1784177144515026.835	,9.620,0.700000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162225,0.0,0.037,0.0,0.121,0.0,0.673,0.0,0.205,0.0,0.000
0,4294967295,8,46,add_kernel,N/A,N/A,N/A,1784177144515037.195	,9.760,0.880000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160788,0.0,0.037,0.0,0.121,0.0,0.739,0.0,0.139,0.0,0.000
0,4294967295,9,46,add_kernel,N/A,N/A,N/A,1784177144515047.675	,9.960,0.740000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150063,0.0,0.04,0.0,0.15,0.0,0.709,0.0,0.141,0.0,0.000
