Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177144507567.326	,1784177144507567.326	
0,add_kernel,KERNEL_AIVEC,46,0,13.780,1784177144514943.513	,1784177144514957.293	
0,add_kernel,KERNEL_AIVEC,46,1,13.520,1784177144514957.993	,1784177144514971.514	
0,add_kernel,KERNEL_AIVEC,46,2,12.340,1784177144514972.254	,1784177144514984.594	
0,add_kernel,KERNEL_AIVEC,46,3,9.680,1784177144514985.334	,1784177144514995.014	
0,add_kernel,KERNEL_AIVEC,46,4,9.800,1784177144514995.714	,1784177144515005.514	
0,add_kernel,KERNEL_AIVEC,46,5,9.320,1784177144515006.254	,1784177144515015.575	
0,add_kernel,KERNEL_AIVEC,46,6,9.800,1784177144515016.315	,1784177144515026.115	
0,add_kernel,KERNEL_AIVEC,46,7,9.620,1784177144515026.835	,1784177144515036.455	
0,add_kernel,KERNEL_AIVEC,46,8,9.760,1784177144515037.195	,1784177144515046.955	
0,add_kernel,KERNEL_AIVEC,46,9,9.960,1784177144515047.675	,1784177144515057.635	
0,add_kernel,KERNEL_AIVEC,46,10,2.480,1784177144515058.335	,1784177144515060.815	
0,add_kernel,KERNEL_AIVEC,46,11,2.620,1784177144515061.515	,1784177144515064.135	
0,add_kernel,KERNEL_AIVEC,46,12,2.600,1784177144515064.856	,1784177144515067.456	
0,add_kernel,KERNEL_AIVEC,46,13,2.600,1784177144515068.156	,1784177144515070.756	
0,add_kernel,KERNEL_AIVEC,46,14,2.480,1784177144515071.476	,1784177144515073.956	
0,add_kernel,KERNEL_AIVEC,46,15,2.580,1784177144515074.676	,1784177144515077.256	
0,add_kernel,KERNEL_AIVEC,46,16,2.540,1784177144515077.956	,1784177144515080.496	
0,add_kernel,KERNEL_AIVEC,46,17,2.540,1784177144515081.216	,1784177144515083.756	
0,add_kernel,KERNEL_AIVEC,46,18,2.580,1784177144515084.476	,1784177144515087.056	
0,add_kernel,KERNEL_AIVEC,46,19,2.520,1784177144515087.776	,1784177144515090.296	
0,add_kernel,KERNEL_AIVEC,46,20,2.520,1784177144515090.996	,1784177144515093.516	
0,add_kernel,KERNEL_AIVEC,46,21,2.600,1784177144515094.216	,1784177144515096.816	
0,add_kernel,KERNEL_AIVEC,46,22,2.700,1784177144515097.536	,1784177144515100.236	
0,add_kernel,KERNEL_AIVEC,46,23,2.600,1784177144515102.336	,1784177144515104.936	
0,add_kernel,KERNEL_AIVEC,46,24,2.560,1784177144515108.716	,1784177144515111.276	
0,add_kernel,KERNEL_AIVEC,46,25,2.600,1784177144515115.197	,1784177144515117.797	
0,add_kernel,KERNEL_AIVEC,46,26,2.560,1784177144515121.597	,1784177144515124.157	
0,add_kernel,KERNEL_AIVEC,46,27,2.520,1784177144515128.097	,1784177144515130.617	
0,add_kernel,KERNEL_AIVEC,46,28,2.520,1784177144515134.657	,1784177144515137.177	
0,add_kernel,KERNEL_AIVEC,46,29,2.520,1784177144515141.097	,1784177144515143.617	
0,add_kernel,KERNEL_AIVEC,46,30,2.460,1784177144515147.577	,1784177144515150.037	
0,add_kernel,KERNEL_AIVEC,46,31,2.560,1784177144515154.157	,1784177144515156.717	
0,add_kernel,KERNEL_AIVEC,46,32,2.640,1784177144515160.717	,1784177144515163.357	
0,add_kernel,KERNEL_AIVEC,46,33,2.600,1784177144515167.358	,1784177144515169.958	
0,add_kernel,KERNEL_AIVEC,46,34,2.520,1784177144515174.138	,1784177144515176.658	
0,add_kernel,KERNEL_AIVEC,46,35,2.540,1784177144515180.718	,1784177144515183.258	
