Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177175991805.200	,1784177175991805.200	
0,add_kernel,KERNEL_AIVEC,46,0,22.540,1784177176005318.030	,1784177176005340.571	
0,add_kernel,KERNEL_AIVEC,46,1,16.540,1784177176005341.231	,1784177176005357.771	
0,add_kernel,KERNEL_AIVEC,46,2,7.020,1784177176005358.471	,1784177176005365.491	
0,add_kernel,KERNEL_AIVEC,46,3,7.480,1784177176005366.191	,1784177176005373.671	
0,add_kernel,KERNEL_AIVEC,46,4,6.820,1784177176005374.371	,1784177176005381.191	
0,add_kernel,KERNEL_AIVEC,46,5,7.340,1784177176005381.871	,1784177176005389.212	
0,add_kernel,KERNEL_AIVEC,46,6,6.840,1784177176005389.912	,1784177176005396.752	
0,add_kernel,KERNEL_AIVEC,46,7,7.500,1784177176005397.412	,1784177176005404.912	
0,add_kernel,KERNEL_AIVEC,46,8,6.960,1784177176005405.612	,1784177176005412.572	
0,add_kernel,KERNEL_AIVEC,46,9,7.300,1784177176005413.252	,1784177176005420.552	
0,add_kernel,KERNEL_AIVEC,46,10,6.960,1784177176005421.232	,1784177176005428.192	
0,add_kernel,KERNEL_AIVEC,46,11,7.440,1784177176005428.852	,1784177176005436.292	
0,add_kernel,KERNEL_AIVEC,46,12,6.820,1784177176005436.973	,1784177176005443.793	
0,add_kernel,KERNEL_AIVEC,46,13,7.380,1784177176005444.453	,1784177176005451.833	
0,add_kernel,KERNEL_AIVEC,46,14,7.080,1784177176005452.493	,1784177176005459.573	
0,add_kernel,KERNEL_AIVEC,46,15,7.400,1784177176005460.233	,1784177176005467.633	
0,add_kernel,KERNEL_AIVEC,46,16,7.020,1784177176005468.313	,1784177176005475.333	
0,add_kernel,KERNEL_AIVEC,46,17,7.420,1784177176005476.013	,1784177176005483.433	
0,add_kernel,KERNEL_AIVEC,46,18,6.940,1784177176005484.113	,1784177176005491.054	
0,add_kernel,KERNEL_AIVEC,46,19,7.460,1784177176005491.734	,1784177176005499.194	
0,add_kernel,KERNEL_AIVEC,46,20,7.020,1784177176005499.854	,1784177176005506.874	
0,add_kernel,KERNEL_AIVEC,46,21,7.340,1784177176005507.534	,1784177176005514.874	
0,add_kernel,KERNEL_AIVEC,46,22,6.860,1784177176005515.574	,1784177176005522.434	
0,add_kernel,KERNEL_AIVEC,46,23,7.440,1784177176005523.154	,1784177176005530.594	
0,add_kernel,KERNEL_AIVEC,46,24,6.940,1784177176005531.274	,1784177176005538.215	
0,add_kernel,KERNEL_AIVEC,46,25,7.400,1784177176005538.875	,1784177176005546.275	
0,add_kernel,KERNEL_AIVEC,46,26,6.880,1784177176005546.955	,1784177176005553.835	
0,add_kernel,KERNEL_AIVEC,46,27,7.400,1784177176005554.495	,1784177176005561.895	
0,add_kernel,KERNEL_AIVEC,46,28,6.860,1784177176005562.575	,1784177176005569.435	
0,add_kernel,KERNEL_AIVEC,46,29,7.360,1784177176005570.095	,1784177176005577.455	
0,add_kernel,KERNEL_AIVEC,46,30,6.820,1784177176005578.135	,1784177176005584.955	
0,add_kernel,KERNEL_AIVEC,46,31,7.260,1784177176005585.635	,1784177176005592.896	
0,add_kernel,KERNEL_AIVEC,46,32,6.840,1784177176005593.576	,1784177176005600.416	
0,add_kernel,KERNEL_AIVEC,46,33,7.360,1784177176005601.096	,1784177176005608.456	
0,add_kernel,KERNEL_AIVEC,46,34,6.880,1784177176005609.116	,1784177176005615.996	
0,add_kernel,KERNEL_AIVEC,46,35,7.340,1784177176005616.676	,1784177176005624.016	
0,add_kernel,KERNEL_AIVEC,46,36,6.900,1784177176005624.716	,1784177176005631.616	
0,add_kernel,KERNEL_AIVEC,46,37,7.360,1784177176005632.296	,1784177176005639.657	
0,add_kernel,KERNEL_AIVEC,46,38,6.960,1784177176005640.317	,1784177176005647.277	
0,add_kernel,KERNEL_AIVEC,46,39,7.420,1784177176005647.957	,1784177176005655.377	
0,add_kernel,KERNEL_AIVEC,46,40,6.860,1784177176005656.037	,1784177176005662.897	
0,add_kernel,KERNEL_AIVEC,46,41,7.180,1784177176005663.557	,1784177176005670.737	
