Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177154884312.151	,1784177154884312.151	
0,add_kernel,KERNEL_AIVEC,46,0,19.260,1784177154891714.219	,1784177154891733.480	
0,add_kernel,KERNEL_AIVEC,46,1,18.620,1784177154891734.160	,1784177154891752.780	
0,add_kernel,KERNEL_AIVEC,46,2,18.800,1784177154891753.500	,1784177154891772.300	
0,add_kernel,KERNEL_AIVEC,46,3,15.160,1784177154891773.000	,1784177154891788.161	
0,add_kernel,KERNEL_AIVEC,46,4,14.640,1784177154891788.881	,1784177154891803.521	
0,add_kernel,KERNEL_AIVEC,46,5,14.100,1784177154891804.221	,1784177154891818.321	
0,add_kernel,KERNEL_AIVEC,46,6,13.560,1784177154891819.041	,1784177154891832.602	
0,add_kernel,KERNEL_AIVEC,46,7,14.340,1784177154891833.322	,1784177154891847.662	
0,add_kernel,KERNEL_AIVEC,46,8,14.080,1784177154891848.422	,1784177154891862.502	
0,add_kernel,KERNEL_AIVEC,46,9,15.060,1784177154891863.182	,1784177154891878.243	
0,add_kernel,KERNEL_AIVEC,46,10,2.960,1784177154891878.963	,1784177154891881.923	
0,add_kernel,KERNEL_AIVEC,46,11,3.120,1784177154891882.603	,1784177154891885.723	
0,add_kernel,KERNEL_AIVEC,46,12,3.140,1784177154891886.423	,1784177154891889.563	
0,add_kernel,KERNEL_AIVEC,46,13,3.100,1784177154891890.243	,1784177154891893.343	
0,add_kernel,KERNEL_AIVEC,46,14,3.060,1784177154891894.003	,1784177154891897.063	
0,add_kernel,KERNEL_AIVEC,46,15,3.120,1784177154891897.723	,1784177154891900.843	
0,add_kernel,KERNEL_AIVEC,46,16,3.160,1784177154891901.543	,1784177154891904.703	
0,add_kernel,KERNEL_AIVEC,46,17,3.040,1784177154891905.363	,1784177154891908.403	
0,add_kernel,KERNEL_AIVEC,46,18,3.080,1784177154891909.083	,1784177154891912.163	
0,add_kernel,KERNEL_AIVEC,46,19,3.120,1784177154891912.903	,1784177154891916.023	
0,add_kernel,KERNEL_AIVEC,46,20,2.980,1784177154891916.683	,1784177154891919.663	
0,add_kernel,KERNEL_AIVEC,46,21,3.140,1784177154891920.343	,1784177154891923.483	
0,add_kernel,KERNEL_AIVEC,46,22,3.180,1784177154891924.163	,1784177154891927.343	
0,add_kernel,KERNEL_AIVEC,46,23,3.080,1784177154891928.024	,1784177154891931.104	
0,add_kernel,KERNEL_AIVEC,46,24,2.960,1784177154891931.784	,1784177154891934.744	
0,add_kernel,KERNEL_AIVEC,46,25,3.080,1784177154891935.424	,1784177154891938.504	
0,add_kernel,KERNEL_AIVEC,46,26,3.120,1784177154891939.164	,1784177154891942.284	
0,add_kernel,KERNEL_AIVEC,46,27,3.020,1784177154891942.964	,1784177154891945.984	
0,add_kernel,KERNEL_AIVEC,46,28,3.040,1784177154891946.644	,1784177154891949.684	
0,add_kernel,KERNEL_AIVEC,46,29,3.040,1784177154891950.344	,1784177154891953.384	
0,add_kernel,KERNEL_AIVEC,46,30,2.940,1784177154891954.064	,1784177154891957.004	
0,add_kernel,KERNEL_AIVEC,46,31,3.100,1784177154891957.684	,1784177154891960.784	
0,add_kernel,KERNEL_AIVEC,46,32,3.160,1784177154891961.444	,1784177154891964.604	
0,add_kernel,KERNEL_AIVEC,46,33,3.100,1784177154891967.944	,1784177154891971.044	
0,add_kernel,KERNEL_AIVEC,46,34,3.000,1784177154891974.904	,1784177154891977.904	
0,add_kernel,KERNEL_AIVEC,46,35,3.080,1784177154891981.385	,1784177154891984.465	
0,add_kernel,KERNEL_AIVEC,46,36,3.160,1784177154891988.105	,1784177154891991.265	
0,add_kernel,KERNEL_AIVEC,46,37,3.420,1784177154891994.685	,1784177154891998.105	
0,add_kernel,KERNEL_AIVEC,46,38,3.140,1784177154892001.385	,1784177154892004.525	
0,add_kernel,KERNEL_AIVEC,46,39,3.040,1784177154892007.925	,1784177154892010.965	
0,add_kernel,KERNEL_AIVEC,46,40,2.940,1784177154892014.865	,1784177154892017.805	
0,add_kernel,KERNEL_AIVEC,46,41,3.160,1784177154892021.505	,1784177154892024.665	
0,add_kernel,KERNEL_AIVEC,46,42,3.080,1784177154892028.066	,1784177154892031.146	
0,add_kernel,KERNEL_AIVEC,46,43,3.120,1784177154892034.726	,1784177154892037.846	
0,add_kernel,KERNEL_AIVEC,46,44,3.100,1784177154892041.306	,1784177154892044.406	
0,add_kernel,KERNEL_AIVEC,46,45,3.160,1784177154892047.966	,1784177154892051.126	
0,add_kernel,KERNEL_AIVEC,46,46,3.140,1784177154892054.406	,1784177154892057.546	
0,add_kernel,KERNEL_AIVEC,46,47,3.000,1784177154892061.166	,1784177154892064.166	
0,add_kernel,KERNEL_AIVEC,46,48,3.080,1784177154892067.726	,1784177154892070.806	
0,add_kernel,KERNEL_AIVEC,46,49,3.020,1784177154892074.166	,1784177154892077.186	
0,add_kernel,KERNEL_AIVEC,46,50,2.980,1784177154892080.687	,1784177154892083.667	
0,add_kernel,KERNEL_AIVEC,46,51,3.140,1784177154892087.087	,1784177154892090.227	
0,add_kernel,KERNEL_AIVEC,46,52,3.180,1784177154892093.627	,1784177154892096.807	
0,add_kernel,KERNEL_AIVEC,46,53,3.140,1784177154892100.027	,1784177154892103.167	
0,add_kernel,KERNEL_AIVEC,46,54,3.060,1784177154892106.467	,1784177154892109.527	
0,add_kernel,KERNEL_AIVEC,46,55,3.180,1784177154892112.987	,1784177154892116.167	
0,add_kernel,KERNEL_AIVEC,46,56,3.080,1784177154892119.507	,1784177154892122.587	
0,add_kernel,KERNEL_AIVEC,46,57,3.000,1784177154892125.827	,1784177154892128.828	
0,add_kernel,KERNEL_AIVEC,46,58,3.020,1784177154892132.108	,1784177154892135.128	
0,add_kernel,KERNEL_AIVEC,46,59,3.360,1784177154892138.728	,1784177154892142.088	
0,add_kernel,KERNEL_AIVEC,46,60,2.980,1784177154892145.068	,1784177154892148.048	
0,add_kernel,KERNEL_AIVEC,46,61,3.120,1784177154892151.548	,1784177154892154.668	
0,add_kernel,KERNEL_AIVEC,46,62,3.140,1784177154892158.228	,1784177154892161.368	
0,add_kernel,KERNEL_AIVEC,46,63,3.120,1784177154892164.428	,1784177154892167.548	
0,add_kernel,KERNEL_AIVEC,46,64,3.060,1784177154892171.068	,1784177154892174.128	
