Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177183016427.021	,1784177183016427.041	
0,add_kernel,KERNEL_AIVEC,46,0,33.380,1784177183035256.338	,1784177183035289.718	
0,add_kernel,KERNEL_AIVEC,46,1,21.040,1784177183035290.398	,1784177183035311.439	
0,add_kernel,KERNEL_AIVEC,46,2,11.580,1784177183035312.139	,1784177183035323.719	
0,add_kernel,KERNEL_AIVEC,46,3,12.420,1784177183035324.459	,1784177183035336.879	
0,add_kernel,KERNEL_AIVEC,46,4,11.540,1784177183035337.579	,1784177183035349.120	
0,add_kernel,KERNEL_AIVEC,46,5,12.080,1784177183035349.820	,1784177183035361.900	
0,add_kernel,KERNEL_AIVEC,46,6,11.860,1784177183035362.620	,1784177183035374.480	
0,add_kernel,KERNEL_AIVEC,46,7,12.160,1784177183035375.180	,1784177183035387.340	
0,add_kernel,KERNEL_AIVEC,46,8,11.460,1784177183035388.060	,1784177183035399.521	
0,add_kernel,KERNEL_AIVEC,46,9,12.580,1784177183035400.181	,1784177183035412.761	
0,add_kernel,KERNEL_AIVEC,46,10,11.520,1784177183035413.421	,1784177183035424.941	
0,add_kernel,KERNEL_AIVEC,46,11,12.140,1784177183035425.621	,1784177183035437.761	
0,add_kernel,KERNEL_AIVEC,46,12,11.460,1784177183035438.461	,1784177183035449.922	
0,add_kernel,KERNEL_AIVEC,46,13,12.040,1784177183035450.642	,1784177183035462.682	
0,add_kernel,KERNEL_AIVEC,46,14,11.560,1784177183035463.442	,1784177183035475.002	
0,add_kernel,KERNEL_AIVEC,46,15,11.980,1784177183035475.742	,1784177183035487.722	
0,add_kernel,KERNEL_AIVEC,46,16,11.580,1784177183035488.582	,1784177183035500.163	
0,add_kernel,KERNEL_AIVEC,46,17,12.220,1784177183035500.823	,1784177183035513.043	
0,add_kernel,KERNEL_AIVEC,46,18,11.500,1784177183035513.723	,1784177183035525.223	
0,add_kernel,KERNEL_AIVEC,46,19,12.540,1784177183035525.903	,1784177183035538.443	
0,add_kernel,KERNEL_AIVEC,46,20,11.460,1784177183035539.103	,1784177183035550.564	
0,add_kernel,KERNEL_AIVEC,46,21,12.440,1784177183035551.264	,1784177183035563.704	
0,add_kernel,KERNEL_AIVEC,46,22,12.280,1784177183035564.364	,1784177183035576.644	
0,add_kernel,KERNEL_AIVEC,46,23,12.120,1784177183035577.344	,1784177183035589.464	
0,add_kernel,KERNEL_AIVEC,46,24,12.020,1784177183035590.164	,1784177183035602.185	
0,add_kernel,KERNEL_AIVEC,46,25,12.560,1784177183035602.845	,1784177183035615.405	
0,add_kernel,KERNEL_AIVEC,46,26,11.480,1784177183035616.085	,1784177183035627.565	
0,add_kernel,KERNEL_AIVEC,46,27,12.280,1784177183035628.245	,1784177183035640.525	
0,add_kernel,KERNEL_AIVEC,46,28,11.480,1784177183035641.245	,1784177183035652.726	
0,add_kernel,KERNEL_AIVEC,46,29,12.020,1784177183035653.386	,1784177183035665.406	
0,add_kernel,KERNEL_AIVEC,46,30,11.560,1784177183035666.086	,1784177183035677.646	
0,add_kernel,KERNEL_AIVEC,46,31,12.120,1784177183035678.366	,1784177183035690.486	
0,add_kernel,KERNEL_AIVEC,46,32,11.440,1784177183035691.206	,1784177183035702.647	
0,add_kernel,KERNEL_AIVEC,46,33,12.020,1784177183035703.327	,1784177183035715.347	
0,add_kernel,KERNEL_AIVEC,46,34,11.440,1784177183035716.007	,1784177183035727.447	
0,add_kernel,KERNEL_AIVEC,46,35,12.260,1784177183035728.107	,1784177183035740.367	
0,add_kernel,KERNEL_AIVEC,46,36,12.080,1784177183035741.027	,1784177183035753.108	
0,add_kernel,KERNEL_AIVEC,46,37,12.240,1784177183035753.788	,1784177183035766.028	
0,add_kernel,KERNEL_AIVEC,46,38,11.920,1784177183035766.708	,1784177183035778.628	
0,add_kernel,KERNEL_AIVEC,46,39,12.540,1784177183035779.288	,1784177183035791.828	
0,add_kernel,KERNEL_AIVEC,46,40,11.520,1784177183035792.488	,1784177183035804.009	
0,add_kernel,KERNEL_AIVEC,46,41,12.160,1784177183035804.689	,1784177183035816.849	
0,add_kernel,KERNEL_AIVEC,46,42,11.480,1784177183035817.569	,1784177183035829.049	
0,add_kernel,KERNEL_AIVEC,46,43,12.020,1784177183035829.729	,1784177183035841.749	
