Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177161919822.666	,1784177161919822.666	
0,add_kernel,KERNEL_AIVEC,46,0,17.680,1784177161928814.945	,1784177161928832.626	
0,add_kernel,KERNEL_AIVEC,46,1,16.020,1784177161928833.326	,1784177161928849.346	
0,add_kernel,KERNEL_AIVEC,46,2,13.660,1784177161928850.086	,1784177161928863.746	
0,add_kernel,KERNEL_AIVEC,46,3,11.880,1784177161928864.486	,1784177161928876.367	
0,add_kernel,KERNEL_AIVEC,46,4,11.320,1784177161928877.107	,1784177161928888.427	
0,add_kernel,KERNEL_AIVEC,46,5,3.580,1784177161928889.167	,1784177161928892.747	
0,add_kernel,KERNEL_AIVEC,46,6,3.740,1784177161928893.447	,1784177161928897.187	
0,add_kernel,KERNEL_AIVEC,46,7,3.640,1784177161928897.887	,1784177161928901.527	
0,add_kernel,KERNEL_AIVEC,46,8,3.560,1784177161928902.247	,1784177161928905.807	
0,add_kernel,KERNEL_AIVEC,46,9,3.840,1784177161928906.507	,1784177161928910.347	
0,add_kernel,KERNEL_AIVEC,46,10,3.580,1784177161928911.067	,1784177161928914.647	
0,add_kernel,KERNEL_AIVEC,46,11,3.660,1784177161928915.347	,1784177161928919.008	
0,add_kernel,KERNEL_AIVEC,46,12,3.700,1784177161928919.728	,1784177161928923.428	
0,add_kernel,KERNEL_AIVEC,46,13,3.580,1784177161928924.128	,1784177161928927.708	
0,add_kernel,KERNEL_AIVEC,46,14,3.700,1784177161928928.408	,1784177161928932.108	
0,add_kernel,KERNEL_AIVEC,46,15,3.580,1784177161928932.808	,1784177161928936.388	
0,add_kernel,KERNEL_AIVEC,46,16,3.720,1784177161928937.088	,1784177161928940.808	
0,add_kernel,KERNEL_AIVEC,46,17,3.720,1784177161928941.508	,1784177161928945.228	
0,add_kernel,KERNEL_AIVEC,46,18,3.660,1784177161928945.928	,1784177161928949.588	
0,add_kernel,KERNEL_AIVEC,46,19,3.780,1784177161928950.288	,1784177161928954.068	
0,add_kernel,KERNEL_AIVEC,46,20,3.660,1784177161928954.768	,1784177161928958.428	
