Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,32.16,1,32.16,32.16,32.16,0
host,acl,aclrtCreateEvent,8.85,2,4.425,0.92,7.93,12.285
host,acl,aclrtCreateStream,893.42,1,893.42,893.42,893.42,0
host,acl,aclrtDestroyEvent,8.52,2,4.26,3.23,5.29,1.061
host,acl,aclrtDestroyStream,876.42,1,876.42,876.42,876.42,0
host,acl,aclrtFree,17.34,6,2.89,1.42,7.49,4.435
host,acl,aclrtLaunchKernelWithHostArgs,1656.26,700,2.366,1.92,115.45,18.695
host,acl,aclrtMalloc,294.59,6,49.098,10.15,98.7,670.95
host,acl,aclrtMemcpy,21905.44,6,3650.907,28.1,4644.42,2641911.038
host,acl,aclrtRecordEvent,195.93,10,19.593,6.57,77.21,377.363
host,acl,aclrtResetDevice,412066.36,1,412066.36,412066.36,412066.36,0
host,acl,aclrtSynchronizeStream,13738.47,6,2289.745,1947.83,3915.17,528481.021
