Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177168952212.005	,1784177168952212.025	
0,add_kernel,KERNEL_AIVEC,46,0,14.940,1784177168960028.741	,1784177168960043.681	
0,add_kernel,KERNEL_AIVEC,46,1,10.600,1784177168960044.341	,1784177168960054.941	
0,add_kernel,KERNEL_AIVEC,46,2,4.640,1784177168960055.662	,1784177168960060.302	
0,add_kernel,KERNEL_AIVEC,46,3,4.820,1784177168960060.982	,1784177168960065.802	
0,add_kernel,KERNEL_AIVEC,46,4,4.640,1784177168960066.462	,1784177168960071.102	
0,add_kernel,KERNEL_AIVEC,46,5,4.920,1784177168960071.822	,1784177168960076.742	
0,add_kernel,KERNEL_AIVEC,46,6,4.660,1784177168960077.402	,1784177168960082.062	
0,add_kernel,KERNEL_AIVEC,46,7,4.920,1784177168960082.742	,1784177168960087.662	
0,add_kernel,KERNEL_AIVEC,46,8,4.600,1784177168960088.382	,1784177168960092.982	
0,add_kernel,KERNEL_AIVEC,46,9,4.760,1784177168960093.662	,1784177168960098.422	
0,add_kernel,KERNEL_AIVEC,46,10,4.600,1784177168960099.082	,1784177168960103.682	
0,add_kernel,KERNEL_AIVEC,46,11,4.780,1784177168960104.342	,1784177168960109.123	
0,add_kernel,KERNEL_AIVEC,46,12,4.620,1784177168960109.803	,1784177168960114.423	
0,add_kernel,KERNEL_AIVEC,46,13,5.040,1784177168960115.103	,1784177168960120.143	
0,add_kernel,KERNEL_AIVEC,46,14,4.640,1784177168960120.803	,1784177168960125.443	
0,add_kernel,KERNEL_AIVEC,46,15,4.820,1784177168960126.123	,1784177168960130.943	
0,add_kernel,KERNEL_AIVEC,46,16,4.640,1784177168960131.623	,1784177168960136.263	
0,add_kernel,KERNEL_AIVEC,46,17,4.740,1784177168960137.123	,1784177168960141.863	
0,add_kernel,KERNEL_AIVEC,46,18,4.700,1784177168960143.603	,1784177168960148.303	
0,add_kernel,KERNEL_AIVEC,46,19,4.820,1784177168960150.003	,1784177168960154.823	
0,add_kernel,KERNEL_AIVEC,46,20,4.660,1784177168960156.364	,1784177168960161.024	
0,add_kernel,KERNEL_AIVEC,46,21,4.860,1784177168960162.824	,1784177168960167.684	
0,add_kernel,KERNEL_AIVEC,46,22,4.700,1784177168960169.064	,1784177168960173.764	
0,add_kernel,KERNEL_AIVEC,46,23,4.940,1784177168960175.324	,1784177168960180.264	
0,add_kernel,KERNEL_AIVEC,46,24,4.600,1784177168960181.864	,1784177168960186.464	
0,add_kernel,KERNEL_AIVEC,46,25,4.720,1784177168960188.024	,1784177168960192.744	
0,add_kernel,KERNEL_AIVEC,46,26,4.680,1784177168960194.324	,1784177168960199.004	
0,add_kernel,KERNEL_AIVEC,46,27,4.740,1784177168960200.604	,1784177168960205.345	
0,add_kernel,KERNEL_AIVEC,46,28,4.580,1784177168960206.925	,1784177168960211.505	
0,add_kernel,KERNEL_AIVEC,46,29,4.820,1784177168960213.165	,1784177168960217.985	
0,add_kernel,KERNEL_AIVEC,46,30,4.640,1784177168960219.465	,1784177168960224.105	
0,add_kernel,KERNEL_AIVEC,46,31,4.820,1784177168960225.805	,1784177168960230.625	
0,add_kernel,KERNEL_AIVEC,46,32,4.620,1784177168960232.385	,1784177168960237.005	
0,add_kernel,KERNEL_AIVEC,46,33,4.840,1784177168960238.965	,1784177168960243.805	
0,add_kernel,KERNEL_AIVEC,46,34,4.660,1784177168960245.545	,1784177168960250.205	
0,add_kernel,KERNEL_AIVEC,46,35,4.840,1784177168960252.185	,1784177168960257.026	
0,add_kernel,KERNEL_AIVEC,46,36,4.700,1784177168960258.766	,1784177168960263.466	
0,add_kernel,KERNEL_AIVEC,46,37,4.860,1784177168960265.286	,1784177168960270.146	
0,add_kernel,KERNEL_AIVEC,46,38,4.660,1784177168960271.906	,1784177168960276.566	
0,add_kernel,KERNEL_AIVEC,46,39,4.860,1784177168960278.426	,1784177168960283.286	
0,add_kernel,KERNEL_AIVEC,46,40,4.620,1784177168960284.966	,1784177168960289.586	
0,add_kernel,KERNEL_AIVEC,46,41,4.900,1784177168960291.486	,1784177168960296.386	
0,add_kernel,KERNEL_AIVEC,46,42,4.640,1784177168960297.966	,1784177168960302.606	
0,add_kernel,KERNEL_AIVEC,46,43,5.000,1784177168960304.466	,1784177168960309.467	
0,add_kernel,KERNEL_AIVEC,46,44,4.600,1784177168960310.887	,1784177168960315.487	
0,add_kernel,KERNEL_AIVEC,46,45,4.740,1784177168960317.407	,1784177168960322.147	
0,add_kernel,KERNEL_AIVEC,46,46,4.620,1784177168960323.847	,1784177168960328.467	
0,add_kernel,KERNEL_AIVEC,46,47,4.800,1784177168960330.327	,1784177168960335.127	
0,add_kernel,KERNEL_AIVEC,46,48,4.640,1784177168960336.807	,1784177168960341.447	
0,add_kernel,KERNEL_AIVEC,46,49,4.760,1784177168960343.167	,1784177168960347.927	
0,add_kernel,KERNEL_AIVEC,46,50,4.660,1784177168960349.567	,1784177168960354.227	
0,add_kernel,KERNEL_AIVEC,46,51,4.900,1784177168960355.968	,1784177168960360.868	
0,add_kernel,KERNEL_AIVEC,46,52,4.600,1784177168960362.428	,1784177168960367.028	
0,add_kernel,KERNEL_AIVEC,46,53,4.840,1784177168960368.848	,1784177168960373.688	
0,add_kernel,KERNEL_AIVEC,46,54,4.700,1784177168960375.268	,1784177168960379.968	
0,add_kernel,KERNEL_AIVEC,46,55,4.900,1784177168960381.668	,1784177168960386.568	
0,add_kernel,KERNEL_AIVEC,46,56,4.640,1784177168960388.128	,1784177168960392.768	
0,add_kernel,KERNEL_AIVEC,46,57,4.880,1784177168960394.428	,1784177168960399.308	
0,add_kernel,KERNEL_AIVEC,46,58,4.600,1784177168960400.788	,1784177168960405.388	
0,add_kernel,KERNEL_AIVEC,46,59,4.760,1784177168960407.149	,1784177168960411.909	
0,add_kernel,KERNEL_AIVEC,46,60,4.620,1784177168960413.529	,1784177168960418.149	
0,add_kernel,KERNEL_AIVEC,46,61,4.840,1784177168960419.869	,1784177168960424.709	
0,add_kernel,KERNEL_AIVEC,46,62,4.700,1784177168960426.209	,1784177168960430.909	
0,add_kernel,KERNEL_AIVEC,46,63,4.780,1784177168960432.589	,1784177168960437.369	
0,add_kernel,KERNEL_AIVEC,46,64,4.640,1784177168960438.989	,1784177168960443.629	
0,add_kernel,KERNEL_AIVEC,46,65,4.820,1784177168960445.449	,1784177168960450.269	
0,add_kernel,KERNEL_AIVEC,46,66,4.940,1784177168960451.929	,1784177168960456.870	
0,add_kernel,KERNEL_AIVEC,46,67,4.820,1784177168960458.430	,1784177168960463.250	
0,add_kernel,KERNEL_AIVEC,46,68,4.600,1784177168960464.930	,1784177168960469.530	
0,add_kernel,KERNEL_AIVEC,46,69,4.860,1784177168960471.430	,1784177168960476.290	
0,add_kernel,KERNEL_AIVEC,46,70,4.640,1784177168960477.870	,1784177168960482.510	
0,add_kernel,KERNEL_AIVEC,46,71,4.880,1784177168960484.650	,1784177168960489.530	
0,add_kernel,KERNEL_AIVEC,46,72,4.600,1784177168960490.910	,1784177168960495.510	
0,add_kernel,KERNEL_AIVEC,46,73,4.940,1784177168960497.370	,1784177168960502.310	
0,add_kernel,KERNEL_AIVEC,46,74,4.620,1784177168960503.790	,1784177168960508.411	
0,add_kernel,KERNEL_AIVEC,46,75,4.760,1784177168960510.171	,1784177168960514.931	
0,add_kernel,KERNEL_AIVEC,46,76,4.620,1784177168960516.631	,1784177168960521.251	
0,add_kernel,KERNEL_AIVEC,46,77,4.820,1784177168960523.051	,1784177168960527.871	
0,add_kernel,KERNEL_AIVEC,46,78,4.960,1784177168960529.571	,1784177168960534.531	
0,add_kernel,KERNEL_AIVEC,46,79,4.820,1784177168960535.991	,1784177168960540.811	
0,add_kernel,KERNEL_AIVEC,46,80,4.660,1784177168960542.411	,1784177168960547.071	
0,add_kernel,KERNEL_AIVEC,46,81,4.780,1784177168960548.771	,1784177168960553.551	
0,add_kernel,KERNEL_AIVEC,46,82,4.640,1784177168960555.151	,1784177168960559.792	
0,add_kernel,KERNEL_AIVEC,46,83,4.800,1784177168960561.512	,1784177168960566.312	
0,add_kernel,KERNEL_AIVEC,46,84,4.660,1784177168960567.832	,1784177168960572.492	
0,add_kernel,KERNEL_AIVEC,46,85,4.900,1784177168960574.352	,1784177168960579.252	
0,add_kernel,KERNEL_AIVEC,46,86,4.800,1784177168960580.552	,1784177168960585.352	
0,add_kernel,KERNEL_AIVEC,46,87,4.940,1784177168960586.892	,1784177168960591.832	
0,add_kernel,KERNEL_AIVEC,46,88,4.640,1784177168960593.212	,1784177168960597.852	
0,add_kernel,KERNEL_AIVEC,46,89,4.740,1784177168960599.512	,1784177168960604.252	
0,add_kernel,KERNEL_AIVEC,46,90,4.620,1784177168960605.873	,1784177168960610.493	
0,add_kernel,KERNEL_AIVEC,46,91,4.720,1784177168960612.213	,1784177168960616.933	
0,add_kernel,KERNEL_AIVEC,46,92,4.600,1784177168960618.633	,1784177168960623.233	
0,add_kernel,KERNEL_AIVEC,46,93,4.820,1784177168960625.073	,1784177168960629.893	
0,add_kernel,KERNEL_AIVEC,46,94,4.640,1784177168960631.213	,1784177168960635.853	
0,add_kernel,KERNEL_AIVEC,46,95,4.820,1784177168960637.453	,1784177168960642.273	
0,add_kernel,KERNEL_AIVEC,46,96,4.680,1784177168960643.893	,1784177168960648.573	
0,add_kernel,KERNEL_AIVEC,46,97,4.780,1784177168960650.433	,1784177168960655.213	
0,add_kernel,KERNEL_AIVEC,46,98,4.680,1784177168960656.914	,1784177168960661.594	
0,add_kernel,KERNEL_AIVEC,46,99,4.800,1784177168960663.434	,1784177168960668.234	
0,add_kernel,KERNEL_AIVEC,46,100,4.620,1784177168960669.954	,1784177168960674.574	
0,add_kernel,KERNEL_AIVEC,46,101,4.840,1784177168960676.514	,1784177168960681.354	
0,add_kernel,KERNEL_AIVEC,46,102,4.640,1784177168960683.094	,1784177168960687.734	
0,add_kernel,KERNEL_AIVEC,46,103,4.900,1784177168960689.554	,1784177168960694.454	
0,add_kernel,KERNEL_AIVEC,46,104,4.660,1784177168960696.034	,1784177168960700.694	
0,add_kernel,KERNEL_AIVEC,46,105,4.940,1784177168960702.474	,1784177168960707.415	
