Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220816722.850	,215.384,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,2,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220816734.570	,244.025,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,1,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220816836.712	,132.123,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,4009343,0.0,0.0,0.0,0.941,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.956
0,4294967295,3,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817278.121	,91.362,309.127000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,4,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817284.721	,116.643,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,3,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817291.822	,103.202,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3065168,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.002
0,4294967295,5,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817514.826	,56.681,119.798000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,6,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817516.306	,87.722,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,5,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817528.826	,70.682,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1986673,0.0,0.0,0.0,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.173
0,4294967295,7,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817733.370	,48.861,133.818000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,8,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817735.130	,68.082,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,7,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817743.391	,55.561,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1479195,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.675
0,4294967295,9,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817926.154	,38.721,127.189000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,10,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817926.994	,70.282,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,9,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220817939.754	,51.221,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1361000,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.519
0,4294967295,11,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220818133.638	,32.921,142.779000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,12,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220818135.338	,62.522,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,11,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177220818147.359	,44.181,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1133512,0.0,0.0,0.0,0.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.746
