Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,135.24,300,0.451,0.39,1.85,0.007
host,acl,aclmdlRICaptureThreadExchangeMode,3.16,2,1.58,1.47,1.69,0.012
host,acl,aclrtCreateEventExWithFlag,8.74,1,8.74,8.74,8.74,0
host,acl,aclrtCreateStreamWithConfig,1726.04,2,863.02,735.81,990.23,16182.384
host,acl,aclrtCtxSetSysParamOpt,1.47,1,1.47,1.47,1.47,0
host,acl,aclrtDestroyStreamForce,2758.25,1,2758.25,2758.25,2758.25,0
host,acl,aclrtGetCurrentContext,1.12,1,1.12,1.12,1.12,0
host,acl,aclrtGetStreamResLimit,298.82,604,0.495,0.28,1.94,0.039
host,acl,aclrtMemcpy,4367.62,4,1091.905,986.84,1235.89,10525.212
host,acl,aclrtRecordEvent,3587.15,300,11.957,7.3,120.83,255.29
host,acl,aclrtResetDevice,3.39,1,3.39,3.39,3.39,0
host,acl,aclrtSetDevice,42.16,1,42.16,42.16,42.16,0
host,acl,aclrtSetOpExecuteTimeOutV2,1186.62,1,1186.62,1186.62,1186.62,0
host,acl,aclrtSetStreamFailureMode,5.01,2,2.505,2.25,2.76,0.065
host,acl,aclrtStreamWaitEvent,2441.77,600,4.07,0.84,14.75,1.304
host,acl,aclrtSynchronizeDeviceWithTimeout,45.45,3,15.15,7.96,27,71.278
host,acl,aclrtSynchronizeStream,20.86,4,5.215,4.71,6.04,0.248
host,node,launch,6992.33,900,7.769,2.44,166.86,54.757
