Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177333533631.251	,1784177333533631.251	
0,N/A,TASK_TIMEOUT_SET,49,4,96.221,1784177333540432.547	,1784177333540528.769	
0,N/A,KERNEL_AICPU,43,0,3169.763,1784177335335694.456	,1784177335338864.219	
0,N/A,EVENT_RECORD,46,0,0.020,1784177335339078.804	,1784177335339078.824	
0,N/A,EVENT_WAIT,43,1,0.020,1784177335339085.324	,1784177335339085.344	
0,N/A,EVENT_WAIT,42,0,0.020,1784177335339086.404	,1784177335339086.424	
0,N/A,KERNEL_AICPU,42,1,214.044,1784177335339093.044	,1784177335339307.088	
0,N/A,KERNEL_AICPU,43,2,254.145,1784177335339098.964	,1784177335339353.109	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,138.822,1784177335339204.986	,1784177335339343.809	
0,N/A,EVENT_RECORD,46,2,0.020,1784177335339671.335	,1784177335339671.355	
0,N/A,EVENT_WAIT,43,3,0.000,1784177335339673.355	,1784177335339673.355	
0,N/A,EVENT_WAIT,42,2,0.020,1784177335339678.476	,1784177335339678.496	
0,N/A,KERNEL_AICPU,42,3,98.921,1784177335339685.036	,1784177335339783.958	
0,N/A,KERNEL_AICPU,43,4,127.362,1784177335339691.436	,1784177335339818.798	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,110.742,1784177335339699.096	,1784177335339809.838	
0,N/A,EVENT_WAIT,43,5,4.260,1784177335339890.080	,1784177335339894.340	
0,N/A,EVENT_RECORD,46,4,0.020,1784177335339893.880	,1784177335339893.900	
0,N/A,EVENT_WAIT,42,4,0.020,1784177335339897.120	,1784177335339897.140	
0,N/A,KERNEL_AICPU,42,5,65.061,1784177335339903.680	,1784177335339968.741	
0,N/A,KERNEL_AICPU,43,6,97.161,1784177335339906.920	,1784177335340004.082	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,80.181,1784177335339917.260	,1784177335339997.442	
0,N/A,EVENT_WAIT,43,7,3.040,1784177335340096.184	,1784177335340099.224	
0,N/A,EVENT_RECORD,46,6,0.020,1784177335340098.764	,1784177335340098.784	
0,N/A,EVENT_WAIT,42,6,0.020,1784177335340103.264	,1784177335340103.284	
0,N/A,KERNEL_AICPU,42,7,59.681,1784177335340109.864	,1784177335340169.545	
0,N/A,KERNEL_AICPU,43,8,82.861,1784177335340111.504	,1784177335340194.366	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,67.121,1784177335340123.464	,1784177335340190.586	
0,N/A,EVENT_WAIT,43,9,2.920,1784177335340277.768	,1784177335340280.688	
0,N/A,EVENT_RECORD,46,8,0.020,1784177335340280.208	,1784177335340280.228	
0,N/A,EVENT_WAIT,42,8,0.020,1784177335340284.868	,1784177335340284.888	
0,N/A,KERNEL_AICPU,42,9,57.821,1784177335340291.348	,1784177335340349.169	
0,N/A,KERNEL_AICPU,43,10,95.661,1784177335340293.088	,1784177335340388.750	
