Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177248212645.906	,1784177248212645.906	
0,N/A,TASK_TIMEOUT_SET,49,4,96.361,1784177248218579.284	,1784177248218675.646	
0,N/A,KERNEL_AICPU,43,0,3011.800,1784177249923352.946	,1784177249926364.746	
0,N/A,EVENT_WAIT,43,1,6.840,1784177249926575.290	,1784177249926582.130	
0,N/A,EVENT_RECORD,46,0,0.020,1784177249926581.470	,1784177249926581.490	
0,N/A,EVENT_WAIT,42,0,0.020,1784177249926582.790	,1784177249926582.810	
0,N/A,KERNEL_AICPU,42,1,193.403,1784177249926589.510	,1784177249926782.914	
0,N/A,KERNEL_AICPU,43,2,237.344,1784177249926594.931	,1784177249926832.275	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,124.802,1784177249926697.073	,1784177249926821.875	
0,N/A,EVENT_RECORD,46,2,0.020,1784177249927186.282	,1784177249927186.302	
0,N/A,EVENT_WAIT,43,3,0.000,1784177249927187.602	,1784177249927187.602	
0,N/A,EVENT_WAIT,42,2,0.020,1784177249927193.663	,1784177249927193.683	
0,N/A,KERNEL_AICPU,43,4,109.582,1784177249927206.543	,1784177249927316.125	
0,N/A,KERNEL_AICPU,42,3,71.781,1784177249927212.283	,1784177249927284.064	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,87.461,1784177249927220.723	,1784177249927308.185	
0,N/A,EVENT_WAIT,43,5,2.840,1784177249927400.087	,1784177249927402.927	
0,N/A,EVENT_RECORD,46,4,0.020,1784177249927402.487	,1784177249927402.507	
0,N/A,EVENT_WAIT,42,4,0.020,1784177249927407.167	,1784177249927407.187	
0,N/A,KERNEL_AICPU,42,5,76.561,1784177249927413.807	,1784177249927490.368	
0,N/A,KERNEL_AICPU,43,6,105.762,1784177249927415.367	,1784177249927521.129	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,86.921,1784177249927427.727	,1784177249927514.649	
0,N/A,EVENT_WAIT,43,7,2.300,1784177249927600.711	,1784177249927603.011	
0,N/A,EVENT_RECORD,46,6,0.020,1784177249927602.571	,1784177249927602.591	
0,N/A,EVENT_WAIT,42,6,0.020,1784177249927607.871	,1784177249927607.891	
0,N/A,KERNEL_AICPU,42,7,53.121,1784177249927614.611	,1784177249927667.732	
0,N/A,KERNEL_AICPU,43,8,75.521,1784177249927615.331	,1784177249927690.852	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,57.421,1784177249927628.231	,1784177249927685.652	
0,N/A,EVENT_WAIT,43,9,2.280,1784177249927777.854	,1784177249927780.134	
0,N/A,EVENT_RECORD,46,8,0.020,1784177249927779.674	,1784177249927779.694	
0,N/A,EVENT_WAIT,42,8,0.020,1784177249927784.914	,1784177249927784.934	
0,N/A,KERNEL_AICPU,42,9,57.481,1784177249927791.434	,1784177249927848.916	
0,N/A,KERNEL_AICPU,43,10,88.341,1784177249927792.435	,1784177249927880.776	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,69.081,1784177249927804.955	,1784177249927874.036	
0,N/A,EVENT_WAIT,43,11,2.520,1784177249927950.458	,1784177249927952.978	
0,N/A,EVENT_RECORD,46,10,0.020,1784177249927952.518	,1784177249927952.538	
0,N/A,EVENT_WAIT,42,10,0.020,1784177249927957.478	,1784177249927957.498	
0,N/A,KERNEL_AICPU,42,11,40.260,1784177249927963.978	,1784177249928004.239	
0,N/A,KERNEL_AICPU,43,12,69.841,1784177249927965.158	,1784177249928034.999	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,53.141,1784177249927977.598	,1784177249928030.739	
0,N/A,EVENT_RECORD,46,12,0.020,1784177249928128.601	,1784177249928128.621	
0,N/A,EVENT_WAIT,43,13,0.000,1784177249928136.121	,1784177249928136.121	
0,N/A,EVENT_WAIT,42,12,0.020,1784177249928144.822	,1784177249928144.842	
0,N/A,KERNEL_AICPU,43,14,79.061,1784177249928149.182	,1784177249928228.243	
0,N/A,KERNEL_AICPU,42,13,42.680,1784177249928156.722	,1784177249928199.403	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,13,60.541,1784177249928157.202	,1784177249928217.743	
0,N/A,EVENT_WAIT,43,15,6.340,1784177249928325.285	,1784177249928331.625	
0,N/A,EVENT_RECORD,46,14,0.020,1784177249928331.065	,1784177249928331.085	
0,N/A,EVENT_WAIT,42,14,0.000,1784177249928332.425	,1784177249928332.425	
0,N/A,KERNEL_AICPU,43,16,76.921,1784177249928338.505	,1784177249928415.427	
0,N/A,KERNEL_AICPU,42,15,45.920,1784177249928338.765	,1784177249928384.686	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,15,57.801,1784177249928351.826	,1784177249928409.627	
0,N/A,EVENT_WAIT,43,17,4.480,1784177249928496.309	,1784177249928500.789	
0,N/A,EVENT_RECORD,46,16,0.020,1784177249928500.309	,1784177249928500.329	
0,N/A,EVENT_WAIT,42,16,0.020,1784177249928503.369	,1784177249928503.389	
0,N/A,KERNEL_AICPU,42,17,32.840,1784177249928509.749	,1784177249928542.589	
0,N/A,KERNEL_AICPU,43,18,58.081,1784177249928515.269	,1784177249928573.350	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,17,45.060,1784177249928523.709	,1784177249928568.770	
0,N/A,EVENT_WAIT,43,19,4.300,1784177249928673.552	,1784177249928677.852	
0,N/A,EVENT_RECORD,46,18,0.020,1784177249928677.372	,1784177249928677.392	
0,N/A,EVENT_WAIT,42,18,0.020,1784177249928680.512	,1784177249928680.532	
0,N/A,KERNEL_AICPU,42,19,41.320,1784177249928686.992	,1784177249928728.313	
0,N/A,KERNEL_AICPU,43,20,60.441,1784177249928690.212	,1784177249928750.654	
