Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,149.31,300,0.498,0.41,1.57,0.006
host,acl,aclmdlRICaptureThreadExchangeMode,3.22,2,1.61,1.45,1.77,0.026
host,acl,aclrtCreateEventExWithFlag,7.6,1,7.6,7.6,7.6,0
host,acl,aclrtCreateStreamWithConfig,1846.71,2,923.355,726.94,1119.77,38578.852
host,acl,aclrtCtxSetSysParamOpt,6.12,1,6.12,6.12,6.12,0
host,acl,aclrtDestroyStreamForce,3821.73,1,3821.73,3821.73,3821.73,0
host,acl,aclrtGetCurrentContext,1.28,1,1.28,1.28,1.28,0
host,acl,aclrtGetStreamResLimit,285.47,604,0.473,0.29,2.04,0.029
host,acl,aclrtMemcpy,8171.07,4,2042.768,1755.42,2312.27,56104.388
host,acl,aclrtRecordEvent,3587.6,300,11.959,7.3,148.37,298.217
host,acl,aclrtResetDevice,2.7,1,2.7,2.7,2.7,0
host,acl,aclrtSetDevice,47.45,1,47.45,47.45,47.45,0
host,acl,aclrtSetOpExecuteTimeOutV2,1192.57,1,1192.57,1192.57,1192.57,0
host,acl,aclrtSetStreamFailureMode,4.37,2,2.185,1.99,2.38,0.038
host,acl,aclrtStreamWaitEvent,2501.6,600,4.169,0.82,17.92,2.053
host,acl,aclrtSynchronizeDeviceWithTimeout,59.33,3,19.777,9.02,38.61,178.544
host,acl,aclrtSynchronizeStream,20.76,4,5.19,4.35,6.26,0.658
host,node,launch,7157.76,900,7.953,2.32,159.33,53.901
