Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177358301775.288	,1784177358301775.308	
0,N/A,TASK_TIMEOUT_SET,49,4,103.702,1784177358308478.961	,1784177358308582.664	
0,N/A,KERNEL_AICPU,43,0,3220.444,1784177360175751.150	,1784177360178971.594	
0,N/A,EVENT_RECORD,46,0,0.020,1784177360179171.778	,1784177360179171.798	
0,N/A,EVENT_WAIT,42,0,0.000,1784177360179178.718	,1784177360179178.718	
0,N/A,EVENT_WAIT,43,1,0.020,1784177360179179.278	,1784177360179179.298	
0,N/A,KERNEL_AICPU,42,1,227.604,1784177360179185.358	,1784177360179412.963	
0,N/A,KERNEL_AICPU,43,2,271.605,1784177360179197.378	,1784177360179468.984	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,157.363,1784177360179302.001	,1784177360179459.364	
0,N/A,EVENT_WAIT,43,3,4.840,1784177360179765.790	,1784177360179770.630	
0,N/A,EVENT_RECORD,46,2,0.020,1784177360179770.170	,1784177360179770.190	
0,N/A,EVENT_WAIT,42,2,0.020,1784177360179772.610	,1784177360179772.630	
0,N/A,KERNEL_AICPU,42,3,106.482,1784177360179779.350	,1784177360179885.832	
0,N/A,KERNEL_AICPU,43,4,144.282,1784177360179788.430	,1784177360179932.713	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,128.862,1784177360179797.130	,1784177360179925.993	
0,N/A,EVENT_RECORD,46,4,0.020,1784177360180039.095	,1784177360180039.115	
0,N/A,EVENT_WAIT,43,5,0.000,1784177360180045.915	,1784177360180045.915	
0,N/A,EVENT_WAIT,42,4,0.020,1784177360180049.515	,1784177360180049.535	
0,N/A,KERNEL_AICPU,43,6,114.522,1784177360180057.896	,1784177360180172.418	
0,N/A,KERNEL_AICPU,42,5,74.581,1784177360180060.656	,1784177360180135.237	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,99.341,1784177360180068.596	,1784177360180167.938	
