Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177278888907.774	,1784177278888907.774	
0,N/A,TASK_TIMEOUT_SET,49,4,109.722,1784177278895752.351	,1784177278895862.073	
0,N/A,KERNEL_AICPU,43,0,3104.902,1784177280613816.378	,1784177280616921.280	
0,N/A,EVENT_RECORD,46,0,0.000,1784177280617122.744	,1784177280617122.744	
0,N/A,EVENT_WAIT,42,0,0.020,1784177280617129.784	,1784177280617129.804	
0,N/A,EVENT_WAIT,43,1,0.020,1784177280617130.464	,1784177280617130.484	
0,N/A,KERNEL_AICPU,42,1,208.804,1784177280617136.344	,1784177280617345.148	
0,N/A,KERNEL_AICPU,43,2,249.544,1784177280617147.924	,1784177280617397.469	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,131.362,1784177280617257.427	,1784177280617388.789	
0,N/A,EVENT_RECORD,46,2,0.020,1784177280617708.096	,1784177280617708.116	
0,N/A,EVENT_WAIT,43,3,0.020,1784177280617712.536	,1784177280617712.556	
0,N/A,EVENT_WAIT,42,2,0.020,1784177280617714.936	,1784177280617714.956	
0,N/A,KERNEL_AICPU,42,3,97.741,1784177280617727.416	,1784177280617825.158	
0,N/A,KERNEL_AICPU,43,4,124.322,1784177280617731.136	,1784177280617855.459	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,107.442,1784177280617741.016	,1784177280617848.458	
0,N/A,EVENT_RECORD,46,4,0.020,1784177280617925.400	,1784177280617925.420	
0,N/A,EVENT_WAIT,43,5,0.020,1784177280617929.920	,1784177280617929.940	
0,N/A,EVENT_WAIT,42,4,0.020,1784177280617932.180	,1784177280617932.200	
0,N/A,KERNEL_AICPU,42,5,57.801,1784177280617938.740	,1784177280617996.541	
0,N/A,KERNEL_AICPU,43,6,81.841,1784177280617943.520	,1784177280618025.362	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,67.001,1784177280617951.960	,1784177280618018.962	
0,N/A,EVENT_WAIT,43,7,1.400,1784177280618145.884	,1784177280618147.284	
0,N/A,EVENT_RECORD,46,6,0.020,1784177280618146.844	,1784177280618146.864	
0,N/A,EVENT_WAIT,42,6,0.020,1784177280618153.764	,1784177280618153.784	
0,N/A,KERNEL_AICPU,43,8,86.181,1784177280618159.565	,1784177280618245.746	
0,N/A,KERNEL_AICPU,42,7,60.601,1784177280618162.945	,1784177280618223.546	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,69.161,1784177280618172.325	,1784177280618241.486	
0,N/A,EVENT_RECORD,46,8,0.020,1784177280618331.208	,1784177280618331.228	
0,N/A,EVENT_WAIT,43,9,0.000,1784177280618335.988	,1784177280618335.988	
0,N/A,EVENT_WAIT,42,8,0.020,1784177280618338.128	,1784177280618338.148	
0,N/A,KERNEL_AICPU,42,9,45.060,1784177280618344.628	,1784177280618389.689	
0,N/A,KERNEL_AICPU,43,10,66.641,1784177280618354.168	,1784177280618420.810	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,57.841,1784177280618357.569	,1784177280618415.410	
0,N/A,EVENT_RECORD,46,10,0.020,1784177280618510.592	,1784177280618510.612	
0,N/A,EVENT_WAIT,43,11,0.000,1784177280618514.852	,1784177280618514.852	
0,N/A,EVENT_WAIT,42,10,0.020,1784177280618517.372	,1784177280618517.392	
0,N/A,KERNEL_AICPU,42,11,40.240,1784177280618523.772	,1784177280618564.013	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,54.661,1784177280618549.412	,1784177280618604.073	
0,N/A,KERNEL_AICPU,43,12,61.441,1784177280618552.692	,1784177280618614.134	
0,N/A,EVENT_RECORD,46,12,0.020,1784177280618708.136	,1784177280618708.156	
0,N/A,EVENT_WAIT,43,13,0.020,1784177280618712.896	,1784177280618712.916	
0,N/A,EVENT_WAIT,42,12,0.020,1784177280618714.896	,1784177280618714.916	
0,N/A,KERNEL_AICPU,42,13,51.881,1784177280618721.336	,1784177280618773.217	
