Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,151.76,300,0.506,0.38,1.55,0.008
host,acl,aclmdlRICaptureThreadExchangeMode,3.61,2,1.805,1.58,2.03,0.051
host,acl,aclrtCreateEventExWithFlag,3.17,1,3.17,3.17,3.17,0
host,acl,aclrtCreateStreamWithConfig,1985.41,2,992.705,763.12,1222.29,52709.272
host,acl,aclrtCtxSetSysParamOpt,1.69,1,1.69,1.69,1.69,0
host,acl,aclrtDestroyStreamForce,5931.92,1,5931.92,5931.92,5931.92,0
host,acl,aclrtFree,11.71,2,5.855,2.38,9.33,12.076
host,acl,aclrtGetCurrentContext,1.12,1,1.12,1.12,1.12,0
host,acl,aclrtGetStreamResLimit,297.9,604,0.493,0.29,1.9,0.033
host,acl,aclrtMemcpy,26730.88,4,6682.72,3479.64,15935.46,28550332.791
host,acl,aclrtRecordEvent,3608.45,300,12.028,7.54,127.24,262.054
host,acl,aclrtResetDevice,3.32,1,3.32,3.32,3.32,0
host,acl,aclrtSetDevice,43.92,1,43.92,43.92,43.92,0
host,acl,aclrtSetOpExecuteTimeOutV2,1180.21,1,1180.21,1180.21,1180.21,0
host,acl,aclrtSetStreamFailureMode,4.16,2,2.08,1.78,2.38,0.09
host,acl,aclrtStreamWaitEvent,2534.75,600,4.225,0.92,24.69,1.842
host,acl,aclrtSynchronizeDeviceWithTimeout,71.82,3,23.94,8.8,52.16,398.891
host,acl,aclrtSynchronizeStream,16.31,4,4.077,3.68,4.64,0.152
host,node,launch,7115.91,900,7.907,2.91,160.19,48.824
