Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386089400.727	,233.244,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,2,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386089407.507	,297.846,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,1,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386089516.209	,180.104,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,5599000,0.0,0.0,0.0,0.928,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.205
0,4294967295,3,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090061.120	,112.802,364.646000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,4,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090071.120	,161.723,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,3,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090086.680	,138.263,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,4208146,0.0,0.0,0.0,0.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.230
0,4294967295,5,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090378.766	,72.302,153.737000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,6,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090386.086	,116.863,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,5,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090392.867	,104.782,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3110056,0.0,0.0,0.0,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.943
0,4294967295,7,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090636.991	,81.642,139.468000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,8,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090638.151	,118.283,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,7,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090650.772	,101.862,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3010194,0.0,0.0,0.0,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.551
0,4294967295,9,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090840.595	,60.122,87.888000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,10,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090841.815	,117.483,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,9,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386090854.416	,99.462,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2927017,0.0,0.0,0.0,0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.177
0,4294967295,11,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091035.599	,65.382,81.538000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,12,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091036.819	,115.223,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,11,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091049.280	,98.842,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2922091,0.0,0.0,0.0,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.586
0,4294967295,13,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091236.523	,74.762,88.408000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,14,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091237.963	,111.363,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,13,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091250.504	,95.062,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2807239,0.0,0.0,0.0,0.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.487
0,4294967295,15,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091463.008	,54.501,117.438000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,16,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091464.308	,113.322,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,15,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091477.188	,94.442,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2765849,0.0,0.0,0.0,0.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.746
0,4294967295,17,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091656.172	,64.561,84.558000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,18,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091657.352	,120.062,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,17,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091670.132	,101.342,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3005938,0.0,0.0,0.0,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.883
0,4294967295,19,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091847.256	,75.921,75.658000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,20,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091848.596	,112.302,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,19,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386091861.376	,95.662,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2809652,0.0,0.0,0.0,0.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.002
0,4294967295,21,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092026.979	,54.281,69.838000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,22,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092028.259	,107.862,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,21,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092040.599	,89.902,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2612465,0.0,0.0,0.0,0.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.058
0,4294967295,23,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092205.203	,50.461,74.848000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,24,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092206.363	,104.022,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,23,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092219.163	,85.722,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2464125,0.0,0.0,0.0,0.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.108
0,4294967295,25,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092388.166	,62.322,83.278000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,26,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092389.146	,100.142,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,25,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092401.927	,83.621,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2420399,0.0,0.0,0.0,0.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.712
0,4294967295,27,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092560.210	,50.121,74.629000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,28,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092562.630	,99.342,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,27,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092574.250	,80.882,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2345027,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.858
0,4294967295,29,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092736.313	,64.302,81.118000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,30,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092743.053	,107.023,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,29,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092750.014	,95.302,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2806908,0.0,0.0,0.0,0.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.251
0,4294967295,31,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092916.357	,65.161,70.948000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,32,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092917.757	,100.042,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,31,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386092930.337	,83.742,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2429051,0.0,0.0,0.0,0.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.898
0,4294967295,33,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093088.560	,54.201,74.508000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,34,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093089.540	,103.742,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,33,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093102.741	,84.761,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2454874,0.0,0.0,0.0,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.765
0,4294967295,35,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093259.724	,64.621,72.239000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,36,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093260.884	,119.242,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,35,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093274.004	,101.342,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2982262,0.0,0.0,0.0,0.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.175
0,4294967295,37,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093438.767	,64.642,63.408000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,38,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093439.927	,99.922,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,37,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093452.708	,83.561,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2418124,0.0,0.0,0.0,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.692
0,4294967295,39,42,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093610.451	,51.881,74.189000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,40,43,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093611.071	,106.502,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,39,46,PYPTO_add_binary_kernel,N/A,N/A,N/A,1784177386093624.491	,82.522,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2391702,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.826
