Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177384057967.099	,1784177384057967.099	
0,N/A,TASK_TIMEOUT_SET,49,4,92.481,1784177384064401.387	,1784177384064493.869	
0,N/A,KERNEL_AICPU,43,0,3189.183,1784177386085991.439	,1784177386089180.622	
0,N/A,EVENT_WAIT,43,1,7.000,1784177386089386.626	,1784177386089393.627	
0,N/A,EVENT_RECORD,46,0,0.020,1784177386089393.167	,1784177386089393.187	
0,N/A,EVENT_WAIT,42,0,0.020,1784177386089394.047	,1784177386089394.067	
0,N/A,KERNEL_AICPU,42,1,233.244,1784177386089400.727	,1784177386089633.971	
0,N/A,KERNEL_AICPU,43,2,297.845,1784177386089407.507	,1784177386089705.353	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,180.103,1784177386089516.209	,1784177386089696.313	
0,N/A,EVENT_RECORD,46,2,0.020,1784177386090047.200	,1784177386090047.220	
0,N/A,EVENT_WAIT,43,3,0.020,1784177386090048.160	,1784177386090048.180	
0,N/A,EVENT_WAIT,42,2,0.020,1784177386090054.520	,1784177386090054.540	
0,N/A,KERNEL_AICPU,42,3,112.802,1784177386090061.120	,1784177386090173.922	
0,N/A,KERNEL_AICPU,43,4,161.723,1784177386090071.120	,1784177386090232.843	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,138.262,1784177386090086.680	,1784177386090224.943	
0,N/A,EVENT_WAIT,43,5,2.660,1784177386090365.026	,1784177386090367.686	
0,N/A,EVENT_RECORD,46,4,0.020,1784177386090367.246	,1784177386090367.266	
0,N/A,EVENT_WAIT,42,4,0.020,1784177386090372.186	,1784177386090372.206	
0,N/A,KERNEL_AICPU,42,5,72.301,1784177386090378.766	,1784177386090451.068	
0,N/A,KERNEL_AICPU,43,6,116.862,1784177386090386.086	,1784177386090502.949	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,104.782,1784177386090392.867	,1784177386090497.649	
0,N/A,EVENT_WAIT,43,7,2.420,1784177386090623.231	,1784177386090625.651	
0,N/A,EVENT_RECORD,46,6,0.020,1784177386090625.111	,1784177386090625.131	
0,N/A,EVENT_WAIT,42,6,0.000,1784177386090630.471	,1784177386090630.471	
0,N/A,KERNEL_AICPU,42,7,81.641,1784177386090636.991	,1784177386090718.633	
0,N/A,KERNEL_AICPU,43,8,118.282,1784177386090638.151	,1784177386090756.434	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,101.862,1784177386090650.772	,1784177386090752.634	
0,N/A,EVENT_WAIT,43,9,2.600,1784177386090826.735	,1784177386090829.335	
0,N/A,EVENT_RECORD,46,8,0.020,1784177386090828.875	,1784177386090828.895	
0,N/A,EVENT_WAIT,42,8,0.020,1784177386090833.895	,1784177386090833.915	
0,N/A,KERNEL_AICPU,42,9,60.121,1784177386090840.595	,1784177386090900.717	
0,N/A,KERNEL_AICPU,43,10,117.482,1784177386090841.815	,1784177386090959.298	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,99.462,1784177386090854.416	,1784177386090953.878	
0,N/A,EVENT_WAIT,43,11,2.580,1784177386091021.959	,1784177386091024.539	
