Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,137.12,300,0.457,0.38,1.56,0.006
host,acl,aclmdlRICaptureThreadExchangeMode,3.17,2,1.585,1.5,1.67,0.007
host,acl,aclrtCreateEventExWithFlag,9.14,1,9.14,9.14,9.14,0
host,acl,aclrtCreateStreamWithConfig,1790.43,2,895.215,762.63,1027.8,17578.782
host,acl,aclrtCtxSetSysParamOpt,1.42,1,1.42,1.42,1.42,0
host,acl,aclrtDestroyStreamForce,3884.1,1,3884.1,3884.1,3884.1,0
host,acl,aclrtGetCurrentContext,1.06,1,1.06,1.06,1.06,0
host,acl,aclrtGetStreamResLimit,270.71,604,0.448,0.28,1.89,0.024
host,acl,aclrtMemcpy,445.74,4,111.435,98.42,134.99,218.921
host,acl,aclrtRecordEvent,3507.09,300,11.69,7.37,127.45,238.089
host,acl,aclrtResetDevice,2.86,1,2.86,2.86,2.86,0
host,acl,aclrtSetDevice,52.47,1,52.47,52.47,52.47,0
host,acl,aclrtSetOpExecuteTimeOutV2,1186.67,1,1186.67,1186.67,1186.67,0
host,acl,aclrtSetStreamFailureMode,4.69,2,2.345,2.11,2.58,0.055
host,acl,aclrtStreamWaitEvent,2514.69,600,4.191,0.76,26.26,2.479
host,acl,aclrtSynchronizeDeviceWithTimeout,37.64,3,12.547,8.77,18.55,18.42
host,acl,aclrtSynchronizeStream,16.45,4,4.113,3.37,5.26,0.514
host,node,launch,7009.58,900,7.788,2.48,194.44,61.563
