Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177308765758.263	,1784177308765758.283	
0,N/A,TASK_TIMEOUT_SET,49,4,94.941,1784177308772454.037	,1784177308772548.979	
0,N/A,KERNEL_AICPU,43,0,3251.264,1784177310516629.966	,1784177310519881.231	
0,N/A,EVENT_WAIT,43,1,0.520,1784177310520086.955	,1784177310520087.475	
0,N/A,EVENT_RECORD,46,0,0.020,1784177310520087.015	,1784177310520087.035	
0,N/A,EVENT_WAIT,42,0,0.000,1784177310520094.315	,1784177310520094.315	
0,N/A,KERNEL_AICPU,42,1,223.424,1784177310520100.795	,1784177310520324.219	
0,N/A,KERNEL_AICPU,43,2,260.765,1784177310520111.315	,1784177310520372.080	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,115.762,1784177310520247.118	,1784177310520362.880	
0,N/A,EVENT_RECORD,46,2,0.020,1784177310520699.027	,1784177310520699.047	
0,N/A,EVENT_WAIT,43,3,0.020,1784177310520699.347	,1784177310520699.367	
0,N/A,EVENT_WAIT,42,2,0.000,1784177310520705.987	,1784177310520705.987	
0,N/A,KERNEL_AICPU,42,3,93.401,1784177310520712.547	,1784177310520805.949	
0,N/A,KERNEL_AICPU,43,4,117.702,1784177310520722.567	,1784177310520840.270	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,102.322,1784177310520730.428	,1784177310520832.750	
0,N/A,EVENT_WAIT,43,5,2.720,1784177310520942.792	,1784177310520945.512	
0,N/A,EVENT_RECORD,46,4,0.020,1784177310520945.052	,1784177310520945.072	
0,N/A,EVENT_WAIT,42,4,0.020,1784177310520950.192	,1784177310520950.212	
0,N/A,KERNEL_AICPU,42,5,57.901,1784177310520956.512	,1784177310521014.413	
0,N/A,KERNEL_AICPU,43,6,92.441,1784177310520957.732	,1784177310521050.174	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,72.981,1784177310520970.452	,1784177310521043.434	
0,N/A,EVENT_WAIT,43,7,2.680,1784177310521164.756	,1784177310521167.436	
0,N/A,EVENT_RECORD,46,6,0.020,1784177310521166.976	,1784177310521166.996	
0,N/A,EVENT_WAIT,42,6,0.020,1784177310521171.956	,1784177310521171.976	
0,N/A,KERNEL_AICPU,42,7,56.101,1784177310521178.577	,1784177310521234.678	
0,N/A,KERNEL_AICPU,43,8,75.761,1784177310521179.737	,1784177310521255.498	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,59.321,1784177310521192.737	,1784177310521252.058	
0,N/A,EVENT_WAIT,43,9,2.500,1784177310521352.840	,1784177310521355.340	
0,N/A,EVENT_RECORD,46,8,0.020,1784177310521354.880	,1784177310521354.900	
0,N/A,EVENT_WAIT,42,8,0.020,1784177310521360.000	,1784177310521360.020	
0,N/A,KERNEL_AICPU,42,9,43.940,1784177310521366.600	,1784177310521410.541	
0,N/A,KERNEL_AICPU,43,10,75.081,1784177310521367.600	,1784177310521442.682	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,55.421,1784177310521380.261	,1784177310521435.682	
0,N/A,EVENT_WAIT,43,11,2.420,1784177310521535.784	,1784177310521538.204	
0,N/A,EVENT_RECORD,46,10,0.000,1784177310521537.764	,1784177310521537.764	
0,N/A,EVENT_WAIT,42,10,0.020,1784177310521542.944	,1784177310521542.964	
0,N/A,KERNEL_AICPU,42,11,35.660,1784177310521549.304	,1784177310521584.965	
0,N/A,KERNEL_AICPU,43,12,70.581,1784177310521550.464	,1784177310521621.045	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,51.821,1784177310521563.484	,1784177310521615.305	
0,N/A,EVENT_WAIT,43,13,2.220,1784177310521724.407	,1784177310521726.628	
0,N/A,EVENT_RECORD,46,12,0.000,1784177310521726.168	,1784177310521726.168	
0,N/A,EVENT_WAIT,42,12,0.000,1784177310521731.348	,1784177310521731.348	
0,N/A,KERNEL_AICPU,42,13,49.660,1784177310521737.828	,1784177310521787.489	
0,N/A,KERNEL_AICPU,43,14,71.181,1784177310521738.888	,1784177310521810.069	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,13,54.601,1784177310521751.868	,1784177310521806.469	
0,N/A,EVENT_WAIT,43,15,2.600,1784177310521920.371	,1784177310521922.971	
0,N/A,EVENT_RECORD,46,14,0.000,1784177310521922.531	,1784177310521922.531	
0,N/A,EVENT_WAIT,42,14,0.020,1784177310521927.392	,1784177310521927.412	
0,N/A,KERNEL_AICPU,42,15,45.920,1784177310521933.832	,1784177310521979.753	
0,N/A,KERNEL_AICPU,43,16,78.661,1784177310521935.032	,1784177310522013.693	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,15,58.961,1784177310521948.052	,1784177310522007.013	
0,N/A,EVENT_WAIT,43,17,7.660,1784177310522134.256	,1784177310522141.916	
0,N/A,EVENT_RECORD,46,16,0.020,1784177310522141.436	,1784177310522141.456	
0,N/A,EVENT_WAIT,42,16,0.020,1784177310522153.916	,1784177310522153.936	
