Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,38.8,1,38.8,38.8,38.8,0
host,acl,aclmdlRICaptureGetInfo,2.53,4,0.633,0.36,1.33,0.164
host,acl,aclnnAdd,15263.68,2100,7.268,4.6,2134.58,2158.047
host,acl,aclnnAddGetWorkspaceSize,81568.71,1,81568.71,81568.71,81568.71,0
host,acl,aclrtBinaryLoadFromData,301.98,1,301.98,301.98,301.98,0
host,acl,aclrtCreateEventExWithFlag,339.4,10,33.94,2.11,303.52,8079.11
host,acl,aclrtCreateStreamWithConfig,1812.16,2,906.08,743.95,1068.21,26286.137
host,acl,aclrtCtxGetSysParamOpt,15.82,16,0.989,0.54,4.21,1.147
host,acl,aclrtCtxSetSysParamOpt,6.33,1,6.33,6.33,6.33,0
host,acl,aclrtDestroyEvent,181.89,10,18.189,1.05,165.37,2407.264
host,acl,aclrtDestroyStreamForce,2970.46,1,2970.46,2970.46,2970.46,0
host,acl,aclrtFree,8.69,1,8.69,8.69,8.69,0
host,acl,aclrtGetCurrentContext,1.29,1,1.29,1.29,1.29,0
host,acl,aclrtGetDeviceCount,3.61,4,0.903,0.29,1.55,0.312
host,acl,aclrtGetResInCurrentThread,2.09,2,1.045,0.29,1.8,0.57
host,acl,aclrtGetStreamAttribute,798.61,2100,0.38,0.3,2.42,0.003
host,acl,aclrtLaunchKernelWithHostArgs,8213.38,2100,3.911,2.67,22.32,1.412
host,acl,aclrtMemcpy,130.83,4,32.707,25.37,45.57,62.322
host,acl,aclrtRecordEvent,150.91,10,15.091,6.21,83.9,526.649
host,acl,aclrtResetDevice,3.19,1,3.19,3.19,3.19,0
host,acl,aclrtSetDevice,44.74,1,44.74,44.74,44.74,0
host,acl,aclrtSetOpExecuteTimeOutV2,1189.86,1,1189.86,1189.86,1189.86,0
host,acl,aclrtSetStreamFailureMode,4.77,2,2.385,2.13,2.64,0.065
host,acl,aclrtSynchronizeDeviceWithTimeout,98904.75,3,32968.25,9.01,98883.4,2172403501.609
host,acl,aclrtSynchronizeEvent,8475.5,15,565.033,0.42,1921.74,641882.487
host,acl,aclrtSynchronizeStream,10.77,4,2.693,1.4,4.95,1.982
host,node,launch,9942.06,2100,4.734,3.32,216.1,22.578
