Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,39.02,1,39.02,39.02,39.02,0
host,acl,aclmdlRICaptureGetInfo,2.56,4,0.64,0.33,1.44,0.214
host,acl,aclnnAdd,15713.24,2100,7.482,4.95,2222.16,2338.767
host,acl,aclnnAddGetWorkspaceSize,77335.49,1,77335.49,77335.49,77335.49,0
host,acl,aclrtBinaryLoadFromData,336.52,1,336.52,336.52,336.52,0
host,acl,aclrtCreateEventExWithFlag,33.52,10,3.352,1.95,8.18,3.195
host,acl,aclrtCreateStreamWithConfig,1837.27,2,918.635,740.34,1096.93,31789.107
host,acl,aclrtCtxGetSysParamOpt,16.67,16,1.042,0.53,4.89,1.573
host,acl,aclrtCtxSetSysParamOpt,1.41,1,1.41,1.41,1.41,0
host,acl,aclrtDestroyEvent,17.29,10,1.729,0.93,3.46,0.552
host,acl,aclrtDestroyStreamForce,3326.66,1,3326.66,3326.66,3326.66,0
host,acl,aclrtFree,9.93,1,9.93,9.93,9.93,0
host,acl,aclrtGetCurrentContext,1.36,1,1.36,1.36,1.36,0
host,acl,aclrtGetDeviceCount,4.95,4,1.238,0.34,3.14,1.282
host,acl,aclrtGetResInCurrentThread,2.13,2,1.065,0.33,1.8,0.54
host,acl,aclrtGetStreamAttribute,832.78,2100,0.397,0.34,1.95,0.002
host,acl,aclrtLaunchKernelWithHostArgs,8640.89,2100,4.115,2.8,31.45,2.006
host,acl,aclrtMemcpy,4100.48,4,1025.12,954.74,1215.79,12158.153
host,acl,aclrtRecordEvent,159.06,10,15.906,7.3,89.25,598.074
host,acl,aclrtResetDevice,3.43,1,3.43,3.43,3.43,0
host,acl,aclrtSetDevice,53.23,1,53.23,53.23,53.23,0
host,acl,aclrtSetOpExecuteTimeOutV2,1183.5,1,1183.5,1183.5,1183.5,0
host,acl,aclrtSetStreamFailureMode,4.99,2,2.495,2.19,2.8,0.093
host,acl,aclrtSynchronizeDeviceWithTimeout,98698.73,3,32899.577,7.73,98679.07,2163470874.535
host,acl,aclrtSynchronizeEvent,10679.61,15,711.974,0.38,2765.73,1045779.017
host,acl,aclrtSynchronizeStream,12.75,4,3.187,1.94,5.11,1.527
host,node,launch,10420.36,2100,4.962,3.42,214.12,22.799
