Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177087987534.010	,1784177087987534.030	
0,N/A,TASK_TIMEOUT_SET,49,4,88.281,1784177087998569.030	,1784177087998657.312	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,0,12.680,1784177088087699.671	,1784177088087712.351	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,1,5.800,1784177088087854.594	,1784177088087860.394	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,2,5.600,1784177088087891.695	,1784177088087897.295	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,3,4.060,1784177088087898.015	,1784177088087902.075	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,4,4.240,1784177088087904.775	,1784177088087909.015	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,5,4.240,1784177088087911.535	,1784177088087915.775	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,6,4.060,1784177088087925.256	,1784177088087929.316	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,7,4.040,1784177088087931.756	,1784177088087935.796	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,8,4.360,1784177088087938.496	,1784177088087942.856	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,9,4.000,1784177088087945.496	,1784177088087949.496	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,10,4.100,1784177088087952.076	,1784177088087956.176	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,11,4.080,1784177088087958.836	,1784177088087962.916	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,12,4.260,1784177088087972.117	,1784177088087976.377	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,13,4.340,1784177088087978.837	,1784177088087983.177	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,14,4.080,1784177088087985.557	,1784177088087989.637	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,15,4.100,1784177088087991.977	,1784177088087996.077	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,16,4.420,1784177088088005.537	,1784177088088009.957	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,17,4.340,1784177088088012.097	,1784177088088016.437	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,18,4.320,1784177088088018.537	,1784177088088022.858	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,19,4.420,1784177088088024.798	,1784177088088029.218	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,20,4.440,1784177088088038.378	,1784177088088042.818	
