Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,39.89,1,39.89,39.89,39.89,0
host,acl,aclmdlRICaptureGetInfo,2.28,4,0.57,0.33,1.17,0.121
host,acl,aclnnAdd,14975.51,2100,7.131,4.83,2251.34,2401.159
host,acl,aclnnAddGetWorkspaceSize,78929.33,1,78929.33,78929.33,78929.33,0
host,acl,aclrtBinaryLoadFromData,342.24,1,342.24,342.24,342.24,0
host,acl,aclrtCreateEventExWithFlag,375.67,10,37.567,2.18,342.01,10303.193
host,acl,aclrtCreateStreamWithConfig,1950.09,2,975.045,771.88,1178.21,41276.017
host,acl,aclrtCtxGetSysParamOpt,16.11,16,1.007,0.55,4.66,1.196
host,acl,aclrtCtxSetSysParamOpt,1.82,1,1.82,1.82,1.82,0
host,acl,aclrtDestroyEvent,199.58,10,19.958,1.02,183.13,2958.726
host,acl,aclrtDestroyStreamForce,5583.62,1,5583.62,5583.62,5583.62,0
host,acl,aclrtFree,10.32,2,5.16,2.13,8.19,9.181
host,acl,aclrtGetCurrentContext,1.3,1,1.3,1.3,1.3,0
host,acl,aclrtGetDeviceCount,4.52,4,1.13,0.3,2.09,0.479
host,acl,aclrtGetResInCurrentThread,2.01,2,1.005,0.3,1.71,0.497
host,acl,aclrtGetStreamAttribute,812.41,2100,0.387,0.33,2.57,0.003
host,acl,aclrtLaunchKernelWithHostArgs,7879.88,2100,3.752,2.69,21.29,1.638
host,acl,aclrtMemcpy,191.99,4,47.997,43.79,55.08,20.225
host,acl,aclrtRecordEvent,156.56,10,15.656,6.77,87.02,566.417
host,acl,aclrtResetDevice,3.64,1,3.64,3.64,3.64,0
host,acl,aclrtSetDevice,45.92,1,45.92,45.92,45.92,0
host,acl,aclrtSetOpExecuteTimeOutV2,1267.27,1,1267.27,1267.27,1267.27,0
host,acl,aclrtSetStreamFailureMode,4.76,2,2.38,2.08,2.68,0.09
host,acl,aclrtSynchronizeDeviceWithTimeout,98322.87,3,32774.29,9.91,98299.35,2146766746.283
host,acl,aclrtSynchronizeEvent,9800.66,15,653.377,0.48,2739.31,902753.373
host,acl,aclrtSynchronizeStream,11.03,4,2.758,1.71,5.3,2.18
host,node,launch,9626.65,2100,4.584,3.44,215.69,22.783
