Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177048911153.118	,1784177048911153.138	
0,N/A,TASK_TIMEOUT_SET,49,4,171.583,1784177048920071.936	,1784177048920243.520	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,0,11.080,1784177049007226.498	,1784177049007237.578	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,1,4.260,1784177049007457.482	,1784177049007461.742	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,2,3.040,1784177049007494.823	,1784177049007497.863	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,3,2.820,1784177049007501.403	,1784177049007504.223	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,4,2.620,1784177049007507.903	,1784177049007510.523	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,5,2.580,1784177049007514.903	,1784177049007517.483	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,6,2.620,1784177049007521.463	,1784177049007524.083	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,7,2.840,1784177049007528.184	,1784177049007531.024	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,8,2.560,1784177049007534.584	,1784177049007537.144	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,9,2.560,1784177049007548.084	,1784177049007550.644	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,10,2.780,1784177049007554.724	,1784177049007557.504	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,11,2.760,1784177049007561.144	,1784177049007563.904	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,12,2.600,1784177049007567.604	,1784177049007570.204	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,13,2.820,1784177049007574.184	,1784177049007577.005	
