Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,39.77,1,39.77,39.77,39.77,0
host,acl,aclmdlRICaptureGetInfo,2.04,4,0.51,0.31,1.04,0.094
host,acl,aclnnAdd,18552.17,2100,8.834,4.62,5771.92,15824.911
host,acl,aclnnAddGetWorkspaceSize,74138.09,1,74138.09,74138.09,74138.09,0
host,acl,aclrtBinaryLoadFromData,310.1,1,310.1,310.1,310.1,0
host,acl,aclrtCreateEventExWithFlag,200.56,10,20.056,1.89,174.37,2646.83
host,acl,aclrtCreateStreamWithConfig,2201.55,2,1100.775,984.33,1217.22,13559.438
host,acl,aclrtCtxGetSysParamOpt,13.65,16,0.853,0.43,4.22,0.949
host,acl,aclrtCtxSetSysParamOpt,1.65,1,1.65,1.65,1.65,0
host,acl,aclrtDestroyEvent,122.63,10,12.263,1.12,106.46,986.258
host,acl,aclrtDestroyStreamForce,2496.72,1,2496.72,2496.72,2496.72,0
host,acl,aclrtFree,11.7,2,5.85,2.22,9.48,13.177
host,acl,aclrtGetCurrentContext,1.14,1,1.14,1.14,1.14,0
host,acl,aclrtGetDeviceCount,6.28,4,1.57,0.34,3.95,2.009
host,acl,aclrtGetResInCurrentThread,2.29,2,1.145,0.29,2,0.731
host,acl,aclrtGetStreamAttribute,821.85,2100,0.391,0.31,7.07,0.023
host,acl,aclrtLaunchKernelWithHostArgs,7937.16,2100,3.78,2.73,21.79,1.383
host,acl,aclrtMemcpy,6827.84,4,1706.96,1632.52,1803.65,3862.014
host,acl,aclrtRecordEvent,167.02,10,16.702,6.43,98.53,744.515
host,acl,aclrtResetDevice,3.51,1,3.51,3.51,3.51,0
host,acl,aclrtSetDevice,45.44,1,45.44,45.44,45.44,0
host,acl,aclrtSetOpExecuteTimeOutV2,1266.04,1,1266.04,1266.04,1266.04,0
host,acl,aclrtSetStreamFailureMode,5.1,2,2.55,2.2,2.9,0.122
host,acl,aclrtSynchronizeDeviceWithTimeout,99473.82,3,33157.94,8.53,99452.65,2197494289.807
host,acl,aclrtSynchronizeEvent,10937.38,15,729.159,0.48,2681.75,1085267.503
host,acl,aclrtSynchronizeStream,11.5,4,2.875,1.85,4.76,1.261
host,node,launch,13364.49,2100,6.364,3.33,3931.26,7340.393
