Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177101042990.028	,1784177101042990.028	
0,N/A,TASK_TIMEOUT_SET,49,4,173.683,1784177101057746.302	,1784177101057919.986	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,0,20.560,1784177101150411.014	,1784177101150431.574	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,1,10.760,1784177101150571.357	,1784177101150582.117	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,2,8.880,1784177101150640.058	,1784177101150648.939	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,3,5.740,1784177101150649.679	,1784177101150655.419	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,4,5.900,1784177101150656.179	,1784177101150662.079	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,5,5.860,1784177101150669.479	,1784177101150675.339	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,6,5.780,1784177101150676.219	,1784177101150681.999	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,7,5.740,1784177101150682.739	,1784177101150688.479	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,8,6.040,1784177101150689.339	,1784177101150695.380	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,9,5.840,1784177101150696.140	,1784177101150701.980	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,10,5.820,1784177101150702.720	,1784177101150708.540	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,11,5.980,1784177101150709.240	,1784177101150715.220	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,12,6.040,1784177101150715.920	,1784177101150721.960	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,13,6.000,1784177101150722.660	,1784177101150728.660	
