Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,39.37,1,39.37,39.37,39.37,0
host,acl,aclmdlRICaptureGetInfo,2.41,4,0.602,0.3,1.33,0.178
host,acl,aclnnAdd,21568.99,2100,10.271,5.18,2082.45,2056.397
host,acl,aclnnAddGetWorkspaceSize,79898.47,1,79898.47,79898.47,79898.47,0
host,acl,aclrtBinaryLoadFromData,268.05,1,268.05,268.05,268.05,0
host,acl,aclrtCreateEventExWithFlag,355.86,10,35.586,1.91,322.31,9136.249
host,acl,aclrtCreateStreamWithConfig,1777.89,2,888.945,741.37,1036.52,21778.381
host,acl,aclrtCtxGetSysParamOpt,15.81,16,0.988,0.52,4.3,1.169
host,acl,aclrtCtxSetSysParamOpt,1.66,1,1.66,1.66,1.66,0
host,acl,aclrtDestroyEvent,189.34,10,18.934,1.07,172.55,2622.335
host,acl,aclrtDestroyStreamForce,2107.43,1,2107.43,2107.43,2107.43,0
host,acl,aclrtFree,13.81,3,4.603,1.7,10.24,15.891
host,acl,aclrtGetCurrentContext,1.23,1,1.23,1.23,1.23,0
host,acl,aclrtGetDeviceCount,3.31,4,0.828,0.32,1.49,0.242
host,acl,aclrtGetResInCurrentThread,2.25,2,1.125,0.32,1.93,0.648
host,acl,aclrtGetStreamAttribute,871.03,2100,0.415,0.32,7.62,0.053
host,acl,aclrtLaunchKernelWithHostArgs,10021.28,2100,4.772,3.01,25.19,1.144
host,acl,aclrtMemcpy,279.62,4,69.905,65.2,80.34,38.323
host,acl,aclrtRecordEvent,150.03,10,15.003,6.35,78.91,455.337
host,acl,aclrtResetDevice,4.09,1,4.09,4.09,4.09,0
host,acl,aclrtSetDevice,36.12,1,36.12,36.12,36.12,0
host,acl,aclrtSetOpExecuteTimeOutV2,1179.67,1,1179.67,1179.67,1179.67,0
host,acl,aclrtSetStreamFailureMode,4.29,2,2.145,1.76,2.53,0.148
host,acl,aclrtSynchronizeDeviceWithTimeout,47.21,3,15.737,9.48,23.42,33.405
host,acl,aclrtSynchronizeEvent,1567.7,15,104.513,0.49,367.5,22221.334
host,acl,aclrtSynchronizeStream,11.72,4,2.93,1.93,5.04,1.58
host,node,launch,11909.56,2100,5.671,3.71,294.26,40.657
