Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,40.55,1,40.55,40.55,40.55,0
host,acl,aclmdlRICaptureGetInfo,2.25,4,0.563,0.35,1.16,0.119
host,acl,aclnnAdd,15657.42,2100,7.456,4.58,2054.32,1997.55
host,acl,aclnnAddGetWorkspaceSize,74734.99,1,74734.99,74734.99,74734.99,0
host,acl,aclrtBinaryLoadFromData,308.77,1,308.77,308.77,308.77,0
host,acl,aclrtCreateEventExWithFlag,199.19,10,19.919,2.12,166.21,2383.64
host,acl,aclrtCreateStreamWithConfig,1845.63,2,922.815,753.7,1091.93,28599.883
host,acl,aclrtCtxGetSysParamOpt,14.54,16,0.909,0.48,4.73,1.177
host,acl,aclrtCtxSetSysParamOpt,1.88,1,1.88,1.88,1.88,0
host,acl,aclrtDestroyEvent,116.92,10,11.692,1.05,99.35,854.149
host,acl,aclrtDestroyStreamForce,2097.23,1,2097.23,2097.23,2097.23,0
host,acl,aclrtFree,947.5,6,157.917,1.74,929.68,119129.657
host,acl,aclrtGetCurrentContext,1.05,1,1.05,1.05,1.05,0
host,acl,aclrtGetDeviceCount,5.96,4,1.49,0.32,4.01,2.236
host,acl,aclrtGetResInCurrentThread,2.06,2,1.03,0.3,1.76,0.533
host,acl,aclrtGetStreamAttribute,823.98,2100,0.392,0.32,2.34,0.003
host,acl,aclrtLaunchKernelWithHostArgs,8616.68,2100,4.103,2.62,21.55,1.355
host,acl,aclrtMemcpy,17060.8,4,4265.2,3158.1,7330.5,3138199.02
host,acl,aclrtRecordEvent,154.15,10,15.415,6.52,82.12,494.905
host,acl,aclrtResetDevice,3.3,1,3.3,3.3,3.3,0
host,acl,aclrtSetDevice,48.63,1,48.63,48.63,48.63,0
host,acl,aclrtSetOpExecuteTimeOutV2,1209.86,1,1209.86,1209.86,1209.86,0
host,acl,aclrtSetStreamFailureMode,4.2,2,2.1,1.84,2.36,0.068
host,acl,aclrtSynchronizeDeviceWithTimeout,1763.59,3,587.863,8.12,1741.48,665421.45
host,acl,aclrtSynchronizeEvent,11711.36,15,780.757,0.53,3539.57,1337142.484
host,acl,aclrtSynchronizeStream,11.27,4,2.818,1.93,5.11,1.759
host,node,launch,10421.76,2100,4.963,3.22,225.14,24.452
