Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,38.87,1,38.87,38.87,38.87,0
host,acl,aclmdlRICaptureGetInfo,2.14,4,0.535,0.29,1.13,0.119
host,acl,aclnnAdd,14656.34,2100,6.979,4.66,1959.01,1817.334
host,acl,aclnnAddGetWorkspaceSize,79681.26,1,79681.26,79681.26,79681.26,0
host,acl,aclrtBinaryLoadFromData,279.95,1,279.95,279.95,279.95,0
host,acl,aclrtCreateEventExWithFlag,290.71,10,29.071,1.77,256.26,5739.879
host,acl,aclrtCreateStreamWithConfig,1953.04,2,976.52,740.33,1212.71,55785.716
host,acl,aclrtCtxGetSysParamOpt,15.11,16,0.944,0.53,4.19,0.902
host,acl,aclrtCtxSetSysParamOpt,5.9,1,5.9,5.9,5.9,0
host,acl,aclrtDestroyEvent,149.9,10,14.99,1.09,123.86,1325.283
host,acl,aclrtDestroyStreamForce,2209.58,1,2209.58,2209.58,2209.58,0
host,acl,aclrtFree,9.34,1,9.34,9.34,9.34,0
host,acl,aclrtGetCurrentContext,1,1,1,1,1,0
host,acl,aclrtGetDeviceCount,4.24,4,1.06,0.29,2.24,0.561
host,acl,aclrtGetResInCurrentThread,2.29,2,1.145,0.32,1.97,0.681
host,acl,aclrtGetStreamAttribute,821.83,2100,0.391,0.3,2.71,0.004
host,acl,aclrtLaunchKernelWithHostArgs,7832.59,2100,3.73,2.64,22.52,1.639
host,acl,aclrtMemcpy,451.56,4,112.89,106.21,124.66,50.978
host,acl,aclrtRecordEvent,164.49,10,16.449,6.4,88,570.368
host,acl,aclrtResetDevice,2.9,1,2.9,2.9,2.9,0
host,acl,aclrtSetDevice,48.77,1,48.77,48.77,48.77,0
host,acl,aclrtSetOpExecuteTimeOutV2,1276.82,1,1276.82,1276.82,1276.82,0
host,acl,aclrtSetStreamFailureMode,4.58,2,2.29,2.03,2.55,0.068
host,acl,aclrtSynchronizeDeviceWithTimeout,98498.49,3,32832.83,8.58,98476.86,2154569340.651
host,acl,aclrtSynchronizeEvent,10692.54,15,712.836,0.48,2910.78,1064524.163
host,acl,aclrtSynchronizeStream,12.76,4,3.19,2.27,5.3,1.517
host,node,launch,9528.67,2100,4.537,3.29,214.34,22.504
