Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177075007729.866	,1784177075007729.886	
0,N/A,TASK_TIMEOUT_SET,49,4,177.603,1784177075017140.294	,1784177075017317.898	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,0,10.420,1784177075104738.324	,1784177075104748.745	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,1,3.880,1784177075104897.908	,1784177075104901.788	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,2,3.860,1784177075104936.508	,1784177075104940.368	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,3,3.340,1784177075104943.168	,1784177075104946.509	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,4,3.460,1784177075104949.809	,1784177075104953.269	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,5,3.460,1784177075104956.809	,1784177075104960.269	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,6,3.320,1784177075104963.449	,1784177075104966.769	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,7,3.260,1784177075104978.149	,1784177075104981.409	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,8,3.400,1784177075104984.829	,1784177075104988.229	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,9,3.200,1784177075104991.449	,1784177075104994.649	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,10,3.200,1784177075104998.090	,1784177075105001.290	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,11,3.220,1784177075105004.590	,1784177075105007.810	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,12,3.460,1784177075105011.210	,1784177075105014.670	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,13,3.460,1784177075105017.890	,1784177075105021.350	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,14,3.240,1784177075105024.510	,1784177075105027.750	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,15,3.620,1784177075105031.250	,1784177075105034.870	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,16,3.640,1784177075105044.710	,1784177075105048.351	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,17,3.720,1784177075105051.111	,1784177075105054.831	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,18,3.500,1784177075105057.671	,1784177075105061.171	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,19,3.640,1784177075105064.251	,1784177075105067.891	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,20,3.700,1784177075105070.991	,1784177075105074.691	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,21,3.680,1784177075105083.911	,1784177075105087.591	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,22,3.460,1784177075105090.291	,1784177075105093.751	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,23,3.620,1784177075105096.652	,1784177075105100.272	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,24,3.400,1784177075105110.132	,1784177075105113.532	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,25,3.580,1784177075105116.632	,1784177075105120.212	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,26,3.320,1784177075105123.212	,1784177075105126.532	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,27,3.400,1784177075105129.572	,1784177075105132.972	
0,Add_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,28,3.560,1784177075105136.032	,1784177075105139.592	
