Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,46,div_kernel,N/A,N/A,N/A,1784177626832234.422	,156.763,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5081927,0.0,0.507,0.0,0.884,0.0,0.225,0.0,0.095,0.001,0.000
0,4294967295,1,46,div_kernel,N/A,N/A,N/A,1784177626832391.225	,155.283,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5041476,0.0,0.511,0.0,0.897,0.0,0.147,0.0,0.101,0.001,0.000
0,4294967295,2,46,div_kernel,N/A,N/A,N/A,1784177626832546.528	,151.483,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4908979,0.0,0.525,0.0,0.917,0.0,0.146,0.0,0.098,0.0,0.000
0,4294967295,3,46,div_kernel,N/A,N/A,N/A,1784177626832698.031	,150.983,0.017000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4905888,0.0,0.525,0.0,0.917,0.0,0.147,0.0,0.099,0.0,0.000
0,4294967295,4,46,div_kernel,N/A,N/A,N/A,1784177626832849.034	,151.263,0.017000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4910550,0.0,0.524,0.0,0.917,0.0,0.145,0.0,0.098,0.0,0.000
0,4294967295,5,46,div_kernel,N/A,N/A,N/A,1784177626833000.337	,150.643,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4905928,0.0,0.525,0.0,0.917,0.0,0.147,0.0,0.099,0.0,0.000
0,4294967295,6,46,div_kernel,N/A,N/A,N/A,1784177626833151.000	,152.103,0.107000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4906505,0.0,0.525,0.0,0.917,0.0,0.146,0.0,0.098,0.0,0.000
0,4294967295,7,46,div_kernel,N/A,N/A,N/A,1784177626833303.123	,150.603,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4908214,0.0,0.525,0.0,0.917,0.0,0.147,0.0,0.099,0.0,0.000
0,4294967295,8,46,div_kernel,N/A,N/A,N/A,1784177626833453.746	,151.883,0.147000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4905318,0.0,0.525,0.0,0.917,0.0,0.145,0.0,0.098,0.0,0.000
0,4294967295,9,46,div_kernel,N/A,N/A,N/A,1784177626833605.649	,150.663,0.117000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4906434,0.0,0.525,0.0,0.917,0.0,0.147,0.0,0.1,0.0,0.000
