Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177626807264.523	,1784177626807264.543	
0,div_kernel,KERNEL_AIVEC,46,0,156.763,1784177626832234.422	,1784177626832391.185	
0,div_kernel,KERNEL_AIVEC,46,1,155.283,1784177626832391.225	,1784177626832546.508	
0,div_kernel,KERNEL_AIVEC,46,2,151.483,1784177626832546.528	,1784177626832698.011	
0,div_kernel,KERNEL_AIVEC,46,3,150.983,1784177626832698.031	,1784177626832849.014	
0,div_kernel,KERNEL_AIVEC,46,4,151.263,1784177626832849.034	,1784177626833000.297	
0,div_kernel,KERNEL_AIVEC,46,5,150.643,1784177626833000.337	,1784177626833150.980	
0,div_kernel,KERNEL_AIVEC,46,6,152.103,1784177626833151.000	,1784177626833303.103	
0,div_kernel,KERNEL_AIVEC,46,7,150.603,1784177626833303.123	,1784177626833453.726	
0,div_kernel,KERNEL_AIVEC,46,8,151.883,1784177626833453.746	,1784177626833605.629	
0,div_kernel,KERNEL_AIVEC,46,9,150.663,1784177626833605.649	,1784177626833756.312	
0,div_kernel,KERNEL_AIVEC,46,10,151.703,1784177626833756.332	,1784177626833908.035	
0,div_kernel,KERNEL_AIVEC,46,11,150.923,1784177626833908.075	,1784177626834058.998	
0,div_kernel,KERNEL_AIVEC,46,12,152.203,1784177626834059.018	,1784177626834211.221	
0,div_kernel,KERNEL_AIVEC,46,13,150.983,1784177626834211.261	,1784177626834362.244	
0,div_kernel,KERNEL_AIVEC,46,14,151.703,1784177626834362.264	,1784177626834513.967	
0,div_kernel,KERNEL_AIVEC,46,15,150.883,1784177626834513.987	,1784177626834664.870	
0,div_kernel,KERNEL_AIVEC,46,16,151.643,1784177626834664.910	,1784177626834816.553	
0,div_kernel,KERNEL_AIVEC,46,17,150.963,1784177626834816.573	,1784177626834967.536	
0,div_kernel,KERNEL_AIVEC,46,18,151.423,1784177626834967.556	,1784177626835118.980	
0,div_kernel,KERNEL_AIVEC,46,19,150.523,1784177626835119.020	,1784177626835269.543	
0,div_kernel,KERNEL_AIVEC,46,20,151.843,1784177626835269.583	,1784177626835421.426	
0,div_kernel,KERNEL_AIVEC,46,21,150.823,1784177626835421.446	,1784177626835572.269	
0,div_kernel,KERNEL_AIVEC,46,22,152.043,1784177626835572.309	,1784177626835724.352	
0,div_kernel,KERNEL_AIVEC,46,23,150.683,1784177626835724.372	,1784177626835875.055	
0,div_kernel,KERNEL_AIVEC,46,24,152.023,1784177626835875.075	,1784177626836027.098	
0,div_kernel,KERNEL_AIVEC,46,25,150.603,1784177626836027.138	,1784177626836177.741	
0,div_kernel,KERNEL_AIVEC,46,26,151.943,1784177626836177.761	,1784177626836329.704	
0,div_kernel,KERNEL_AIVEC,46,27,150.523,1784177626836329.744	,1784177626836480.267	
0,div_kernel,KERNEL_AIVEC,46,28,151.643,1784177626836480.287	,1784177626836631.930	
0,div_kernel,KERNEL_AIVEC,46,29,150.683,1784177626836631.950	,1784177626836782.633	
0,div_kernel,KERNEL_AIVEC,46,30,151.643,1784177626836782.653	,1784177626836934.296	
