Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177605699039.352	,1784177605699039.372	
0,div_kernel,KERNEL_AIVEC,46,0,28.940,1784177605707381.199	,1784177605707410.140	
0,div_kernel,KERNEL_AIVEC,46,1,27.920,1784177605707410.840	,1784177605707438.760	
0,div_kernel,KERNEL_AIVEC,46,2,23.460,1784177605707439.460	,1784177605707462.921	
0,div_kernel,KERNEL_AIVEC,46,3,23.380,1784177605707463.641	,1784177605707487.021	
0,div_kernel,KERNEL_AIVEC,46,4,23.520,1784177605707487.721	,1784177605707511.242	
0,div_kernel,KERNEL_AIVEC,46,5,23.320,1784177605707511.962	,1784177605707535.282	
0,div_kernel,KERNEL_AIVEC,46,6,23.520,1784177605707536.002	,1784177605707559.523	
0,div_kernel,KERNEL_AIVEC,46,7,23.480,1784177605707560.243	,1784177605707583.723	
0,div_kernel,KERNEL_AIVEC,46,8,23.540,1784177605707584.423	,1784177605707607.964	
0,div_kernel,KERNEL_AIVEC,46,9,23.340,1784177605707608.684	,1784177605707632.024	
0,div_kernel,KERNEL_AIVEC,46,10,23.460,1784177605707632.724	,1784177605707656.185	
0,div_kernel,KERNEL_AIVEC,46,11,23.340,1784177605707656.885	,1784177605707680.225	
0,div_kernel,KERNEL_AIVEC,46,12,23.460,1784177605707680.925	,1784177605707704.386	
0,div_kernel,KERNEL_AIVEC,46,13,23.380,1784177605707705.106	,1784177605707728.486	
0,div_kernel,KERNEL_AIVEC,46,14,23.500,1784177605707729.206	,1784177605707752.707	
0,div_kernel,KERNEL_AIVEC,46,15,23.300,1784177605707753.427	,1784177605707776.727	
0,div_kernel,KERNEL_AIVEC,46,16,23.500,1784177605707777.447	,1784177605707800.948	
0,div_kernel,KERNEL_AIVEC,46,17,23.400,1784177605707801.648	,1784177605707825.048	
0,div_kernel,KERNEL_AIVEC,46,18,23.420,1784177605707825.748	,1784177605707849.169	
0,div_kernel,KERNEL_AIVEC,46,19,23.400,1784177605707849.889	,1784177605707873.289	
