Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177619779574.541	,1784177619779574.541	
0,div_kernel,KERNEL_AIVEC,46,0,101.062,1784177619793100.592	,1784177619793201.654	
0,div_kernel,KERNEL_AIVEC,46,1,100.602,1784177619793202.374	,1784177619793302.976	
0,div_kernel,KERNEL_AIVEC,46,2,95.621,1784177619793303.736	,1784177619793399.358	
0,div_kernel,KERNEL_AIVEC,46,3,95.601,1784177619793400.098	,1784177619793495.699	
0,div_kernel,KERNEL_AIVEC,46,4,95.641,1784177619793496.459	,1784177619793592.101	
0,div_kernel,KERNEL_AIVEC,46,5,95.441,1784177619793592.861	,1784177619793688.303	
0,div_kernel,KERNEL_AIVEC,46,6,95.681,1784177619793689.043	,1784177619793784.725	
0,div_kernel,KERNEL_AIVEC,46,7,95.401,1784177619793785.465	,1784177619793880.867	
0,div_kernel,KERNEL_AIVEC,46,8,95.801,1784177619793881.607	,1784177619793977.409	
0,div_kernel,KERNEL_AIVEC,46,9,95.441,1784177619793978.149	,1784177619794073.591	
0,div_kernel,KERNEL_AIVEC,46,10,95.721,1784177619794074.331	,1784177619794170.053	
0,div_kernel,KERNEL_AIVEC,46,11,95.341,1784177619794170.793	,1784177619794266.135	
0,div_kernel,KERNEL_AIVEC,46,12,95.741,1784177619794266.895	,1784177619794362.637	
0,div_kernel,KERNEL_AIVEC,46,13,95.461,1784177619794363.397	,1784177619794458.859	
0,div_kernel,KERNEL_AIVEC,46,14,95.761,1784177619794459.599	,1784177619794555.361	
0,div_kernel,KERNEL_AIVEC,46,15,95.641,1784177619794556.121	,1784177619794651.763	
0,div_kernel,KERNEL_AIVEC,46,16,95.601,1784177619794652.503	,1784177619794748.104	
0,div_kernel,KERNEL_AIVEC,46,17,95.421,1784177619794748.844	,1784177619794844.266	
0,div_kernel,KERNEL_AIVEC,46,18,95.681,1784177619794845.026	,1784177619794940.708	
0,div_kernel,KERNEL_AIVEC,46,19,95.421,1784177619794941.448	,1784177619795036.870	
0,div_kernel,KERNEL_AIVEC,46,20,95.801,1784177619795037.630	,1784177619795133.432	
0,div_kernel,KERNEL_AIVEC,46,21,95.421,1784177619795134.172	,1784177619795229.594	
0,div_kernel,KERNEL_AIVEC,46,22,95.881,1784177619795230.354	,1784177619795326.236	
0,div_kernel,KERNEL_AIVEC,46,23,95.381,1784177619795326.996	,1784177619795422.378	
0,div_kernel,KERNEL_AIVEC,46,24,95.941,1784177619795423.138	,1784177619795519.080	
0,div_kernel,KERNEL_AIVEC,46,25,95.401,1784177619795519.820	,1784177619795615.222	
0,div_kernel,KERNEL_AIVEC,46,26,95.741,1784177619795615.982	,1784177619795711.724	
0,div_kernel,KERNEL_AIVEC,46,27,95.541,1784177619795712.464	,1784177619795808.006	
0,div_kernel,KERNEL_AIVEC,46,28,95.721,1784177619795808.766	,1784177619795904.488	
0,div_kernel,KERNEL_AIVEC,46,29,95.481,1784177619795905.248	,1784177619796000.729	
0,div_kernel,KERNEL_AIVEC,46,30,95.741,1784177619796001.470	,1784177619796097.211	
0,div_kernel,KERNEL_AIVEC,46,31,95.421,1784177619796097.951	,1784177619796193.373	
0,div_kernel,KERNEL_AIVEC,46,32,95.721,1784177619796194.133	,1784177619796289.855	
0,div_kernel,KERNEL_AIVEC,46,33,95.461,1784177619796290.555	,1784177619796386.017	
0,div_kernel,KERNEL_AIVEC,46,34,95.601,1784177619796386.737	,1784177619796482.339	
0,div_kernel,KERNEL_AIVEC,46,35,95.501,1784177619796483.059	,1784177619796578.561	
0,div_kernel,KERNEL_AIVEC,46,36,95.721,1784177619796579.281	,1784177619796675.003	
0,div_kernel,KERNEL_AIVEC,46,37,95.621,1784177619796675.723	,1784177619796771.345	
0,div_kernel,KERNEL_AIVEC,46,38,95.801,1784177619796772.045	,1784177619796867.847	
0,div_kernel,KERNEL_AIVEC,46,39,95.481,1784177619796868.567	,1784177619796964.049	
0,div_kernel,KERNEL_AIVEC,46,40,95.801,1784177619796964.749	,1784177619797060.551	
0,div_kernel,KERNEL_AIVEC,46,41,95.441,1784177619797061.271	,1784177619797156.713	
0,div_kernel,KERNEL_AIVEC,46,42,95.721,1784177619797157.433	,1784177619797253.155	
0,div_kernel,KERNEL_AIVEC,46,43,95.441,1784177619797253.875	,1784177619797349.316	
0,div_kernel,KERNEL_AIVEC,46,44,95.801,1784177619797350.036	,1784177619797445.838	
0,div_kernel,KERNEL_AIVEC,46,45,95.541,1784177619797446.558	,1784177619797542.100	
0,div_kernel,KERNEL_AIVEC,46,46,95.741,1784177619797542.820	,1784177619797638.562	
0,div_kernel,KERNEL_AIVEC,46,47,95.381,1784177619797639.282	,1784177619797734.664	
