Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,RealDiv_Tiling,41.1,1,41.1,41.1,41.1,0
host,acl,aclmdlRICaptureGetInfo,2.16,4,0.54,0.32,1.09,0.102
host,acl,aclnnDiv,6964.37,700,9.949,5.06,2263.74,7269.97
host,acl,aclnnDivGetWorkspaceSize,81068.11,1,81068.11,81068.11,81068.11,0
host,acl,aclrtBinaryLoadFromData,304.87,1,304.87,304.87,304.87,0
host,acl,aclrtCreateEventExWithFlag,153.16,10,15.316,1.69,115.94,1135.113
host,acl,aclrtCreateStreamWithConfig,1868.22,2,934.11,749.78,1118.44,33977.549
host,acl,aclrtCtxGetSysParamOpt,27.57,32,0.862,0.54,5.3,0.964
host,acl,aclrtCtxSetSysParamOpt,6.1,1,6.1,6.1,6.1,0
host,acl,aclrtDestroyEvent,94.61,10,9.461,0.96,74.12,465.547
host,acl,aclrtDestroyStreamForce,3531.76,1,3531.76,3531.76,3531.76,0
host,acl,aclrtFree,11.69,2,5.845,1.94,9.75,15.249
host,acl,aclrtGetCurrentContext,1.2,1,1.2,1.2,1.2,0
host,acl,aclrtGetDeviceCount,3.58,4,0.895,0.32,1.6,0.267
host,acl,aclrtGetResInCurrentThread,2.44,2,1.22,0.3,2.14,0.846
host,acl,aclrtGetStreamAttribute,302.02,700,0.431,0.35,7,0.071
host,acl,aclrtLaunchKernelWithHostArgs,2990.49,700,4.272,3.05,26.59,2.651
host,acl,aclrtMemcpy,133.87,2,66.935,19.31,114.56,2268.141
host,acl,aclrtRecordEvent,156.35,10,15.635,6.22,79.26,455.708
host,acl,aclrtResetDevice,3.24,1,3.24,3.24,3.24,0
host,acl,aclrtSetDevice,42.93,1,42.93,42.93,42.93,0
host,acl,aclrtSetOpExecuteTimeOutV2,1207.99,1,1207.99,1207.99,1207.99,0
host,acl,aclrtSetStreamFailureMode,4.25,2,2.125,1.86,2.39,0.07
host,acl,aclrtSynchronizeDeviceWithTimeout,40.95,3,13.65,8.89,18.8,16.444
host,acl,aclrtSynchronizeEvent,194.95,15,12.997,0.47,41.47,307.547
host,acl,aclrtSynchronizeStream,8.02,2,4.01,2.71,5.31,1.69
host,node,launch,3893.07,700,5.562,3.73,366.19,188.463
