Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,RealDiv_Tiling,38.68,1,38.68,38.68,38.68,0
host,acl,aclmdlRICaptureGetInfo,2.23,4,0.558,0.29,1.17,0.127
host,acl,aclnnDiv,6654.42,700,9.506,5.02,2079.76,6133.31
host,acl,aclnnDivGetWorkspaceSize,79785.47,1,79785.47,79785.47,79785.47,0
host,acl,aclrtBinaryLoadFromData,275.23,1,275.23,275.23,275.23,0
host,acl,aclrtCreateEventExWithFlag,152.51,10,15.251,1.86,122.11,1274.111
host,acl,aclrtCreateStreamWithConfig,1815.7,2,907.85,733.67,1082.03,30338.672
host,acl,aclrtCtxGetSysParamOpt,24.76,32,0.774,0.47,4.68,0.655
host,acl,aclrtCtxSetSysParamOpt,1.73,1,1.73,1.73,1.73,0
host,acl,aclrtDestroyEvent,93.02,10,9.302,1.02,74.31,470.197
host,acl,aclrtDestroyStreamForce,2722.34,1,2722.34,2722.34,2722.34,0
host,acl,aclrtFree,13,3,4.333,1.49,9.02,11.149
host,acl,aclrtGetCurrentContext,1.14,1,1.14,1.14,1.14,0
host,acl,aclrtGetDeviceCount,5.52,4,1.38,0.34,3.72,1.896
host,acl,aclrtGetResInCurrentThread,2.22,2,1.11,0.31,1.91,0.64
host,acl,aclrtGetStreamAttribute,290.24,700,0.415,0.34,8.74,0.106
host,acl,aclrtLaunchKernelWithHostArgs,2912.09,700,4.16,2.89,21.85,1.819
host,acl,aclrtMemcpy,6270.1,2,3135.05,25.15,6244.95,9671478.01
host,acl,aclrtRecordEvent,158.16,10,15.816,6.81,83.1,506.452
host,acl,aclrtResetDevice,3.04,1,3.04,3.04,3.04,0
host,acl,aclrtSetDevice,52.35,1,52.35,52.35,52.35,0
host,acl,aclrtSetOpExecuteTimeOutV2,1214.68,1,1214.68,1214.68,1214.68,0
host,acl,aclrtSetStreamFailureMode,4.18,2,2.09,1.9,2.28,0.036
host,acl,aclrtSynchronizeDeviceWithTimeout,9789.21,3,3263.07,9.05,9766.35,21146329.155
host,acl,aclrtSynchronizeEvent,24009.53,15,1600.635,0.45,4907.47,5120575.179
host,acl,aclrtSynchronizeStream,7.6,2,3.8,2.57,5.03,1.513
host,node,launch,3760.01,700,5.371,3.59,337.9,159.645
