Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,RealDiv_Tiling,38.55,1,38.55,38.55,38.55,0
host,acl,aclmdlRICaptureGetInfo,2.2,4,0.55,0.3,1.17,0.129
host,acl,aclnnDiv,6232.17,700,8.903,4.64,2044.3,5929.111
host,acl,aclnnDivGetWorkspaceSize,81348.48,1,81348.48,81348.48,81348.48,0
host,acl,aclrtBinaryLoadFromData,255.19,1,255.19,255.19,255.19,0
host,acl,aclrtCreateEventExWithFlag,32.56,10,3.256,1.92,9.19,4.371
host,acl,aclrtCreateStreamWithConfig,2055.62,2,1027.81,977.29,1078.33,2552.27
host,acl,aclrtCtxGetSysParamOpt,26.93,32,0.842,0.47,5.32,0.974
host,acl,aclrtCtxSetSysParamOpt,5.75,1,5.75,5.75,5.75,0
host,acl,aclrtDestroyEvent,15.24,10,1.524,1.02,2.98,0.321
host,acl,aclrtDestroyStreamForce,1753.79,1,1753.79,1753.79,1753.79,0
host,acl,aclrtFree,11.1,2,5.55,1.95,9.15,12.96
host,acl,aclrtGetCurrentContext,1.05,1,1.05,1.05,1.05,0
host,acl,aclrtGetDeviceCount,3.48,4,0.87,0.31,1.64,0.295
host,acl,aclrtGetResInCurrentThread,2.04,2,1.02,0.31,1.73,0.504
host,acl,aclrtGetStreamAttribute,257.41,700,0.368,0.32,2.23,0.007
host,acl,aclrtLaunchKernelWithHostArgs,2573.94,700,3.677,2.74,21.7,1.358
host,acl,aclrtMemcpy,1018.89,2,509.445,19.78,999.11,239771.812
host,acl,aclrtRecordEvent,209.06,10,20.906,6.02,146.14,1745.221
host,acl,aclrtResetDevice,3.33,1,3.33,3.33,3.33,0
host,acl,aclrtSetDevice,43.59,1,43.59,43.59,43.59,0
host,acl,aclrtSetOpExecuteTimeOutV2,1184.84,1,1184.84,1184.84,1184.84,0
host,acl,aclrtSetStreamFailureMode,4.4,2,2.2,1.96,2.44,0.058
host,acl,aclrtSynchronizeDeviceWithTimeout,192.61,3,64.203,11.46,159.67,4573.676
host,acl,aclrtSynchronizeEvent,2716.46,15,181.097,0.47,674.33,66625.771
host,acl,aclrtSynchronizeStream,7.62,2,3.81,2.34,5.28,2.161
host,node,launch,3446.55,700,4.924,3.38,343.42,166.032
