Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,RealDiv_Tiling,167.26,16,10.454,3.5,40.54,101.109
host,acl,aclnnDiv,30618.83,4200,7.29,4.97,1974.31,927.665
host,acl,aclnnDivGetWorkspaceSize,81731.01,16,5108.188,8.57,81485.85,388903207.5
host,acl,aclrtBinaryLoadFromData,263.84,1,263.84,263.84,263.84,0
host,acl,aclrtCreateEventExWithFlag,584.13,60,9.736,1.64,121.57,327.293
host,acl,aclrtCreateStreamWithConfig,1831.41,2,915.705,774.67,1056.74,19890.871
host,acl,aclrtCtxGetSysParamOpt,25.24,32,0.789,0.53,4.52,0.633
host,acl,aclrtCtxSetSysParamOpt,2.65,2,1.325,0.74,1.91,0.342
host,acl,aclrtDestroyEvent,514.47,60,8.575,0.94,72.9,179.326
host,acl,aclrtDestroyStreamForce,1582.12,1,1582.12,1582.12,1582.12,0
host,acl,aclrtFree,1548.62,7,221.231,1.92,672.53,68557.114
host,acl,aclrtGetCurrentContext,1.35,1,1.35,1.35,1.35,0
host,acl,aclrtGetResInCurrentThread,20.11,32,0.628,0.3,1.76,0.175
host,acl,aclrtGetStreamAttribute,1803.39,4200,0.429,0.36,6.95,0.012
host,acl,aclrtLaunchKernelWithHostArgs,18032.18,4200,4.293,2.85,36.71,1.929
host,acl,aclrtMemcpy,24924.83,12,2077.069,19.36,12512.04,13211262.697
host,acl,aclrtRecordEvent,479.61,60,7.993,5.31,75.47,78.525
host,acl,aclrtResetDevice,3.29,1,3.29,3.29,3.29,0
host,acl,aclrtSetDevice,38.6,1,38.6,38.6,38.6,0
host,acl,aclrtSetOpExecuteTimeOutV2,1187.7,1,1187.7,1187.7,1187.7,0
host,acl,aclrtSetStreamFailureMode,4.67,2,2.335,2.11,2.56,0.051
host,acl,aclrtSynchronizeDeviceWithTimeout,38609.34,8,4826.168,7.27,21824.3,51039814.7
host,acl,aclrtSynchronizeEvent,97984.67,90,1088.719,0.44,10950.85,7024443.885
host,acl,aclrtSynchronizeStream,69.6,12,5.8,2.36,14.82,15.435
host,node,launch,21758.19,4200,5.181,3.52,327.03,27.093
