Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,RealDiv_Tiling,38.11,1,38.11,38.11,38.11,0
host,acl,aclmdlRICaptureGetInfo,2.34,4,0.585,0.33,1.27,0.157
host,acl,aclnnDiv,6823.92,700,9.748,4.91,2311.48,7580.763
host,acl,aclnnDivGetWorkspaceSize,80557.99,1,80557.99,80557.99,80557.99,0
host,acl,aclrtBinaryLoadFromData,312.3,1,312.3,312.3,312.3,0
host,acl,aclrtCreateEventExWithFlag,145.22,10,14.522,1.77,113.38,1093.362
host,acl,aclrtCreateStreamWithConfig,1855.68,2,927.84,735.52,1120.16,36986.982
host,acl,aclrtCtxGetSysParamOpt,26.6,32,0.831,0.53,4.97,0.781
host,acl,aclrtCtxSetSysParamOpt,5.74,1,5.74,5.74,5.74,0
host,acl,aclrtDestroyEvent,89.23,10,8.923,1.08,74,470.804
host,acl,aclrtDestroyStreamForce,3705.28,1,3705.28,3705.28,3705.28,0
host,acl,aclrtFree,10.87,2,5.435,1.9,8.97,12.496
host,acl,aclrtGetCurrentContext,1.15,1,1.15,1.15,1.15,0
host,acl,aclrtGetDeviceCount,4.03,4,1.008,0.31,2.25,0.588
host,acl,aclrtGetResInCurrentThread,2.1,2,1.05,0.31,1.79,0.548
host,acl,aclrtGetStreamAttribute,276.32,700,0.395,0.34,2.08,0.005
host,acl,aclrtLaunchKernelWithHostArgs,2893.03,700,4.133,2.8,23.1,1.73
host,acl,aclrtMemcpy,4663.7,2,2331.85,20.62,4643.08,5341784.113
host,acl,aclrtRecordEvent,139.67,10,13.967,6.29,77.04,442.19
host,acl,aclrtResetDevice,4.34,1,4.34,4.34,4.34,0
host,acl,aclrtSetDevice,51.54,1,51.54,51.54,51.54,0
host,acl,aclrtSetOpExecuteTimeOutV2,1213.93,1,1213.93,1213.93,1213.93,0
host,acl,aclrtSetStreamFailureMode,4.48,2,2.24,1.95,2.53,0.084
host,acl,aclrtSynchronizeDeviceWithTimeout,2099.78,3,699.927,8.44,2076.51,947497.642
host,acl,aclrtSynchronizeEvent,4400.83,15,293.389,0.47,971.04,172161.424
host,acl,aclrtSynchronizeStream,7.22,2,3.61,2.43,4.79,1.392
host,node,launch,3733.07,700,5.333,3.4,356.7,177.905
