Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,RealDiv_Tiling,37.95,1,37.95,37.95,37.95,0
host,acl,aclmdlRICaptureGetInfo,2.17,4,0.543,0.32,1.13,0.116
host,acl,aclnnDiv,6691.54,700,9.559,4.87,2312.68,7591.343
host,acl,aclnnDivGetWorkspaceSize,78721.65,1,78721.65,78721.65,78721.65,0
host,acl,aclrtBinaryLoadFromData,334.42,1,334.42,334.42,334.42,0
host,acl,aclrtCreateEventExWithFlag,30.2,10,3.02,1.93,5.68,1.443
host,acl,aclrtCreateStreamWithConfig,1939.22,2,969.61,747.2,1192.02,49466.208
host,acl,aclrtCtxGetSysParamOpt,26.16,32,0.818,0.54,4.01,0.649
host,acl,aclrtCtxSetSysParamOpt,1.62,1,1.62,1.62,1.62,0
host,acl,aclrtDestroyEvent,16.68,10,1.668,0.96,3.3,0.433
host,acl,aclrtDestroyStreamForce,3702.3,1,3702.3,3702.3,3702.3,0
host,acl,aclrtFree,13.28,3,4.427,1.53,9.51,13.004
host,acl,aclrtGetCurrentContext,1.26,1,1.26,1.26,1.26,0
host,acl,aclrtGetDeviceCount,4.8,4,1.2,0.33,2.96,1.112
host,acl,aclrtGetResInCurrentThread,2.2,2,1.1,0.31,1.89,0.624
host,acl,aclrtGetStreamAttribute,276.28,700,0.395,0.33,2.21,0.006
host,acl,aclrtLaunchKernelWithHostArgs,2742.11,700,3.917,2.75,28.52,2.957
host,acl,aclrtMemcpy,3391.67,2,1695.835,21.74,3369.93,2802594.069
host,acl,aclrtRecordEvent,144.15,10,14.415,6.18,81.73,503.591
host,acl,aclrtResetDevice,3.4,1,3.4,3.4,3.4,0
host,acl,aclrtSetDevice,49.64,1,49.64,49.64,49.64,0
host,acl,aclrtSetOpExecuteTimeOutV2,1202.04,1,1202.04,1202.04,1202.04,0
host,acl,aclrtSetStreamFailureMode,4.29,2,2.145,1.93,2.36,0.046
host,acl,aclrtSynchronizeDeviceWithTimeout,4327.11,3,1442.37,9.12,4304.48,4095840.038
host,acl,aclrtSynchronizeEvent,10521.87,15,701.458,0.48,2138.68,982296.591
host,acl,aclrtSynchronizeStream,6.99,2,3.495,2.42,4.57,1.156
host,node,launch,3588.46,700,5.126,3.41,335.12,158.379
