Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784216647589246.165	,1784216647589246.185	
0,matmul_kernel,KERNEL_AIVEC,46,0,80884.240,1784216647596110.805	,1784216647676995.045	
0,matmul_kernel,KERNEL_AIVEC,46,1,81459.860,1784216647676995.085	,1784216647758454.945	
0,matmul_kernel,KERNEL_AIVEC,46,2,80760.000,1784216647758454.985	,1784216647839214.985	
0,matmul_kernel,KERNEL_AIVEC,46,3,79171.360,1784216647839215.005	,1784216647918386.365	
0,matmul_kernel,KERNEL_AIVEC,46,4,80175.980,1784216647918386.385	,1784216647998562.365	
0,N/A,EVENT_RECORD,46,5,0.020,1784216647998689.485	,1784216647998689.505	
0,matmul_kernel,KERNEL_AIVEC,46,6,80820.740,1784216647998696.405	,1784216648079517.145	
0,matmul_kernel,KERNEL_AIVEC,46,7,80550.460,1784216648079517.165	,1784216648160067.625	
0,matmul_kernel,KERNEL_AIVEC,46,8,79795.700,1784216648160067.645	,1784216648239863.345	
0,matmul_kernel,KERNEL_AIVEC,46,9,80421.540,1784216648239863.385	,1784216648320284.925	
0,matmul_kernel,KERNEL_AIVEC,46,10,79399.120,1784216648320284.945	,1784216648399684.065	
0,matmul_kernel,KERNEL_AIVEC,46,11,80818.760,1784216648399684.085	,1784216648480502.845	
0,matmul_kernel,KERNEL_AIVEC,46,12,81458.500,1784216648480502.865	,1784216648561961.365	
0,matmul_kernel,KERNEL_AIVEC,46,13,80755.440,1784216648561961.385	,1784216648642716.825	
0,matmul_kernel,KERNEL_AIVEC,46,14,79170.800,1784216648642716.845	,1784216648721887.645	
0,matmul_kernel,KERNEL_AIVEC,46,15,80175.020,1784216648721887.665	,1784216648802062.685	
0,N/A,EVENT_RECORD,46,16,0.020,1784216648802062.705	,1784216648802062.725	
0,N/A,EVENT_RECORD,46,17,0.020,1784216648802151.025	,1784216648802151.045	
0,matmul_kernel,KERNEL_AIVEC,46,18,80820.440,1784216648802157.745	,1784216648882978.185	
0,matmul_kernel,KERNEL_AIVEC,46,19,80548.620,1784216648882978.205	,1784216648963526.825	
0,matmul_kernel,KERNEL_AIVEC,46,20,79795.260,1784216648963526.865	,1784216649043322.125	
0,matmul_kernel,KERNEL_AIVEC,46,21,80420.680,1784216649043322.145	,1784216649123742.825	
0,matmul_kernel,KERNEL_AIVEC,46,22,79399.240,1784216649123742.865	,1784216649203142.105	
0,matmul_kernel,KERNEL_AIVEC,46,23,80818.260,1784216649203142.125	,1784216649283960.385	
0,matmul_kernel,KERNEL_AIVEC,46,24,81457.960,1784216649283960.425	,1784216649365418.385	
0,matmul_kernel,KERNEL_AIVEC,46,25,80755.780,1784216649365418.405	,1784216649446174.185	
0,matmul_kernel,KERNEL_AIVEC,46,26,79170.560,1784216649446174.225	,1784216649525344.785	
0,matmul_kernel,KERNEL_AIVEC,46,27,80176.700,1784216649525344.805	,1784216649605521.505	
0,N/A,EVENT_RECORD,46,28,0.020,1784216649605521.525	,1784216649605521.545	
0,N/A,EVENT_RECORD,46,29,0.000,1784216649605607.605	,1784216649605607.605	
0,matmul_kernel,KERNEL_AIVEC,46,30,80819.680,1784216649605625.385	,1784216649686445.065	
0,matmul_kernel,KERNEL_AIVEC,46,31,80549.360,1784216649686445.085	,1784216649766994.445	
0,matmul_kernel,KERNEL_AIVEC,46,32,79794.200,1784216649766994.465	,1784216649846788.665	
0,matmul_kernel,KERNEL_AIVEC,46,33,80420.460,1784216649846788.685	,1784216649927209.145	
0,matmul_kernel,KERNEL_AIVEC,46,34,79398.640,1784216649927209.165	,1784216650006607.805	
0,matmul_kernel,KERNEL_AIVEC,46,35,80818.360,1784216650006607.845	,1784216650087426.205	
0,matmul_kernel,KERNEL_AIVEC,46,36,81458.060,1784216650087426.225	,1784216650168884.285	
0,matmul_kernel,KERNEL_AIVEC,46,37,80755.600,1784216650168884.305	,1784216650249639.905	
0,matmul_kernel,KERNEL_AIVEC,46,38,79170.380,1784216650249639.925	,1784216650328810.305	
0,matmul_kernel,KERNEL_AIVEC,46,39,80176.440,1784216650328810.325	,1784216650408986.765	
0,N/A,EVENT_RECORD,46,40,0.020,1784216650408986.785	,1784216650408986.805	
0,N/A,EVENT_RECORD,46,41,0.020,1784216650409083.805	,1784216650409083.825	
0,matmul_kernel,KERNEL_AIVEC,46,42,80820.620,1784216650409100.925	,1784216650489921.545	
0,matmul_kernel,KERNEL_AIVEC,46,43,80548.920,1784216650489921.565	,1784216650570470.485	
0,matmul_kernel,KERNEL_AIVEC,46,44,79795.120,1784216650570470.525	,1784216650650265.645	
0,matmul_kernel,KERNEL_AIVEC,46,45,80420.840,1784216650650265.685	,1784216650730686.525	
0,matmul_kernel,KERNEL_AIVEC,46,46,79398.960,1784216650730686.545	,1784216650810085.505	
0,matmul_kernel,KERNEL_AIVEC,46,47,80818.140,1784216650810085.525	,1784216650890903.665	
0,matmul_kernel,KERNEL_AIVEC,46,48,81458.500,1784216650890903.685	,1784216650972362.185	
0,matmul_kernel,KERNEL_AIVEC,46,49,80756.280,1784216650972362.205	,1784216651053118.485	
0,matmul_kernel,KERNEL_AIVEC,46,50,79171.340,1784216651053118.525	,1784216651132289.865	
0,matmul_kernel,KERNEL_AIVEC,46,51,80175.500,1784216651132289.885	,1784216651212465.385	
0,N/A,EVENT_RECORD,46,52,0.020,1784216651212465.405	,1784216651212465.425	
0,N/A,EVENT_RECORD,46,53,0.020,1784216651212542.525	,1784216651212542.545	
0,matmul_kernel,KERNEL_AIVEC,46,54,80820.120,1784216651212549.125	,1784216651293369.245	
0,matmul_kernel,KERNEL_AIVEC,46,55,80549.340,1784216651293369.265	,1784216651373918.605	
0,matmul_kernel,KERNEL_AIVEC,46,56,79795.020,1784216651373918.625	,1784216651453713.645	
0,matmul_kernel,KERNEL_AIVEC,46,57,80420.240,1784216651453713.665	,1784216651534133.905	
0,matmul_kernel,KERNEL_AIVEC,46,58,79399.680,1784216651534133.945	,1784216651613533.625	
0,matmul_kernel,KERNEL_AIVEC,46,59,80818.000,1784216651613533.645	,1784216651694351.645	
0,matmul_kernel,KERNEL_AIVEC,46,60,81457.600,1784216651694351.685	,1784216651775809.285	
0,matmul_kernel,KERNEL_AIVEC,46,61,80755.720,1784216651775809.305	,1784216651856565.025	
0,matmul_kernel,KERNEL_AIVEC,46,62,79171.160,1784216651856565.045	,1784216651935736.205	
0,matmul_kernel,KERNEL_AIVEC,46,63,80175.700,1784216651935736.225	,1784216652015911.925	
0,N/A,EVENT_RECORD,46,64,0.000,1784216652015911.965	,1784216652015911.965	
0,N/A,PROFILING_DISABLE,49,4,0.020,1784216652018666.305	,1784216652018666.325	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1784216652018719.705	,1784216652018719.725	
