Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784217905003371.865	,1784217905003371.885	
0,matmul_kernel,KERNEL_AICORE,46,0,11.040,1784217905010590.925	,1784217905010601.965	
0,matmul_kernel,KERNEL_AICORE,46,1,9.840,1784217905010601.985	,1784217905010611.825	
0,matmul_kernel,KERNEL_AICORE,46,2,9.460,1784217905010611.845	,1784217905010621.305	
0,matmul_kernel,KERNEL_AICORE,46,3,9.760,1784217905010621.345	,1784217905010631.105	
0,matmul_kernel,KERNEL_AICORE,46,4,9.860,1784217905010631.125	,1784217905010640.985	
0,matmul_kernel,KERNEL_AICORE,46,5,9.860,1784217905010641.025	,1784217905010650.885	
0,matmul_kernel,KERNEL_AICORE,46,6,9.800,1784217905010650.905	,1784217905010660.705	
0,matmul_kernel,KERNEL_AICORE,46,7,9.600,1784217905010660.725	,1784217905010670.325	
0,matmul_kernel,KERNEL_AICORE,46,8,9.620,1784217905010670.365	,1784217905010679.985	
0,matmul_kernel,KERNEL_AICORE,46,9,9.600,1784217905010680.005	,1784217905010689.605	
0,matmul_kernel,KERNEL_AICORE,46,10,9.880,1784217905010689.625	,1784217905010699.505	
0,matmul_kernel,KERNEL_AICORE,46,11,9.860,1784217905010699.525	,1784217905010709.385	
0,matmul_kernel,KERNEL_AICORE,46,12,8.840,1784217905010709.405	,1784217905010718.245	
0,matmul_kernel,KERNEL_AICORE,46,13,8.520,1784217905010718.265	,1784217905010726.785	
0,matmul_kernel,KERNEL_AICORE,46,14,8.620,1784217905010726.805	,1784217905010735.425	
0,matmul_kernel,KERNEL_AICORE,46,15,8.580,1784217905010735.465	,1784217905010744.045	
0,matmul_kernel,KERNEL_AICORE,46,16,8.760,1784217905010744.065	,1784217905010752.825	
0,matmul_kernel,KERNEL_AICORE,46,17,8.880,1784217905010752.845	,1784217905010761.725	
0,matmul_kernel,KERNEL_AICORE,46,18,8.800,1784217905010761.745	,1784217905010770.545	
0,matmul_kernel,KERNEL_AICORE,46,19,8.620,1784217905010770.565	,1784217905010779.185	
0,matmul_kernel,KERNEL_AICORE,46,20,4.080,1784217905010779.205	,1784217905010783.285	
0,matmul_kernel,KERNEL_AICORE,46,21,4.260,1784217905010783.305	,1784217905010787.565	
0,matmul_kernel,KERNEL_AICORE,46,22,4.340,1784217905010787.585	,1784217905010791.925	
0,matmul_kernel,KERNEL_AICORE,46,23,4.260,1784217905010791.945	,1784217905010796.205	
0,matmul_kernel,KERNEL_AICORE,46,24,4.120,1784217905010796.225	,1784217905010800.345	
0,matmul_kernel,KERNEL_AICORE,46,25,4.300,1784217905010800.365	,1784217905010804.665	
0,matmul_kernel,KERNEL_AICORE,46,26,4.460,1784217905010804.685	,1784217905010809.145	
0,matmul_kernel,KERNEL_AICORE,46,27,4.300,1784217905010809.165	,1784217905010813.465	
0,matmul_kernel,KERNEL_AICORE,46,28,4.320,1784217905010813.485	,1784217905010817.805	
0,matmul_kernel,KERNEL_AICORE,46,29,4.220,1784217905010817.825	,1784217905010822.045	
0,matmul_kernel,KERNEL_AICORE,46,30,4.300,1784217905010823.145	,1784217905010827.445	
0,matmul_kernel,KERNEL_AICORE,46,31,4.400,1784217905010829.425	,1784217905010833.825	
0,matmul_kernel,KERNEL_AICORE,46,32,4.160,1784217905010836.145	,1784217905010840.305	
0,matmul_kernel,KERNEL_AICORE,46,33,4.120,1784217905010842.665	,1784217905010846.785	
0,matmul_kernel,KERNEL_AICORE,46,34,4.140,1784217905010849.205	,1784217905010853.345	
0,matmul_kernel,KERNEL_AICORE,46,35,4.000,1784217905010855.745	,1784217905010859.745	
0,matmul_kernel,KERNEL_AICORE,46,36,4.180,1784217905010862.225	,1784217905010866.405	
0,matmul_kernel,KERNEL_AICORE,46,37,4.080,1784217905010868.765	,1784217905010872.845	
0,matmul_kernel,KERNEL_AICORE,46,38,4.300,1784217905010875.465	,1784217905010879.765	
0,matmul_kernel,KERNEL_AICORE,46,39,4.140,1784217905010882.025	,1784217905010886.165	
0,matmul_kernel,KERNEL_AICORE,46,40,4.040,1784217905010888.465	,1784217905010892.505	
0,matmul_kernel,KERNEL_AICORE,46,41,4.120,1784217905010894.945	,1784217905010899.065	
0,matmul_kernel,KERNEL_AICORE,46,42,4.320,1784217905010901.465	,1784217905010905.785	
0,matmul_kernel,KERNEL_AICORE,46,43,4.200,1784217905010908.025	,1784217905010912.225	
0,matmul_kernel,KERNEL_AICORE,46,44,4.120,1784217905010914.505	,1784217905010918.625	
0,matmul_kernel,KERNEL_AICORE,46,45,4.280,1784217905010921.025	,1784217905010925.305	
0,matmul_kernel,KERNEL_AICORE,46,46,4.340,1784217905010927.505	,1784217905010931.845	
0,matmul_kernel,KERNEL_AICORE,46,47,4.160,1784217905010934.005	,1784217905010938.165	
0,matmul_kernel,KERNEL_AICORE,46,48,4.480,1784217905010940.425	,1784217905010944.905	
0,matmul_kernel,KERNEL_AICORE,46,49,4.320,1784217905010946.945	,1784217905010951.265	
0,matmul_kernel,KERNEL_AICORE,46,50,4.280,1784217905010953.305	,1784217905010957.585	
0,matmul_kernel,KERNEL_AICORE,46,51,4.420,1784217905010959.685	,1784217905010964.105	
0,matmul_kernel,KERNEL_AICORE,46,52,4.220,1784217905010966.105	,1784217905010970.325	
0,matmul_kernel,KERNEL_AICORE,46,53,4.280,1784217905010972.485	,1784217905010976.765	
0,matmul_kernel,KERNEL_AICORE,46,54,4.180,1784217905010978.925	,1784217905010983.105	
0,matmul_kernel,KERNEL_AICORE,46,55,4.200,1784217905010985.325	,1784217905010989.525	
0,matmul_kernel,KERNEL_AICORE,46,56,4.140,1784217905010991.665	,1784217905010995.805	
0,matmul_kernel,KERNEL_AICORE,46,57,4.360,1784217905010998.125	,1784217905011002.485	
0,matmul_kernel,KERNEL_AICORE,46,58,4.200,1784217905011004.345	,1784217905011008.545	
0,matmul_kernel,KERNEL_AICORE,46,59,4.100,1784217905011010.765	,1784217905011014.865	
0,matmul_kernel,KERNEL_AICORE,46,60,3.400,1784217905011017.145	,1784217905011020.545	
0,matmul_kernel,KERNEL_AICORE,46,61,3.440,1784217905011023.445	,1784217905011026.885	
0,matmul_kernel,KERNEL_AICORE,46,62,3.600,1784217905011029.805	,1784217905011033.405	
0,matmul_kernel,KERNEL_AICORE,46,63,3.460,1784217905011036.185	,1784217905011039.645	
0,matmul_kernel,KERNEL_AICORE,46,64,3.520,1784217905011042.665	,1784217905011046.185	
0,matmul_kernel,KERNEL_AICORE,46,65,3.580,1784217905011049.225	,1784217905011052.805	
0,matmul_kernel,KERNEL_AICORE,46,66,3.640,1784217905011055.665	,1784217905011059.305	
0,matmul_kernel,KERNEL_AICORE,46,67,3.820,1784217905011062.165	,1784217905011065.985	
0,matmul_kernel,KERNEL_AICORE,46,68,3.580,1784217905011068.665	,1784217905011072.245	
0,matmul_kernel,KERNEL_AICORE,46,69,3.580,1784217905011075.065	,1784217905011078.645	
0,matmul_kernel,KERNEL_AICORE,46,70,3.600,1784217905011081.645	,1784217905011085.245	
0,matmul_kernel,KERNEL_AICORE,46,71,3.680,1784217905011088.165	,1784217905011091.845	
0,matmul_kernel,KERNEL_AICORE,46,72,3.540,1784217905011094.525	,1784217905011098.065	
0,matmul_kernel,KERNEL_AICORE,46,73,3.480,1784217905011100.965	,1784217905011104.445	
0,matmul_kernel,KERNEL_AICORE,46,74,3.480,1784217905011107.425	,1784217905011110.905	
0,matmul_kernel,KERNEL_AICORE,46,75,3.600,1784217905011113.945	,1784217905011117.545	
0,matmul_kernel,KERNEL_AICORE,46,76,3.480,1784217905011120.365	,1784217905011123.845	
0,matmul_kernel,KERNEL_AICORE,46,77,3.500,1784217905011126.805	,1784217905011130.305	
0,matmul_kernel,KERNEL_AICORE,46,78,3.740,1784217905011133.105	,1784217905011136.845	
0,matmul_kernel,KERNEL_AICORE,46,79,3.420,1784217905011139.505	,1784217905011142.925	
0,matmul_kernel,KERNEL_AICORE,46,80,3.440,1784217905011145.885	,1784217905011149.325	
0,matmul_kernel,KERNEL_AICORE,46,81,3.520,1784217905011152.345	,1784217905011155.865	
0,matmul_kernel,KERNEL_AICORE,46,82,3.560,1784217905011158.665	,1784217905011162.225	
0,matmul_kernel,KERNEL_AICORE,46,83,3.500,1784217905011165.005	,1784217905011168.505	
0,matmul_kernel,KERNEL_AICORE,46,84,3.460,1784217905011171.345	,1784217905011174.805	
0,matmul_kernel,KERNEL_AICORE,46,85,3.560,1784217905011177.685	,1784217905011181.245	
0,matmul_kernel,KERNEL_AICORE,46,86,3.680,1784217905011184.105	,1784217905011187.785	
0,matmul_kernel,KERNEL_AICORE,46,87,3.660,1784217905011190.445	,1784217905011194.105	
0,matmul_kernel,KERNEL_AICORE,46,88,3.600,1784217905011196.705	,1784217905011200.305	
0,matmul_kernel,KERNEL_AICORE,46,89,3.520,1784217905011202.985	,1784217905011206.505	
0,matmul_kernel,KERNEL_AICORE,46,90,3.600,1784217905011209.245	,1784217905011212.845	
0,matmul_kernel,KERNEL_AICORE,46,91,3.660,1784217905011215.565	,1784217905011219.225	
0,matmul_kernel,KERNEL_AICORE,46,92,3.580,1784217905011221.885	,1784217905011225.465	
0,matmul_kernel,KERNEL_AICORE,46,93,3.500,1784217905011228.225	,1784217905011231.725	
0,matmul_kernel,KERNEL_AICORE,46,94,3.500,1784217905011234.425	,1784217905011237.925	
0,matmul_kernel,KERNEL_AICORE,46,95,3.440,1784217905011240.645	,1784217905011244.085	
0,matmul_kernel,KERNEL_AICORE,46,96,3.500,1784217905011247.185	,1784217905011250.685	
0,matmul_kernel,KERNEL_AICORE,46,97,3.540,1784217905011253.805	,1784217905011257.345	
0,matmul_kernel,KERNEL_AICORE,46,98,3.580,1784217905011260.325	,1784217905011263.905	
0,matmul_kernel,KERNEL_AICORE,46,99,3.420,1784217905011266.865	,1784217905011270.285	
0,matmul_kernel,KERNEL_AICORE,46,100,3.420,1784217905011273.445	,1784217905011276.865	
0,matmul_kernel,KERNEL_AICORE,46,101,3.480,1784217905011279.985	,1784217905011283.465	
0,matmul_kernel,KERNEL_AICORE,46,102,3.580,1784217905011286.705	,1784217905011290.285	
0,matmul_kernel,KERNEL_AICORE,46,103,3.500,1784217905011293.165	,1784217905011296.665	
0,matmul_kernel,KERNEL_AICORE,46,104,3.480,1784217905011299.685	,1784217905011303.165	
0,matmul_kernel,KERNEL_AICORE,46,105,3.560,1784217905011306.405	,1784217905011309.965	
0,matmul_kernel,KERNEL_AICORE,46,106,3.620,1784217905011312.625	,1784217905011316.245	
0,matmul_kernel,KERNEL_AICORE,46,107,3.600,1784217905011319.185	,1784217905011322.785	
0,matmul_kernel,KERNEL_AICORE,46,108,3.600,1784217905011325.845	,1784217905011329.445	
0,matmul_kernel,KERNEL_AICORE,46,109,3.560,1784217905011332.145	,1784217905011335.705	
0,matmul_kernel,KERNEL_AICORE,46,110,3.560,1784217905011338.585	,1784217905011342.145	
0,matmul_kernel,KERNEL_AICORE,46,111,3.720,1784217905011345.345	,1784217905011349.065	
0,matmul_kernel,KERNEL_AICORE,46,112,3.540,1784217905011351.565	,1784217905011355.105	
0,matmul_kernel,KERNEL_AICORE,46,113,3.480,1784217905011358.045	,1784217905011361.525	
0,matmul_kernel,KERNEL_AICORE,46,114,3.520,1784217905011364.465	,1784217905011367.985	
0,matmul_kernel,KERNEL_AICORE,46,115,3.440,1784217905011370.805	,1784217905011374.245	
0,matmul_kernel,KERNEL_AICORE,46,116,3.540,1784217905011377.185	,1784217905011380.725	
0,matmul_kernel,KERNEL_AICORE,46,117,3.540,1784217905011383.585	,1784217905011387.125	
0,matmul_kernel,KERNEL_AICORE,46,118,3.520,1784217905011390.085	,1784217905011393.605	
0,matmul_kernel,KERNEL_AICORE,46,119,3.620,1784217905011396.485	,1784217905011400.105	
0,matmul_kernel,KERNEL_AICORE,46,120,3.480,1784217905011402.825	,1784217905011406.305	
0,matmul_kernel,KERNEL_AICORE,46,121,3.460,1784217905011409.185	,1784217905011412.645	
0,matmul_kernel,KERNEL_AICORE,46,122,3.580,1784217905011415.525	,1784217905011419.105	
0,matmul_kernel,KERNEL_AICORE,46,123,3.500,1784217905011421.965	,1784217905011425.465	
0,matmul_kernel,KERNEL_AICORE,46,124,3.540,1784217905011428.285	,1784217905011431.825	
0,matmul_kernel,KERNEL_AICORE,46,125,3.520,1784217905011434.665	,1784217905011438.185	
0,matmul_kernel,KERNEL_AICORE,46,126,3.660,1784217905011441.025	,1784217905011444.685	
0,matmul_kernel,KERNEL_AICORE,46,127,3.640,1784217905011447.365	,1784217905011451.005	
0,matmul_kernel,KERNEL_AICORE,46,128,3.560,1784217905011453.785	,1784217905011457.345	
0,matmul_kernel,KERNEL_AICORE,46,129,3.600,1784217905011460.425	,1784217905011464.025	
0,matmul_kernel,KERNEL_AICORE,46,130,3.580,1784217905011466.825	,1784217905011470.405	
0,matmul_kernel,KERNEL_AICORE,46,131,3.680,1784217905011473.225	,1784217905011476.905	
0,matmul_kernel,KERNEL_AICORE,46,132,3.560,1784217905011479.625	,1784217905011483.185	
0,matmul_kernel,KERNEL_AICORE,46,133,3.460,1784217905011486.045	,1784217905011489.505	
0,matmul_kernel,KERNEL_AICORE,46,134,3.460,1784217905011492.565	,1784217905011496.025	
0,matmul_kernel,KERNEL_AICORE,46,135,3.400,1784217905011499.005	,1784217905011502.405	
0,matmul_kernel,KERNEL_AICORE,46,136,3.560,1784217905011505.445	,1784217905011509.005	
0,matmul_kernel,KERNEL_AICORE,46,137,3.540,1784217905011511.905	,1784217905011515.445	
0,matmul_kernel,KERNEL_AICORE,46,138,3.540,1784217905011518.345	,1784217905011521.885	
0,matmul_kernel,KERNEL_AICORE,46,139,3.400,1784217905011524.865	,1784217905011528.265	
0,matmul_kernel,KERNEL_AICORE,46,140,3.460,1784217905011531.385	,1784217905011534.845	
0,matmul_kernel,KERNEL_AICORE,46,141,3.520,1784217905011537.825	,1784217905011541.345	
0,matmul_kernel,KERNEL_AICORE,46,142,3.580,1784217905011544.285	,1784217905011547.865	
0,matmul_kernel,KERNEL_AICORE,46,143,3.520,1784217905011550.745	,1784217905011554.265	
0,matmul_kernel,KERNEL_AICORE,46,144,3.460,1784217905011557.065	,1784217905011560.525	
0,matmul_kernel,KERNEL_AICORE,46,145,3.540,1784217905011563.265	,1784217905011566.805	
0,matmul_kernel,KERNEL_AICORE,46,146,3.740,1784217905011569.465	,1784217905011573.205	
0,matmul_kernel,KERNEL_AICORE,46,147,3.640,1784217905011575.625	,1784217905011579.265	
0,matmul_kernel,KERNEL_AICORE,46,148,3.600,1784217905011581.785	,1784217905011585.385	
0,matmul_kernel,KERNEL_AICORE,46,149,3.520,1784217905011587.965	,1784217905011591.485	
0,matmul_kernel,KERNEL_AICORE,46,150,3.600,1784217905011594.125	,1784217905011597.725	
0,matmul_kernel,KERNEL_AICORE,46,151,3.700,1784217905011600.345	,1784217905011604.045	
0,matmul_kernel,KERNEL_AICORE,46,152,3.540,1784217905011606.645	,1784217905011610.185	
0,matmul_kernel,KERNEL_AICORE,46,153,3.480,1784217905011612.865	,1784217905011616.345	
0,matmul_kernel,KERNEL_AICORE,46,154,3.480,1784217905011619.065	,1784217905011622.545	
0,matmul_kernel,KERNEL_AICORE,46,155,3.480,1784217905011625.285	,1784217905011628.765	
0,matmul_kernel,KERNEL_AICORE,46,156,3.520,1784217905011631.485	,1784217905011635.005	
0,matmul_kernel,KERNEL_AICORE,46,157,3.560,1784217905011637.725	,1784217905011641.285	
0,matmul_kernel,KERNEL_AICORE,46,158,3.540,1784217905011643.985	,1784217905011647.525	
0,matmul_kernel,KERNEL_AICORE,46,159,3.480,1784217905011650.185	,1784217905011653.665	
0,matmul_kernel,KERNEL_AICORE,46,160,3.440,1784217905011656.625	,1784217905011660.065	
0,matmul_kernel,KERNEL_AICORE,46,161,3.480,1784217905011663.085	,1784217905011666.565	
0,matmul_kernel,KERNEL_AICORE,46,162,3.600,1784217905011669.465	,1784217905011673.065	
0,matmul_kernel,KERNEL_AICORE,46,163,3.480,1784217905011675.825	,1784217905011679.305	
0,matmul_kernel,KERNEL_AICORE,46,164,3.460,1784217905011682.245	,1784217905011685.705	
0,matmul_kernel,KERNEL_AICORE,46,165,3.660,1784217905011688.625	,1784217905011692.285	
0,matmul_kernel,KERNEL_AICORE,46,166,3.640,1784217905011694.985	,1784217905011698.625	
0,matmul_kernel,KERNEL_AICORE,46,167,3.660,1784217905011701.405	,1784217905011705.065	
0,matmul_kernel,KERNEL_AICORE,46,168,3.600,1784217905011707.905	,1784217905011711.505	
0,matmul_kernel,KERNEL_AICORE,46,169,3.520,1784217905011714.285	,1784217905011717.805	
0,matmul_kernel,KERNEL_AICORE,46,170,3.620,1784217905011720.725	,1784217905011724.345	
0,matmul_kernel,KERNEL_AICORE,46,171,3.640,1784217905011727.205	,1784217905011730.845	
0,matmul_kernel,KERNEL_AICORE,46,172,3.600,1784217905011733.645	,1784217905011737.245	
0,matmul_kernel,KERNEL_AICORE,46,173,3.500,1784217905011740.105	,1784217905011743.605	
0,matmul_kernel,KERNEL_AICORE,46,174,3.680,1784217905011746.545	,1784217905011750.225	
0,matmul_kernel,KERNEL_AICORE,46,175,3.460,1784217905011752.965	,1784217905011756.425	
0,matmul_kernel,KERNEL_AICORE,46,176,3.480,1784217905011759.305	,1784217905011762.785	
0,matmul_kernel,KERNEL_AICORE,46,177,3.500,1784217905011765.525	,1784217905011769.025	
0,matmul_kernel,KERNEL_AICORE,46,178,3.480,1784217905011771.745	,1784217905011775.225	
0,matmul_kernel,KERNEL_AICORE,46,179,3.340,1784217905011778.145	,1784217905011781.485	
0,matmul_kernel,KERNEL_AICORE,46,180,3.400,1784217905011784.265	,1784217905011787.665	
0,matmul_kernel,KERNEL_AICORE,46,181,3.440,1784217905011790.525	,1784217905011793.965	
0,matmul_kernel,KERNEL_AICORE,46,182,3.600,1784217905011796.725	,1784217905011800.325	
0,matmul_kernel,KERNEL_AICORE,46,183,3.500,1784217905011802.965	,1784217905011806.465	
0,matmul_kernel,KERNEL_AICORE,46,184,3.500,1784217905011809.325	,1784217905011812.825	
0,matmul_kernel,KERNEL_AICORE,46,185,3.560,1784217905011815.585	,1784217905011819.145	
0,matmul_kernel,KERNEL_AICORE,46,186,3.640,1784217905011821.845	,1784217905011825.485	
0,matmul_kernel,KERNEL_AICORE,46,187,3.600,1784217905011828.205	,1784217905011831.805	
0,matmul_kernel,KERNEL_AICORE,46,188,3.580,1784217905011834.485	,1784217905011838.065	
0,matmul_kernel,KERNEL_AICORE,46,189,3.540,1784217905011840.785	,1784217905011844.325	
0,matmul_kernel,KERNEL_AICORE,46,190,3.580,1784217905011847.065	,1784217905011850.645	
0,matmul_kernel,KERNEL_AICORE,46,191,3.640,1784217905011853.345	,1784217905011856.985	
0,matmul_kernel,KERNEL_AICORE,46,192,3.520,1784217905011859.745	,1784217905011863.265	
0,matmul_kernel,KERNEL_AICORE,46,193,3.460,1784217905011866.065	,1784217905011869.525	
0,matmul_kernel,KERNEL_AICORE,46,194,3.460,1784217905011872.385	,1784217905011875.845	
0,matmul_kernel,KERNEL_AICORE,46,195,3.400,1784217905011878.705	,1784217905011882.105	
0,matmul_kernel,KERNEL_AICORE,46,196,3.480,1784217905011885.045	,1784217905011888.525	
0,matmul_kernel,KERNEL_AICORE,46,197,3.440,1784217905011891.385	,1784217905011894.825	
0,matmul_kernel,KERNEL_AICORE,46,198,3.500,1784217905011897.705	,1784217905011901.205	
0,matmul_kernel,KERNEL_AICORE,46,199,3.440,1784217905011904.005	,1784217905011907.445	
0,matmul_kernel,KERNEL_AICORE,46,200,3.480,1784217905011910.565	,1784217905011914.045	
0,matmul_kernel,KERNEL_AICORE,46,201,3.500,1784217905011916.805	,1784217905011920.305	
0,matmul_kernel,KERNEL_AICORE,46,202,3.540,1784217905011923.205	,1784217905011926.745	
0,matmul_kernel,KERNEL_AICORE,46,203,3.500,1784217905011929.605	,1784217905011933.105	
0,matmul_kernel,KERNEL_AICORE,46,204,3.480,1784217905011936.005	,1784217905011939.485	
0,matmul_kernel,KERNEL_AICORE,46,205,3.540,1784217905011942.385	,1784217905011945.925	
0,matmul_kernel,KERNEL_AICORE,46,206,3.660,1784217905011948.765	,1784217905011952.425	
0,matmul_kernel,KERNEL_AICORE,46,207,3.620,1784217905011955.125	,1784217905011958.745	
0,matmul_kernel,KERNEL_AICORE,46,208,3.620,1784217905011961.425	,1784217905011965.045	
0,matmul_kernel,KERNEL_AICORE,46,209,3.560,1784217905011967.585	,1784217905011971.145	
0,matmul_kernel,KERNEL_AICORE,46,210,3.640,1784217905011973.745	,1784217905011977.385	
0,matmul_kernel,KERNEL_AICORE,46,211,3.640,1784217905011979.925	,1784217905011983.565	
0,matmul_kernel,KERNEL_AICORE,46,212,3.520,1784217905011986.105	,1784217905011989.625	
0,matmul_kernel,KERNEL_AICORE,46,213,3.480,1784217905011992.305	,1784217905011995.785	
0,matmul_kernel,KERNEL_AICORE,46,214,3.460,1784217905011998.485	,1784217905012001.945	
0,matmul_kernel,KERNEL_AICORE,46,215,3.400,1784217905012004.665	,1784217905012008.065	
0,matmul_kernel,KERNEL_AICORE,46,216,3.560,1784217905012010.885	,1784217905012014.445	
0,matmul_kernel,KERNEL_AICORE,46,217,3.540,1784217905012017.365	,1784217905012020.905	
0,matmul_kernel,KERNEL_AICORE,46,218,3.580,1784217905012023.465	,1784217905012027.045	
0,matmul_kernel,KERNEL_AICORE,46,219,3.420,1784217905012029.605	,1784217905012033.025	
0,matmul_kernel,KERNEL_AICORE,46,220,3.460,1784217905012035.825	,1784217905012039.285	
0,matmul_kernel,KERNEL_AICORE,46,221,3.480,1784217905012042.085	,1784217905012045.565	
0,matmul_kernel,KERNEL_AICORE,46,222,3.580,1784217905012048.505	,1784217905012052.085	
