Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,BatchMatMulV2_Tiling,21743.85,1,21743.85,21743.85,21743.85,0
host,acl,aclmdlRICaptureGetInfo,1.55,4,0.387,0.13,1.03,0.139
host,acl,aclnnMatmul,29087.14,700,41.553,3.63,25244.85,908736.739
host,acl,aclnnMatmulGetWorkspaceSize,87873.38,1,87873.38,87873.38,87873.38,0
host,acl,aclrtBinaryLoadFromData,1622.59,1,1622.59,1622.59,1622.59,0
host,acl,aclrtCreateEventExWithFlag,29.66,10,2.966,1.51,9.47,5.159
host,acl,aclrtCreateStreamWithConfig,1880.55,2,940.275,734.51,1146.04,42339.235
host,acl,aclrtCtxGetSysParamOpt,56.83,106,0.536,0.4,4.63,0.211
host,acl,aclrtCtxSetSysParamOpt,1.26,1,1.26,1.26,1.26,0
host,acl,aclrtDestroyEvent,13.2,10,1.32,0.74,2.72,0.298
host,acl,aclrtDestroyStreamForce,1709.48,1,1709.48,1709.48,1709.48,0
host,acl,aclrtFree,10.02,2,5.01,1.58,8.44,11.765
host,acl,aclrtGetCurrentContext,0.93,1,0.93,0.93,0.93,0
host,acl,aclrtGetDeviceCount,2.91,4,0.728,0.15,1.36,0.245
host,acl,aclrtGetResInCurrentThread,2.18,2,1.09,0.17,2.01,0.846
host,acl,aclrtGetStreamAttribute,161.43,700,0.231,0.17,1.84,0.005
host,acl,aclrtLaunchKernelWithHostArgs,2511.68,700,3.588,2.14,18.19,1.237
host,acl,aclrtMemcpy,142.96,2,71.48,29.83,113.13,1734.722
host,acl,aclrtRecordEvent,132.34,10,13.234,5.92,76.28,441.739
host,acl,aclrtResetDevice,3.12,1,3.12,3.12,3.12,0
host,acl,aclrtSetDevice,39.39,1,39.39,39.39,39.39,0
host,acl,aclrtSetOpExecuteTimeOutV2,1176.71,1,1176.71,1176.71,1176.71,0
host,acl,aclrtSetStreamFailureMode,4.08,2,2.04,1.49,2.59,0.302
host,acl,aclrtSynchronizeDeviceWithTimeout,47.69,3,15.897,10.61,19.41,14.479
host,acl,aclrtSynchronizeEvent,170.14,15,11.343,0.27,38.22,246.748
host,acl,aclrtSynchronizeStream,7.34,2,3.67,2.38,4.96,1.664
host,node,launch,3620.25,700,5.172,2.61,711.69,715.107
