Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784216622044852.545	,1784216622044852.565	
0,N/A,TASK_TIMEOUT_SET,49,4,90.660,1784216622053170.565	,1784216622053261.225	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,0,12.380,1784216622174115.245	,1784216622174127.625	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,1,6.740,1784216622174298.445	,1784216622174305.185	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,2,5.620,1784216622174328.965	,1784216622174334.585	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,3,5.640,1784216622174335.545	,1784216622174341.185	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,4,5.340,1784216622174342.185	,1784216622174347.525	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,5,5.300,1784216622174348.825	,1784216622174354.125	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,6,5.260,1784216622174355.325	,1784216622174360.585	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,7,5.660,1784216622174361.825	,1784216622174367.485	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,8,5.440,1784216622174368.265	,1784216622174373.705	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,9,5.520,1784216622174374.685	,1784216622174380.205	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,10,5.840,1784216622174381.105	,1784216622174386.945	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,11,5.780,1784216622174401.605	,1784216622174407.385	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,12,5.480,1784216622174415.305	,1784216622174420.785	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,13,6.020,1784216622174430.225	,1784216622174436.245	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,14,5.940,1784216622174444.745	,1784216622174450.685	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,15,5.920,1784216622174457.385	,1784216622174463.305	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,16,5.000,1784216622174476.225	,1784216622174481.225	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,17,5.100,1784216622174482.565	,1784216622174487.665	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,18,5.480,1784216622174497.185	,1784216622174502.665	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,19,5.360,1784216622174509.605	,1784216622174514.965	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,20,5.040,1784216622174528.185	,1784216622174533.225	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,21,4.960,1784216622174534.605	,1784216622174539.565	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,22,5.680,1784216622174549.145	,1784216622174554.825	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,23,5.040,1784216622174569.645	,1784216622174574.685	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,24,5.060,1784216622174583.825	,1784216622174588.885	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,25,5.240,1784216622174598.385	,1784216622174603.625	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,26,5.680,1784216622174612.645	,1784216622174618.325	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,27,5.460,1784216622174624.865	,1784216622174630.325	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,28,5.500,1784216622174631.145	,1784216622174636.645	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,29,5.080,1784216622174651.565	,1784216622174656.645	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,30,5.440,1784216622174665.805	,1784216622174671.245	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,31,5.420,1784216622174678.485	,1784216622174683.905	
