Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,BatchMatMulV2_Tiling,26580.01,1,26580.01,26580.01,26580.01,0
host,acl,aclmdlRICaptureGetInfo,1.53,4,0.382,0.17,0.95,0.108
host,acl,aclnnMatmul,34757.81,700,49.654,4.17,30352.02,1313641.334
host,acl,aclnnMatmulGetWorkspaceSize,89553.37,1,89553.37,89553.37,89553.37,0
host,acl,aclrtBinaryLoadFromData,1723.88,1,1723.88,1723.88,1723.88,0
host,acl,aclrtCreateEventExWithFlag,32.59,10,3.259,1.78,9.48,4.912
host,acl,aclrtCreateStreamWithConfig,2083.3,2,1041.65,711.56,1371.74,108959.408
host,acl,aclrtCtxGetSysParamOpt,52.96,106,0.5,0.35,4.6,0.249
host,acl,aclrtCtxSetSysParamOpt,5.35,1,5.35,5.35,5.35,0
host,acl,aclrtDestroyEvent,13.9,10,1.39,0.76,3.15,0.469
host,acl,aclrtDestroyStreamForce,3286.99,1,3286.99,3286.99,3286.99,0
host,acl,aclrtFree,11.8,2,5.9,1.78,10.02,16.974
host,acl,aclrtGetCurrentContext,11.52,1,11.52,11.52,11.52,0
host,acl,aclrtGetDeviceCount,2.83,4,0.708,0.16,1.2,0.214
host,acl,aclrtGetResInCurrentThread,2.1,2,1.05,0.13,1.97,0.846
host,acl,aclrtGetStreamAttribute,181.39,700,0.259,0.2,2.26,0.007
host,acl,aclrtLaunchKernelWithHostArgs,3008.1,700,4.297,2.48,39.13,3.113
host,acl,aclrtMemcpy,143.32,2,71.66,28.35,114.97,1875.756
host,acl,aclrtRecordEvent,136.58,10,13.658,5.83,77.6,454.647
host,acl,aclrtResetDevice,3.24,1,3.24,3.24,3.24,0
host,acl,aclrtSetDevice,43.57,1,43.57,43.57,43.57,0
host,acl,aclrtSetOpExecuteTimeOutV2,1292.62,1,1292.62,1292.62,1292.62,0
host,acl,aclrtSetStreamFailureMode,3.87,2,1.935,1.63,2.24,0.093
host,acl,aclrtSynchronizeDeviceWithTimeout,49.54,3,16.513,11.29,20.7,15.295
host,acl,aclrtSynchronizeEvent,183.54,15,12.236,0.3,41.61,278.601
host,acl,aclrtSynchronizeStream,6.87,2,3.435,2.37,4.5,1.134
host,node,launch,4182.62,700,5.975,3.01,751.79,798.387
