Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103462.145	,12.500,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,309846,0.0,0.034,0.0,0.43,0.0,0.05,0.0,0.283,0.0,0.039,0.07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.114
0,4294967295,1,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103652.725	,6.600,178.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,118656,0.0,0.088,0.0,0.789,0.0,0.137,0.0,0.233,0.0,0.101,0.009,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.479
0,4294967295,2,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103690.725	,5.080,31.400000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,109544,0.0,0.093,0.0,0.828,0.0,0.149,0.0,0.235,0.0,0.11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.345
0,4294967295,3,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103697.145	,5.100,1.420000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,107945,0.0,0.096,0.0,0.82,0.0,0.151,0.0,0.237,0.0,0.112,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.138
0,4294967295,4,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103703.605	,5.560,1.150000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,112825,0.0,0.089,0.0,0.834,0.0,0.144,0.0,0.225,0.0,0.106,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.492
0,4294967295,5,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103710.025	,5.540,0.940000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,115499,0.0,0.089,0.0,0.834,0.0,0.141,0.0,0.221,0.0,0.104,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.176
0,4294967295,6,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103716.605	,5.680,0.960000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,115608,0.0,0.088,0.0,0.831,0.0,0.141,0.0,0.224,0.0,0.105,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.677
0,4294967295,7,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103722.825	,5.340,0.570000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,110035,0.0,0.09,0.0,0.824,0.0,0.148,0.0,0.234,0.0,0.11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.442
0,4294967295,8,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103729.145	,5.400,1.160000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,110999,0.0,0.091,0.0,0.827,0.0,0.147,0.0,0.229,0.0,0.108,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.289
0,4294967295,9,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103735.405	,5.460,0.850000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,115408,0.0,0.088,0.0,0.833,0.0,0.141,0.0,0.225,0.0,0.104,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.052
0,4294967295,10,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103741.985	,5.160,1.040000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,105492,0.0,0.098,0.0,0.814,0.0,0.154,0.0,0.246,0.0,0.115,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.952
0,4294967295,11,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103754.365	,5.000,7.090000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,107783,0.0,0.094,0.0,0.823,0.0,0.151,0.0,0.239,0.0,0.113,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.323
0,4294967295,12,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103760.665	,5.420,1.500000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,118024,0.0,0.086,0.0,0.835,0.0,0.138,0.0,0.221,0.0,0.102,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.987
0,4294967295,13,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103766.965	,5.040,0.830000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,107429,0.0,0.092,0.0,0.823,0.0,0.152,0.0,0.238,0.0,0.112,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.592
0,4294967295,14,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103780.445	,4.960,8.460000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,107046,0.0,0.094,0.0,0.823,0.0,0.152,0.0,0.239,0.0,0.113,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.400
0,4294967295,15,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103786.805	,5.100,1.290000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,104978,0.0,0.097,0.0,0.818,0.0,0.155,0.0,0.245,0.0,0.115,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.376
0,4294967295,16,46,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,N/A,N/A,N/A,1784217893103792.945	,5.820,1.150000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,119544,0.0,0.085,0.0,0.838,0.0,0.136,0.0,0.215,0.0,0.101,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.243
