Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784217892967663.265	,1784217892967663.285	
0,N/A,TASK_TIMEOUT_SET,49,4,202.840,1784217892975352.005	,1784217892975554.845	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,0,12.500,1784217893103462.145	,1784217893103474.645	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,1,6.600,1784217893103652.725	,1784217893103659.325	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,2,5.080,1784217893103690.725	,1784217893103695.805	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,3,5.100,1784217893103697.145	,1784217893103702.245	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,4,5.560,1784217893103703.605	,1784217893103709.165	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,5,5.540,1784217893103710.025	,1784217893103715.565	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,6,5.680,1784217893103716.605	,1784217893103722.285	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,7,5.340,1784217893103722.825	,1784217893103728.165	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,8,5.400,1784217893103729.145	,1784217893103734.545	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,9,5.460,1784217893103735.405	,1784217893103740.865	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,10,5.160,1784217893103741.985	,1784217893103747.145	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,11,5.000,1784217893103754.365	,1784217893103759.365	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,12,5.420,1784217893103760.665	,1784217893103766.085	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,13,5.040,1784217893103766.965	,1784217893103772.005	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,14,4.960,1784217893103780.445	,1784217893103785.405	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,15,5.100,1784217893103786.805	,1784217893103791.905	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,16,5.820,1784217893103792.945	,1784217893103798.765	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,17,5.820,1784217893103807.505	,1784217893103813.325	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,18,5.440,1784217893103821.685	,1784217893103827.125	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,19,5.440,1784217893103835.805	,1784217893103841.245	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,20,5.880,1784217893103850.225	,1784217893103856.105	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,21,5.860,1784217893103856.685	,1784217893103862.545	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,22,5.460,1784217893103877.165	,1784217893103882.625	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,23,5.760,1784217893103891.705	,1784217893103897.465	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,24,5.820,1784217893103913.205	,1784217893103919.025	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,25,5.560,1784217893103933.005	,1784217893103938.565	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,26,5.280,1784217893103948.465	,1784217893103953.745	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,27,5.300,1784217893103961.165	,1784217893103966.465	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,28,5.280,1784217893103976.245	,1784217893103981.525	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,29,5.640,1784217893103991.185	,1784217893103996.825	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,30,5.360,1784217893103997.705	,1784217893104003.065	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,31,5.440,1784217893104012.325	,1784217893104017.765	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,32,5.140,1784217893104025.505	,1784217893104030.645	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,33,5.520,1784217893104040.465	,1784217893104045.985	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,34,5.080,1784217893104053.305	,1784217893104058.385	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,35,5.160,1784217893104066.345	,1784217893104071.505	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,36,5.480,1784217893104093.505	,1784217893104098.985	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,37,5.500,1784217893104100.305	,1784217893104105.805	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,38,5.160,1784217893104115.385	,1784217893104120.545	
0,BatchMatMulV2_ND_ND_FP16_FP16_false_false_all_98945,KERNEL_AICORE,46,39,5.180,1784217893104134.125	,1784217893104139.305	
