Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784164769125300.003	,1784164769125300.003	
0,mul_kernel,KERNEL_AIVEC,46,0,13.360,1784164769132493.606	,1784164769132506.967	
0,mul_kernel,KERNEL_AIVEC,46,1,12.380,1784164769132507.667	,1784164769132520.047	
0,mul_kernel,KERNEL_AIVEC,46,2,12.520,1784164769132520.747	,1784164769132533.267	
0,mul_kernel,KERNEL_AIVEC,46,3,11.020,1784164769132533.987	,1784164769132545.007	
0,mul_kernel,KERNEL_AIVEC,46,4,10.560,1784164769132545.667	,1784164769132556.228	
0,mul_kernel,KERNEL_AIVEC,46,5,9.660,1784164769132556.928	,1784164769132566.588	
0,mul_kernel,KERNEL_AIVEC,46,6,9.480,1784164769132567.308	,1784164769132576.788	
0,mul_kernel,KERNEL_AIVEC,46,7,10.100,1784164769132577.468	,1784164769132587.568	
0,mul_kernel,KERNEL_AIVEC,46,8,9.620,1784164769132588.268	,1784164769132597.888	
0,mul_kernel,KERNEL_AIVEC,46,9,10.440,1784164769132598.568	,1784164769132609.009	
0,mul_kernel,KERNEL_AIVEC,46,10,2.420,1784164769132609.689	,1784164769132612.109	
0,mul_kernel,KERNEL_AIVEC,46,11,2.500,1784164769132612.769	,1784164769132615.269	
0,mul_kernel,KERNEL_AIVEC,46,12,2.400,1784164769132615.929	,1784164769132618.329	
0,mul_kernel,KERNEL_AIVEC,46,13,2.320,1784164769132618.989	,1784164769132621.309	
0,mul_kernel,KERNEL_AIVEC,46,14,2.360,1784164769132621.969	,1784164769132624.329	
0,mul_kernel,KERNEL_AIVEC,46,15,2.400,1784164769132625.009	,1784164769132627.409	
0,mul_kernel,KERNEL_AIVEC,46,16,2.440,1784164769132628.069	,1784164769132630.509	
0,mul_kernel,KERNEL_AIVEC,46,17,2.460,1784164769132631.189	,1784164769132633.649	
0,mul_kernel,KERNEL_AIVEC,46,18,2.740,1784164769132634.349	,1784164769132637.089	
0,mul_kernel,KERNEL_AIVEC,46,19,2.380,1784164769132637.749	,1784164769132640.129	
0,mul_kernel,KERNEL_AIVEC,46,20,2.340,1784164769132640.809	,1784164769132643.149	
0,mul_kernel,KERNEL_AIVEC,46,21,2.460,1784164769132643.849	,1784164769132646.309	
0,mul_kernel,KERNEL_AIVEC,46,22,2.400,1784164769132646.989	,1784164769132649.389	
0,mul_kernel,KERNEL_AIVEC,46,23,2.280,1784164769132650.069	,1784164769132652.350	
0,mul_kernel,KERNEL_AIVEC,46,24,2.340,1784164769132653.030	,1784164769132655.370	
0,mul_kernel,KERNEL_AIVEC,46,25,2.440,1784164769132657.350	,1784164769132659.790	
0,mul_kernel,KERNEL_AIVEC,46,26,2.400,1784164769132663.890	,1784164769132666.290	
0,mul_kernel,KERNEL_AIVEC,46,27,2.400,1784164769132670.070	,1784164769132672.470	
0,mul_kernel,KERNEL_AIVEC,46,28,2.320,1784164769132676.610	,1784164769132678.930	
0,mul_kernel,KERNEL_AIVEC,46,29,2.340,1784164769132683.230	,1784164769132685.570	
0,mul_kernel,KERNEL_AIVEC,46,30,2.340,1784164769132689.590	,1784164769132691.930	
0,mul_kernel,KERNEL_AIVEC,46,31,2.400,1784164769132696.150	,1784164769132698.550	
0,mul_kernel,KERNEL_AIVEC,46,32,2.340,1784164769132702.671	,1784164769132705.011	
0,mul_kernel,KERNEL_AIVEC,46,33,2.360,1784164769132709.491	,1784164769132711.851	
0,mul_kernel,KERNEL_AIVEC,46,34,2.400,1784164769132715.971	,1784164769132718.371	
0,mul_kernel,KERNEL_AIVEC,46,35,2.420,1784164769132722.711	,1784164769132725.131	
0,mul_kernel,KERNEL_AIVEC,46,36,2.380,1784164769132729.471	,1784164769132731.851	
0,mul_kernel,KERNEL_AIVEC,46,37,2.440,1784164769132736.051	,1784164769132738.491	
0,mul_kernel,KERNEL_AIVEC,46,38,2.480,1784164769132742.911	,1784164769132745.391	
0,mul_kernel,KERNEL_AIVEC,46,39,2.340,1784164769132749.551	,1784164769132751.891	
0,mul_kernel,KERNEL_AIVEC,46,40,2.280,1784164769132756.332	,1784164769132758.612	
0,mul_kernel,KERNEL_AIVEC,46,41,2.380,1784164769132762.972	,1784164769132765.352	
