Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784164796403263.994	,1784164796403264.014	
0,mul_kernel,KERNEL_AIVEC,46,0,20.840,1784164796414984.008	,1784164796415004.848	
0,mul_kernel,KERNEL_AIVEC,46,1,13.380,1784164796415005.588	,1784164796415018.969	
0,mul_kernel,KERNEL_AIVEC,46,2,7.300,1784164796415019.729	,1784164796415027.029	
0,mul_kernel,KERNEL_AIVEC,46,3,7.440,1784164796415027.749	,1784164796415035.189	
0,mul_kernel,KERNEL_AIVEC,46,4,7.440,1784164796415035.929	,1784164796415043.369	
0,mul_kernel,KERNEL_AIVEC,46,5,7.540,1784164796415044.069	,1784164796415051.609	
0,mul_kernel,KERNEL_AIVEC,46,6,7.520,1784164796415052.369	,1784164796415059.889	
0,mul_kernel,KERNEL_AIVEC,46,7,7.400,1784164796415060.650	,1784164796415068.050	
0,mul_kernel,KERNEL_AIVEC,46,8,7.320,1784164796415068.810	,1784164796415076.130	
0,mul_kernel,KERNEL_AIVEC,46,9,7.700,1784164796415076.870	,1784164796415084.570	
0,mul_kernel,KERNEL_AIVEC,46,10,7.320,1784164796415085.310	,1784164796415092.630	
0,mul_kernel,KERNEL_AIVEC,46,11,7.880,1784164796415093.330	,1784164796415101.210	
0,mul_kernel,KERNEL_AIVEC,46,12,7.280,1784164796415101.910	,1784164796415109.190	
0,mul_kernel,KERNEL_AIVEC,46,13,7.480,1784164796415109.890	,1784164796415117.371	
0,mul_kernel,KERNEL_AIVEC,46,14,7.180,1784164796415118.071	,1784164796415125.251	
0,mul_kernel,KERNEL_AIVEC,46,15,7.420,1784164796415125.951	,1784164796415133.371	
0,mul_kernel,KERNEL_AIVEC,46,16,7.360,1784164796415134.071	,1784164796415141.431	
0,mul_kernel,KERNEL_AIVEC,46,17,7.460,1784164796415142.131	,1784164796415149.591	
0,mul_kernel,KERNEL_AIVEC,46,18,7.220,1784164796415150.291	,1784164796415157.511	
0,mul_kernel,KERNEL_AIVEC,46,19,7.600,1784164796415158.211	,1784164796415165.812	
0,mul_kernel,KERNEL_AIVEC,46,20,7.280,1784164796415166.512	,1784164796415173.792	
0,mul_kernel,KERNEL_AIVEC,46,21,7.600,1784164796415174.512	,1784164796415182.112	
0,mul_kernel,KERNEL_AIVEC,46,22,7.600,1784164796415182.832	,1784164796415190.432	
0,mul_kernel,KERNEL_AIVEC,46,23,7.560,1784164796415191.132	,1784164796415198.692	
0,mul_kernel,KERNEL_AIVEC,46,24,7.320,1784164796415199.392	,1784164796415206.712	
0,mul_kernel,KERNEL_AIVEC,46,25,7.660,1784164796415207.412	,1784164796415215.073	
0,mul_kernel,KERNEL_AIVEC,46,26,7.280,1784164796415215.773	,1784164796415223.053	
0,mul_kernel,KERNEL_AIVEC,46,27,7.440,1784164796415223.773	,1784164796415231.213	
0,mul_kernel,KERNEL_AIVEC,46,28,7.320,1784164796415231.913	,1784164796415239.233	
0,mul_kernel,KERNEL_AIVEC,46,29,7.440,1784164796415239.953	,1784164796415247.393	
0,mul_kernel,KERNEL_AIVEC,46,30,7.420,1784164796415248.113	,1784164796415255.533	
0,mul_kernel,KERNEL_AIVEC,46,31,7.540,1784164796415256.233	,1784164796415263.774	
0,mul_kernel,KERNEL_AIVEC,46,32,7.240,1784164796415264.474	,1784164796415271.714	
0,mul_kernel,KERNEL_AIVEC,46,33,7.600,1784164796415272.394	,1784164796415279.994	
0,mul_kernel,KERNEL_AIVEC,46,34,7.220,1784164796415280.674	,1784164796415287.894	
0,mul_kernel,KERNEL_AIVEC,46,35,7.560,1784164796415288.574	,1784164796415296.134	
0,mul_kernel,KERNEL_AIVEC,46,36,7.140,1784164796415296.834	,1784164796415303.974	
0,mul_kernel,KERNEL_AIVEC,46,37,7.480,1784164796415304.654	,1784164796415312.135	
0,mul_kernel,KERNEL_AIVEC,46,38,7.460,1784164796415312.795	,1784164796415320.255	
0,mul_kernel,KERNEL_AIVEC,46,39,7.420,1784164796415320.915	,1784164796415328.335	
0,mul_kernel,KERNEL_AIVEC,46,40,7.260,1784164796415329.015	,1784164796415336.275	
0,mul_kernel,KERNEL_AIVEC,46,41,7.720,1784164796415336.955	,1784164796415344.675	
0,mul_kernel,KERNEL_AIVEC,46,42,7.200,1784164796415345.375	,1784164796415352.575	
0,mul_kernel,KERNEL_AIVEC,46,43,7.540,1784164796415353.255	,1784164796415360.796	
