Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784164775211082.917	,1784164775211082.937	
0,mul_kernel,KERNEL_AIVEC,46,0,15.520,1784164775218567.367	,1784164775218582.887	
0,mul_kernel,KERNEL_AIVEC,46,1,14.500,1784164775218583.547	,1784164775218598.047	
0,mul_kernel,KERNEL_AIVEC,46,2,12.540,1784164775218598.747	,1784164775218611.287	
0,mul_kernel,KERNEL_AIVEC,46,3,11.000,1784164775218611.987	,1784164775218622.988	
0,mul_kernel,KERNEL_AIVEC,46,4,11.220,1784164775218623.688	,1784164775218634.908	
0,mul_kernel,KERNEL_AIVEC,46,5,2.700,1784164775218635.588	,1784164775218638.288	
0,mul_kernel,KERNEL_AIVEC,46,6,2.740,1784164775218639.008	,1784164775218641.748	
0,mul_kernel,KERNEL_AIVEC,46,7,2.840,1784164775218642.468	,1784164775218645.308	
0,mul_kernel,KERNEL_AIVEC,46,8,2.740,1784164775218646.028	,1784164775218648.768	
0,mul_kernel,KERNEL_AIVEC,46,9,2.800,1784164775218649.428	,1784164775218652.228	
0,mul_kernel,KERNEL_AIVEC,46,10,2.840,1784164775218652.908	,1784164775218655.748	
0,mul_kernel,KERNEL_AIVEC,46,11,2.780,1784164775218656.448	,1784164775218659.228	
0,mul_kernel,KERNEL_AIVEC,46,12,2.820,1784164775218659.908	,1784164775218662.728	
0,mul_kernel,KERNEL_AIVEC,46,13,2.780,1784164775218663.408	,1784164775218666.189	
0,mul_kernel,KERNEL_AIVEC,46,14,2.780,1784164775218666.849	,1784164775218669.629	
0,mul_kernel,KERNEL_AIVEC,46,15,2.740,1784164775218670.289	,1784164775218673.029	
0,mul_kernel,KERNEL_AIVEC,46,16,3.120,1784164775218673.709	,1784164775218676.829	
0,mul_kernel,KERNEL_AIVEC,46,17,3.200,1784164775218677.509	,1784164775218680.709	
0,mul_kernel,KERNEL_AIVEC,46,18,2.820,1784164775218683.229	,1784164775218686.049	
0,mul_kernel,KERNEL_AIVEC,46,19,2.840,1784164775218689.609	,1784164775218692.449	
0,mul_kernel,KERNEL_AIVEC,46,20,2.800,1784164775218695.989	,1784164775218698.789	
0,mul_kernel,KERNEL_AIVEC,46,21,2.800,1784164775218702.349	,1784164775218705.149	
0,mul_kernel,KERNEL_AIVEC,46,22,2.740,1784164775218708.829	,1784164775218711.569	
0,mul_kernel,KERNEL_AIVEC,46,23,2.840,1784164775218715.170	,1784164775218718.010	
0,mul_kernel,KERNEL_AIVEC,46,24,2.760,1784164775218721.510	,1784164775218724.270	
0,mul_kernel,KERNEL_AIVEC,46,25,2.740,1784164775218727.790	,1784164775218730.530	
0,mul_kernel,KERNEL_AIVEC,46,26,2.800,1784164775218734.090	,1784164775218736.890	
0,mul_kernel,KERNEL_AIVEC,46,27,2.820,1784164775218740.370	,1784164775218743.190	
0,mul_kernel,KERNEL_AIVEC,46,28,2.760,1784164775218746.630	,1784164775218749.390	
0,mul_kernel,KERNEL_AIVEC,46,29,2.780,1784164775218752.870	,1784164775218755.650	
0,mul_kernel,KERNEL_AIVEC,46,30,2.740,1784164775218759.090	,1784164775218761.830	
0,mul_kernel,KERNEL_AIVEC,46,31,2.740,1784164775218765.411	,1784164775218768.151	
0,mul_kernel,KERNEL_AIVEC,46,32,2.780,1784164775218771.891	,1784164775218774.671	
0,mul_kernel,KERNEL_AIVEC,46,33,2.780,1784164775218778.631	,1784164775218781.411	
0,mul_kernel,KERNEL_AIVEC,46,34,2.740,1784164775218785.151	,1784164775218787.891	
0,mul_kernel,KERNEL_AIVEC,46,35,2.760,1784164775218791.771	,1784164775218794.531	
0,mul_kernel,KERNEL_AIVEC,46,36,2.840,1784164775218798.351	,1784164775218801.191	
0,mul_kernel,KERNEL_AIVEC,46,37,2.840,1784164775218804.891	,1784164775218807.731	
0,mul_kernel,KERNEL_AIVEC,46,38,2.820,1784164775218811.371	,1784164775218814.191	
0,mul_kernel,KERNEL_AIVEC,46,39,2.820,1784164775218817.872	,1784164775218820.692	
0,mul_kernel,KERNEL_AIVEC,46,40,2.740,1784164775218824.332	,1784164775218827.072	
0,mul_kernel,KERNEL_AIVEC,46,41,2.800,1784164775218830.872	,1784164775218833.672	
0,mul_kernel,KERNEL_AIVEC,46,42,2.840,1784164775218837.372	,1784164775218840.212	
0,mul_kernel,KERNEL_AIVEC,46,43,2.800,1784164775218843.872	,1784164775218846.672	
0,mul_kernel,KERNEL_AIVEC,46,44,2.840,1784164775218850.472	,1784164775218853.312	
0,mul_kernel,KERNEL_AIVEC,46,45,2.840,1784164775218857.052	,1784164775218859.892	
0,mul_kernel,KERNEL_AIVEC,46,46,2.840,1784164775218863.492	,1784164775218866.333	
0,mul_kernel,KERNEL_AIVEC,46,47,2.920,1784164775218870.013	,1784164775218872.933	
0,mul_kernel,KERNEL_AIVEC,46,48,2.780,1784164775218876.393	,1784164775218879.173	
0,mul_kernel,KERNEL_AIVEC,46,49,3.020,1784164775218882.733	,1784164775218885.753	
0,mul_kernel,KERNEL_AIVEC,46,50,2.760,1784164775218889.153	,1784164775218891.913	
0,mul_kernel,KERNEL_AIVEC,46,51,2.800,1784164775218895.673	,1784164775218898.473	
0,mul_kernel,KERNEL_AIVEC,46,52,2.820,1784164775218901.933	,1784164775218904.753	
0,mul_kernel,KERNEL_AIVEC,46,53,2.900,1784164775218908.313	,1784164775218911.213	
0,mul_kernel,KERNEL_AIVEC,46,54,2.740,1784164775218914.833	,1784164775218917.574	
0,mul_kernel,KERNEL_AIVEC,46,55,2.800,1784164775218921.154	,1784164775218923.954	
0,mul_kernel,KERNEL_AIVEC,46,56,2.780,1784164775218927.474	,1784164775218930.254	
0,mul_kernel,KERNEL_AIVEC,46,57,2.760,1784164775218933.774	,1784164775218936.534	
0,mul_kernel,KERNEL_AIVEC,46,58,2.740,1784164775218940.154	,1784164775218942.894	
0,mul_kernel,KERNEL_AIVEC,46,59,2.780,1784164775218946.574	,1784164775218949.354	
0,mul_kernel,KERNEL_AIVEC,46,60,2.780,1784164775218952.954	,1784164775218955.734	
0,mul_kernel,KERNEL_AIVEC,46,61,2.800,1784164775218959.394	,1784164775218962.194	
0,mul_kernel,KERNEL_AIVEC,46,62,2.860,1784164775218965.735	,1784164775218968.595	
0,mul_kernel,KERNEL_AIVEC,46,63,2.840,1784164775218972.115	,1784164775218974.955	
0,mul_kernel,KERNEL_AIVEC,46,64,2.720,1784164775218978.495	,1784164775218981.215	
0,mul_kernel,KERNEL_AIVEC,46,65,2.800,1784164775218985.015	,1784164775218987.815	
0,mul_kernel,KERNEL_AIVEC,46,66,2.840,1784164775218991.475	,1784164775218994.315	
0,mul_kernel,KERNEL_AIVEC,46,67,2.800,1784164775218997.935	,1784164775219000.735	
0,mul_kernel,KERNEL_AIVEC,46,68,2.780,1784164775219004.515	,1784164775219007.295	
0,mul_kernel,KERNEL_AIVEC,46,69,2.740,1784164775219010.935	,1784164775219013.675	
0,mul_kernel,KERNEL_AIVEC,46,70,2.740,1784164775219017.436	,1784164775219020.176	
0,mul_kernel,KERNEL_AIVEC,46,71,2.740,1784164775219024.016	,1784164775219026.756	
0,mul_kernel,KERNEL_AIVEC,46,72,2.860,1784164775219030.336	,1784164775219033.196	
0,mul_kernel,KERNEL_AIVEC,46,73,2.840,1784164775219036.736	,1784164775219039.576	
0,mul_kernel,KERNEL_AIVEC,46,74,2.820,1784164775219043.136	,1784164775219045.956	
0,mul_kernel,KERNEL_AIVEC,46,75,2.820,1784164775219049.576	,1784164775219052.396	
0,mul_kernel,KERNEL_AIVEC,46,76,2.720,1784164775219056.016	,1784164775219058.736	
0,mul_kernel,KERNEL_AIVEC,46,77,2.820,1784164775219062.536	,1784164775219065.357	
0,mul_kernel,KERNEL_AIVEC,46,78,2.800,1784164775219068.877	,1784164775219071.677	
0,mul_kernel,KERNEL_AIVEC,46,79,2.840,1784164775219075.277	,1784164775219078.117	
0,mul_kernel,KERNEL_AIVEC,46,80,2.840,1784164775219081.737	,1784164775219084.577	
0,mul_kernel,KERNEL_AIVEC,46,81,2.860,1784164775219088.017	,1784164775219090.877	
0,mul_kernel,KERNEL_AIVEC,46,82,2.800,1784164775219094.357	,1784164775219097.157	
0,mul_kernel,KERNEL_AIVEC,46,83,2.860,1784164775219100.697	,1784164775219103.557	
0,mul_kernel,KERNEL_AIVEC,46,84,2.760,1784164775219107.057	,1784164775219109.817	
0,mul_kernel,KERNEL_AIVEC,46,85,2.760,1784164775219113.417	,1784164775219116.178	
0,mul_kernel,KERNEL_AIVEC,46,86,2.760,1784164775219119.678	,1784164775219122.438	
0,mul_kernel,KERNEL_AIVEC,46,87,2.840,1784164775219126.058	,1784164775219128.898	
0,mul_kernel,KERNEL_AIVEC,46,88,2.820,1784164775219132.358	,1784164775219135.178	
0,mul_kernel,KERNEL_AIVEC,46,89,2.720,1784164775219138.638	,1784164775219141.358	
0,mul_kernel,KERNEL_AIVEC,46,90,2.760,1784164775219144.978	,1784164775219147.738	
0,mul_kernel,KERNEL_AIVEC,46,91,2.740,1784164775219151.398	,1784164775219154.138	
