Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,34.78,1,34.78,34.78,34.78,0
host,acl,aclrtCreateEvent,7.93,2,3.965,1.86,6.07,4.431
host,acl,aclrtCreateStream,907.88,1,907.88,907.88,907.88,0
host,acl,aclrtDestroyEvent,8.94,2,4.47,3.26,5.68,1.464
host,acl,aclrtDestroyStream,975.3,1,975.3,975.3,975.3,0
host,acl,aclrtFree,11.79,4,2.948,1.78,5.55,2.318
host,acl,aclrtLaunchKernelWithHostArgs,1609.87,700,2.3,1.84,122.25,20.907
host,acl,aclrtMalloc,443.43,4,110.858,12.23,270.95,9745.584
host,acl,aclrtMemcpy,10655.6,4,2663.9,33.37,3643.93,2310944.428
host,acl,aclrtRecordEvent,194.03,10,19.403,6.26,77.45,382.727
host,acl,aclrtResetDevice,434788.12,1,434788.12,434788.12,434788.12,0
host,acl,aclrtSynchronizeStream,8854.12,6,1475.687,1271.47,2133.44,101694.627
