Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784164803479320.541	,1784164803479320.561	
0,mul_kernel,KERNEL_AIVEC,46,0,32.940,1784164803496936.773	,1784164803496969.713	
0,mul_kernel,KERNEL_AIVEC,46,1,20.820,1784164803496970.393	,1784164803496991.214	
0,mul_kernel,KERNEL_AIVEC,46,2,12.540,1784164803496991.914	,1784164803497004.454	
0,mul_kernel,KERNEL_AIVEC,46,3,12.680,1784164803497005.174	,1784164803497017.854	
0,mul_kernel,KERNEL_AIVEC,46,4,12.380,1784164803497018.554	,1784164803497030.935	
0,mul_kernel,KERNEL_AIVEC,46,5,12.920,1784164803497031.655	,1784164803497044.575	
0,mul_kernel,KERNEL_AIVEC,46,6,12.300,1784164803497045.275	,1784164803497057.575	
0,mul_kernel,KERNEL_AIVEC,46,7,12.760,1784164803497058.235	,1784164803497070.995	
0,mul_kernel,KERNEL_AIVEC,46,8,12.140,1784164803497071.695	,1784164803497083.836	
0,mul_kernel,KERNEL_AIVEC,46,9,12.940,1784164803497084.516	,1784164803497097.456	
0,mul_kernel,KERNEL_AIVEC,46,10,12.180,1784164803497098.116	,1784164803497110.296	
0,mul_kernel,KERNEL_AIVEC,46,11,12.700,1784164803497110.996	,1784164803497123.696	
0,mul_kernel,KERNEL_AIVEC,46,12,12.360,1784164803497124.417	,1784164803497136.777	
0,mul_kernel,KERNEL_AIVEC,46,13,12.700,1784164803497137.477	,1784164803497150.177	
0,mul_kernel,KERNEL_AIVEC,46,14,12.160,1784164803497150.897	,1784164803497163.057	
0,mul_kernel,KERNEL_AIVEC,46,15,12.700,1784164803497163.757	,1784164803497176.458	
0,mul_kernel,KERNEL_AIVEC,46,16,12.100,1784164803497177.198	,1784164803497189.298	
0,mul_kernel,KERNEL_AIVEC,46,17,13.020,1784164803497189.958	,1784164803497202.978	
0,mul_kernel,KERNEL_AIVEC,46,18,12.180,1784164803497203.638	,1784164803497215.818	
0,mul_kernel,KERNEL_AIVEC,46,19,12.900,1784164803497216.478	,1784164803497229.379	
0,mul_kernel,KERNEL_AIVEC,46,20,12.420,1784164803497230.079	,1784164803497242.499	
0,mul_kernel,KERNEL_AIVEC,46,21,12.960,1784164803497243.199	,1784164803497256.159	
0,mul_kernel,KERNEL_AIVEC,46,22,12.780,1784164803497256.859	,1784164803497269.639	
0,mul_kernel,KERNEL_AIVEC,46,23,12.820,1784164803497270.359	,1784164803497283.180	
0,mul_kernel,KERNEL_AIVEC,46,24,12.180,1784164803497283.880	,1784164803497296.060	
0,mul_kernel,KERNEL_AIVEC,46,25,12.880,1784164803497296.740	,1784164803497309.620	
0,mul_kernel,KERNEL_AIVEC,46,26,12.040,1784164803497310.300	,1784164803497322.340	
0,mul_kernel,KERNEL_AIVEC,46,27,12.880,1784164803497323.000	,1784164803497335.881	
0,mul_kernel,KERNEL_AIVEC,46,28,12.020,1784164803497336.561	,1784164803497348.581	
0,mul_kernel,KERNEL_AIVEC,46,29,12.820,1784164803497349.261	,1784164803497362.081	
0,mul_kernel,KERNEL_AIVEC,46,30,11.980,1784164803497362.801	,1784164803497374.782	
0,mul_kernel,KERNEL_AIVEC,46,31,12.860,1784164803497375.502	,1784164803497388.362	
0,mul_kernel,KERNEL_AIVEC,46,32,12.200,1784164803497389.062	,1784164803497401.262	
0,mul_kernel,KERNEL_AIVEC,46,33,12.920,1784164803497401.942	,1784164803497414.862	
0,mul_kernel,KERNEL_AIVEC,46,34,12.220,1784164803497415.542	,1784164803497427.763	
0,mul_kernel,KERNEL_AIVEC,46,35,12.980,1784164803497428.423	,1784164803497441.403	
0,mul_kernel,KERNEL_AIVEC,46,36,12.140,1784164803497442.063	,1784164803497454.203	
0,mul_kernel,KERNEL_AIVEC,46,37,12.800,1784164803497454.883	,1784164803497467.683	
0,mul_kernel,KERNEL_AIVEC,46,38,12.380,1784164803497468.343	,1784164803497480.724	
0,mul_kernel,KERNEL_AIVEC,46,39,12.740,1784164803497481.424	,1784164803497494.164	
0,mul_kernel,KERNEL_AIVEC,46,40,12.260,1784164803497494.864	,1784164803497507.124	
0,mul_kernel,KERNEL_AIVEC,46,41,12.860,1784164803497507.784	,1784164803497520.644	
0,mul_kernel,KERNEL_AIVEC,46,42,12.160,1784164803497521.324	,1784164803497533.485	
0,mul_kernel,KERNEL_AIVEC,46,43,12.720,1784164803497534.165	,1784164803497546.885	
0,mul_kernel,KERNEL_AIVEC,46,44,12.180,1784164803497547.565	,1784164803497559.745	
0,mul_kernel,KERNEL_AIVEC,46,45,12.800,1784164803497560.425	,1784164803497573.225	
0,mul_kernel,KERNEL_AIVEC,46,46,12.160,1784164803497573.905	,1784164803497586.066	
0,mul_kernel,KERNEL_AIVEC,46,47,12.880,1784164803497586.746	,1784164803497599.626	
0,mul_kernel,KERNEL_AIVEC,46,48,12.140,1784164803497600.346	,1784164803497612.486	
0,mul_kernel,KERNEL_AIVEC,46,49,12.920,1784164803497613.146	,1784164803497626.067	
0,mul_kernel,KERNEL_AIVEC,46,50,12.200,1784164803497626.727	,1784164803497638.927	
0,mul_kernel,KERNEL_AIVEC,46,51,12.760,1784164803497639.587	,1784164803497652.347	
0,mul_kernel,KERNEL_AIVEC,46,52,12.460,1784164803497653.027	,1784164803497665.487	
0,mul_kernel,KERNEL_AIVEC,46,53,12.620,1784164803497666.167	,1784164803497678.788	
0,mul_kernel,KERNEL_AIVEC,46,54,12.260,1784164803497679.448	,1784164803497691.708	
0,mul_kernel,KERNEL_AIVEC,46,55,12.880,1784164803497692.388	,1784164803497705.268	
0,mul_kernel,KERNEL_AIVEC,46,56,12.180,1784164803497705.948	,1784164803497718.128	
0,mul_kernel,KERNEL_AIVEC,46,57,12.860,1784164803497718.808	,1784164803497731.669	
0,mul_kernel,KERNEL_AIVEC,46,58,12.380,1784164803497732.349	,1784164803497744.729	
0,mul_kernel,KERNEL_AIVEC,46,59,12.740,1784164803497745.409	,1784164803497758.149	
0,mul_kernel,KERNEL_AIVEC,46,60,12.220,1784164803497758.809	,1784164803497771.029	
0,mul_kernel,KERNEL_AIVEC,46,61,13.020,1784164803497771.709	,1784164803497784.730	
0,mul_kernel,KERNEL_AIVEC,46,62,12.140,1784164803497785.410	,1784164803497797.550	
0,mul_kernel,KERNEL_AIVEC,46,63,12.720,1784164803497798.230	,1784164803497810.950	
0,mul_kernel,KERNEL_AIVEC,46,64,12.200,1784164803497811.610	,1784164803497823.810	
0,mul_kernel,KERNEL_AIVEC,46,65,12.920,1784164803497824.490	,1784164803497837.411	
0,mul_kernel,KERNEL_AIVEC,46,66,12.260,1784164803497838.091	,1784164803497850.351	
0,mul_kernel,KERNEL_AIVEC,46,67,12.840,1784164803497851.071	,1784164803497863.911	
0,mul_kernel,KERNEL_AIVEC,46,68,12.200,1784164803497864.591	,1784164803497876.792	
0,mul_kernel,KERNEL_AIVEC,46,69,12.900,1784164803497877.452	,1784164803497890.352	
0,mul_kernel,KERNEL_AIVEC,46,70,12.220,1784164803497891.032	,1784164803497903.252	
0,mul_kernel,KERNEL_AIVEC,46,71,12.800,1784164803497903.972	,1784164803497916.772	
0,mul_kernel,KERNEL_AIVEC,46,72,12.340,1784164803497917.472	,1784164803497929.813	
0,mul_kernel,KERNEL_AIVEC,46,73,12.640,1784164803497930.513	,1784164803497943.153	
0,mul_kernel,KERNEL_AIVEC,46,74,12.060,1784164803497943.853	,1784164803497955.913	
0,mul_kernel,KERNEL_AIVEC,46,75,12.800,1784164803497956.573	,1784164803497969.373	
0,mul_kernel,KERNEL_AIVEC,46,76,12.340,1784164803497970.033	,1784164803497982.374	
