Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,33.7,1,33.7,33.7,33.7,0
host,acl,aclrtCreateEvent,8.07,2,4.035,2.09,5.98,3.783
host,acl,aclrtCreateStream,1127.77,1,1127.77,1127.77,1127.77,0
host,acl,aclrtDestroyEvent,8.88,2,4.44,3.31,5.57,1.277
host,acl,aclrtDestroyStream,815.62,1,815.62,815.62,815.62,0
host,acl,aclrtFree,11.33,4,2.833,1.46,5.58,2.604
host,acl,aclrtLaunchKernelWithHostArgs,1759.3,700,2.513,1.82,213.3,63.984
host,acl,aclrtMalloc,152.33,4,38.083,11.73,64.57,352.354
host,acl,aclrtMemcpy,666.53,4,166.633,30.55,423.16,22896.16
host,acl,aclrtRecordEvent,203.18,10,20.318,6.54,82.86,443.855
host,acl,aclrtResetDevice,474025.35,1,474025.35,474025.35,474025.35,0
host,acl,aclrtSynchronizeStream,8651.66,6,1441.943,713.09,2912.2,471841.644
