Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784164782279067.043	,1784164782279067.063	
0,mul_kernel,KERNEL_AIVEC,46,0,10.880,1784164782286179.645	,1784164782286190.525	
0,mul_kernel,KERNEL_AIVEC,46,1,8.640,1784164782286191.205	,1784164782286199.845	
0,mul_kernel,KERNEL_AIVEC,46,2,3.400,1784164782286200.605	,1784164782286204.005	
0,mul_kernel,KERNEL_AIVEC,46,3,3.580,1784164782286204.725	,1784164782286208.305	
0,mul_kernel,KERNEL_AIVEC,46,4,3.500,1784164782286208.985	,1784164782286212.485	
0,mul_kernel,KERNEL_AIVEC,46,5,3.500,1784164782286213.165	,1784164782286216.665	
0,mul_kernel,KERNEL_AIVEC,46,6,3.380,1784164782286219.346	,1784164782286222.726	
0,mul_kernel,KERNEL_AIVEC,46,7,3.460,1784164782286226.046	,1784164782286229.506	
0,mul_kernel,KERNEL_AIVEC,46,8,3.400,1784164782286232.206	,1784164782286235.606	
0,mul_kernel,KERNEL_AIVEC,46,9,3.400,1784164782286238.786	,1784164782286242.186	
0,mul_kernel,KERNEL_AIVEC,46,10,3.360,1784164782286245.546	,1784164782286248.906	
0,mul_kernel,KERNEL_AIVEC,46,11,3.440,1784164782286251.886	,1784164782286255.326	
0,mul_kernel,KERNEL_AIVEC,46,12,3.460,1784164782286258.486	,1784164782286261.946	
0,mul_kernel,KERNEL_AIVEC,46,13,3.500,1784164782286265.046	,1784164782286268.547	
0,mul_kernel,KERNEL_AIVEC,46,14,3.420,1784164782286271.507	,1784164782286274.927	
0,mul_kernel,KERNEL_AIVEC,46,15,3.440,1784164782286277.807	,1784164782286281.247	
0,mul_kernel,KERNEL_AIVEC,46,16,3.420,1784164782286284.267	,1784164782286287.687	
0,mul_kernel,KERNEL_AIVEC,46,17,3.440,1784164782286290.707	,1784164782286294.147	
0,mul_kernel,KERNEL_AIVEC,46,18,3.380,1784164782286297.047	,1784164782286300.427	
0,mul_kernel,KERNEL_AIVEC,46,19,3.480,1784164782286303.527	,1784164782286307.007	
0,mul_kernel,KERNEL_AIVEC,46,20,3.480,1784164782286309.847	,1784164782286313.327	
0,mul_kernel,KERNEL_AIVEC,46,21,3.600,1784164782286316.387	,1784164782286319.988	
0,mul_kernel,KERNEL_AIVEC,46,22,3.440,1784164782286322.628	,1784164782286326.068	
0,mul_kernel,KERNEL_AIVEC,46,23,3.900,1784164782286329.088	,1784164782286332.988	
0,mul_kernel,KERNEL_AIVEC,46,24,3.380,1784164782286335.488	,1784164782286338.868	
0,mul_kernel,KERNEL_AIVEC,46,25,3.340,1784164782286341.768	,1784164782286345.108	
0,mul_kernel,KERNEL_AIVEC,46,26,3.380,1784164782286348.148	,1784164782286351.528	
0,mul_kernel,KERNEL_AIVEC,46,27,3.420,1784164782286354.308	,1784164782286357.728	
0,mul_kernel,KERNEL_AIVEC,46,28,3.400,1784164782286360.948	,1784164782286364.348	
0,mul_kernel,KERNEL_AIVEC,46,29,3.400,1784164782286367.389	,1784164782286370.789	
0,mul_kernel,KERNEL_AIVEC,46,30,3.480,1784164782286373.689	,1784164782286377.169	
0,mul_kernel,KERNEL_AIVEC,46,31,3.440,1784164782286380.089	,1784164782286383.529	
0,mul_kernel,KERNEL_AIVEC,46,32,3.520,1784164782286386.609	,1784164782286390.129	
0,mul_kernel,KERNEL_AIVEC,46,33,3.540,1784164782286393.229	,1784164782286396.769	
0,mul_kernel,KERNEL_AIVEC,46,34,3.480,1784164782286399.729	,1784164782286403.209	
0,mul_kernel,KERNEL_AIVEC,46,35,3.500,1784164782286406.469	,1784164782286409.969	
0,mul_kernel,KERNEL_AIVEC,46,36,3.400,1784164782286413.249	,1784164782286416.649	
0,mul_kernel,KERNEL_AIVEC,46,37,3.560,1784164782286419.730	,1784164782286423.290	
0,mul_kernel,KERNEL_AIVEC,46,38,3.320,1784164782286426.430	,1784164782286429.750	
0,mul_kernel,KERNEL_AIVEC,46,39,3.540,1784164782286433.010	,1784164782286436.550	
0,mul_kernel,KERNEL_AIVEC,46,40,3.480,1784164782286439.590	,1784164782286443.070	
0,mul_kernel,KERNEL_AIVEC,46,41,3.380,1784164782286446.050	,1784164782286449.430	
0,mul_kernel,KERNEL_AIVEC,46,42,3.460,1784164782286452.710	,1784164782286456.170	
0,mul_kernel,KERNEL_AIVEC,46,43,3.460,1784164782286459.170	,1784164782286462.630	
0,mul_kernel,KERNEL_AIVEC,46,44,3.360,1784164782286465.670	,1784164782286469.031	
0,mul_kernel,KERNEL_AIVEC,46,45,3.380,1784164782286472.391	,1784164782286475.771	
0,mul_kernel,KERNEL_AIVEC,46,46,3.380,1784164782286478.931	,1784164782286482.311	
0,mul_kernel,KERNEL_AIVEC,46,47,3.400,1784164782286485.551	,1784164782286488.951	
0,mul_kernel,KERNEL_AIVEC,46,48,3.440,1784164782286491.871	,1784164782286495.311	
0,mul_kernel,KERNEL_AIVEC,46,49,3.480,1784164782286498.511	,1784164782286501.991	
0,mul_kernel,KERNEL_AIVEC,46,50,3.480,1784164782286504.831	,1784164782286508.311	
0,mul_kernel,KERNEL_AIVEC,46,51,4.060,1784164782286511.271	,1784164782286515.331	
0,mul_kernel,KERNEL_AIVEC,46,52,3.400,1784164782286517.812	,1784164782286521.212	
0,mul_kernel,KERNEL_AIVEC,46,53,3.460,1784164782286524.252	,1784164782286527.712	
0,mul_kernel,KERNEL_AIVEC,46,54,3.380,1784164782286530.732	,1784164782286534.112	
0,mul_kernel,KERNEL_AIVEC,46,55,3.460,1784164782286536.972	,1784164782286540.432	
0,mul_kernel,KERNEL_AIVEC,46,56,3.480,1784164782286543.472	,1784164782286546.952	
0,mul_kernel,KERNEL_AIVEC,46,57,3.400,1784164782286549.952	,1784164782286553.352	
0,mul_kernel,KERNEL_AIVEC,46,58,3.420,1784164782286556.312	,1784164782286559.732	
0,mul_kernel,KERNEL_AIVEC,46,59,3.500,1784164782286562.732	,1784164782286566.232	
0,mul_kernel,KERNEL_AIVEC,46,60,3.340,1784164782286569.273	,1784164782286572.613	
0,mul_kernel,KERNEL_AIVEC,46,61,3.360,1784164782286575.773	,1784164782286579.133	
0,mul_kernel,KERNEL_AIVEC,46,62,3.360,1784164782286581.973	,1784164782286585.333	
0,mul_kernel,KERNEL_AIVEC,46,63,3.420,1784164782286588.513	,1784164782286591.933	
0,mul_kernel,KERNEL_AIVEC,46,64,3.420,1784164782286595.073	,1784164782286598.493	
0,mul_kernel,KERNEL_AIVEC,46,65,3.480,1784164782286601.613	,1784164782286605.093	
0,mul_kernel,KERNEL_AIVEC,46,66,3.380,1784164782286608.253	,1784164782286611.633	
0,mul_kernel,KERNEL_AIVEC,46,67,3.460,1784164782286614.773	,1784164782286618.234	
0,mul_kernel,KERNEL_AIVEC,46,68,3.480,1784164782286621.314	,1784164782286624.794	
0,mul_kernel,KERNEL_AIVEC,46,69,3.960,1784164782286627.754	,1784164782286631.714	
0,mul_kernel,KERNEL_AIVEC,46,70,3.340,1784164782286634.514	,1784164782286637.854	
0,mul_kernel,KERNEL_AIVEC,46,71,3.460,1784164782286640.974	,1784164782286644.434	
0,mul_kernel,KERNEL_AIVEC,46,72,3.420,1784164782286647.434	,1784164782286650.854	
0,mul_kernel,KERNEL_AIVEC,46,73,3.400,1784164782286653.954	,1784164782286657.354	
0,mul_kernel,KERNEL_AIVEC,46,74,3.360,1784164782286660.374	,1784164782286663.734	
0,mul_kernel,KERNEL_AIVEC,46,75,3.440,1784164782286666.914	,1784164782286670.355	
0,mul_kernel,KERNEL_AIVEC,46,76,3.440,1784164782286673.295	,1784164782286676.735	
0,mul_kernel,KERNEL_AIVEC,46,77,3.580,1784164782286679.935	,1784164782286683.515	
0,mul_kernel,KERNEL_AIVEC,46,78,3.400,1784164782286686.295	,1784164782286689.695	
0,mul_kernel,KERNEL_AIVEC,46,79,3.540,1784164782286692.695	,1784164782286696.235	
0,mul_kernel,KERNEL_AIVEC,46,80,3.400,1784164782286699.135	,1784164782286702.535	
0,mul_kernel,KERNEL_AIVEC,46,81,3.460,1784164782286705.455	,1784164782286708.915	
0,mul_kernel,KERNEL_AIVEC,46,82,3.500,1784164782286711.915	,1784164782286715.415	
0,mul_kernel,KERNEL_AIVEC,46,83,3.500,1784164782286718.096	,1784164782286721.596	
0,mul_kernel,KERNEL_AIVEC,46,84,3.480,1784164782286724.616	,1784164782286728.096	
0,mul_kernel,KERNEL_AIVEC,46,85,3.520,1784164782286731.096	,1784164782286734.616	
0,mul_kernel,KERNEL_AIVEC,46,86,3.380,1784164782286737.576	,1784164782286740.956	
0,mul_kernel,KERNEL_AIVEC,46,87,3.500,1784164782286743.956	,1784164782286747.456	
0,mul_kernel,KERNEL_AIVEC,46,88,3.360,1784164782286750.196	,1784164782286753.556	
0,mul_kernel,KERNEL_AIVEC,46,89,3.320,1784164782286756.576	,1784164782286759.896	
0,mul_kernel,KERNEL_AIVEC,46,90,3.400,1784164782286762.716	,1784164782286766.116	
0,mul_kernel,KERNEL_AIVEC,46,91,3.400,1784164782286769.117	,1784164782286772.517	
0,mul_kernel,KERNEL_AIVEC,46,92,3.420,1784164782286775.557	,1784164782286778.977	
0,mul_kernel,KERNEL_AIVEC,46,93,3.860,1784164782286781.837	,1784164782286785.697	
0,mul_kernel,KERNEL_AIVEC,46,94,3.440,1784164782286788.237	,1784164782286791.677	
0,mul_kernel,KERNEL_AIVEC,46,95,3.420,1784164782286794.357	,1784164782286797.777	
0,mul_kernel,KERNEL_AIVEC,46,96,3.460,1784164782286801.137	,1784164782286804.597	
0,mul_kernel,KERNEL_AIVEC,46,97,3.520,1784164782286807.677	,1784164782286811.197	
0,mul_kernel,KERNEL_AIVEC,46,98,3.500,1784164782286814.177	,1784164782286817.678	
0,mul_kernel,KERNEL_AIVEC,46,99,3.520,1784164782286820.838	,1784164782286824.358	
0,mul_kernel,KERNEL_AIVEC,46,100,3.400,1784164782286827.378	,1784164782286830.778	
0,mul_kernel,KERNEL_AIVEC,46,101,3.440,1784164782286834.218	,1784164782286837.658	
0,mul_kernel,KERNEL_AIVEC,46,102,3.320,1784164782286840.698	,1784164782286844.018	
0,mul_kernel,KERNEL_AIVEC,46,103,3.420,1784164782286847.358	,1784164782286850.778	
0,mul_kernel,KERNEL_AIVEC,46,104,3.460,1784164782286853.758	,1784164782286857.218	
