Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,44.96,100,0.45,0.33,1.77,0.022
host,acl,aclmdlRICaptureThreadExchangeMode,3.14,2,1.57,1.51,1.63,0.004
host,acl,aclrtCreateEventExWithFlag,3.4,1,3.4,3.4,3.4,0
host,acl,aclrtCreateStreamWithConfig,1852.72,2,926.36,843.66,1009.06,6839.29
host,acl,aclrtCtxSetSysParamOpt,2.49,2,1.245,0.6,1.89,0.416
host,acl,aclrtDestroyStreamForce,2485.01,1,2485.01,2485.01,2485.01,0
host,acl,aclrtGetCurrentContext,1.22,1,1.22,1.22,1.22,0
host,acl,aclrtGetStreamResLimit,88.12,204,0.432,0.29,1.82,0.027
host,acl,aclrtMemcpy,62.79,2,31.395,30.03,32.76,1.863
host,acl,aclrtRecordEvent,1312.54,100,13.125,6.07,201.86,725.018
host,acl,aclrtResetDevice,2.57,1,2.57,2.57,2.57,0
host,acl,aclrtSetDevice,41.05,1,41.05,41.05,41.05,0
host,acl,aclrtSetOpExecuteTimeOutV2,1192.51,1,1192.51,1192.51,1192.51,0
host,acl,aclrtSetStreamFailureMode,5.03,2,2.515,2.18,2.85,0.112
host,acl,aclrtStreamWaitEvent,827.48,200,4.137,0.9,16.3,3.596
host,acl,aclrtSynchronizeDeviceWithTimeout,81.53,4,20.383,7.66,52.83,352.872
host,acl,aclrtSynchronizeStream,4.94,2,2.47,1.88,3.06,0.348
host,node,launch,1489.24,300,4.964,2.27,95.62,30.432
