Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784164913531383.461	,1784164913531383.461	
0,N/A,TASK_TIMEOUT_SET,49,4,101.602,1784164913537697.007	,1784164913537798.609	
0,N/A,KERNEL_AICPU,43,0,3083.121,1784164915219123.042	,1784164915222206.164	
0,N/A,EVENT_RECORD,46,0,0.020,1784164915222429.808	,1784164915222429.828	
0,N/A,EVENT_WAIT,43,1,0.020,1784164915222433.168	,1784164915222433.188	
0,N/A,EVENT_WAIT,42,0,0.020,1784164915222437.168	,1784164915222437.188	
0,N/A,KERNEL_AICPU,42,1,294.885,1784164915222446.529	,1784164915222741.415	
0,N/A,KERNEL_AICPU,43,2,330.946,1784164915222458.969	,1784164915222789.916	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,221.724,1784164915222558.611	,1784164915222780.335	
0,N/A,EVENT_WAIT,43,3,3.380,1784164915222892.858	,1784164915222896.238	
0,N/A,EVENT_RECORD,46,2,0.020,1784164915222895.798	,1784164915222895.818	
0,N/A,EVENT_WAIT,42,2,0.000,1784164915222900.158	,1784164915222900.158	
0,N/A,KERNEL_AICPU,42,3,97.001,1784164915222906.818	,1784164915223003.820	
0,N/A,KERNEL_AICPU,43,4,137.542,1784164915222908.818	,1784164915223046.361	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,111.702,1784164915222921.018	,1784164915223032.720	
0,N/A,EVENT_WAIT,43,5,2.060,1784164915223066.401	,1784164915223068.461	
0,N/A,EVENT_RECORD,46,4,0.020,1784164915223068.021	,1784164915223068.041	
0,N/A,EVENT_WAIT,42,4,0.000,1784164915223073.501	,1784164915223073.501	
0,N/A,KERNEL_AICPU,42,5,53.441,1784164915223079.961	,1784164915223133.402	
0,N/A,KERNEL_AICPU,43,6,85.841,1784164915223080.901	,1784164915223166.743	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,66.501,1784164915223093.682	,1784164915223160.183	
