Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,47.45,100,0.474,0.37,1.71,0.021
host,acl,aclmdlRICaptureThreadExchangeMode,3.62,2,1.81,1.51,2.11,0.09
host,acl,aclrtCreateEventExWithFlag,3.57,1,3.57,3.57,3.57,0
host,acl,aclrtCreateStreamWithConfig,1887.38,2,943.69,731.58,1155.8,44990.652
host,acl,aclrtCtxSetSysParamOpt,2.18,2,1.09,0.52,1.66,0.325
host,acl,aclrtDestroyStreamForce,2457.24,1,2457.24,2457.24,2457.24,0
host,acl,aclrtGetCurrentContext,1.52,1,1.52,1.52,1.52,0
host,acl,aclrtGetStreamResLimit,92.62,204,0.454,0.29,1.93,0.034
host,acl,aclrtMemcpy,1885.47,2,942.735,936,949.47,45.36
host,acl,aclrtRecordEvent,1460.72,100,14.607,6.31,226.18,992.435
host,acl,aclrtResetDevice,2.75,1,2.75,2.75,2.75,0
host,acl,aclrtSetDevice,40.87,1,40.87,40.87,40.87,0
host,acl,aclrtSetOpExecuteTimeOutV2,1188.55,1,1188.55,1188.55,1188.55,0
host,acl,aclrtSetStreamFailureMode,4.31,2,2.155,1.87,2.44,0.081
host,acl,aclrtStreamWaitEvent,822.98,200,4.115,0.82,11.86,1.722
host,acl,aclrtSynchronizeDeviceWithTimeout,111.99,4,27.998,8,82.24,982.738
host,acl,aclrtSynchronizeStream,4.97,2,2.485,2.35,2.62,0.018
host,node,launch,1498.32,300,4.994,2.16,103.58,35.618
