Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784165016196719.489	,1784165016196719.509	
0,N/A,TASK_TIMEOUT_SET,49,4,99.121,1784165016203730.069	,1784165016203829.191	
0,N/A,KERNEL_AICPU,43,0,3059.381,1784165017913857.777	,1784165017916917.158	
0,N/A,EVENT_WAIT,43,1,10.740,1784165017917141.623	,1784165017917152.363	
0,N/A,EVENT_WAIT,42,0,3.700,1784165017917148.363	,1784165017917152.063	
0,N/A,EVENT_RECORD,46,0,0.020,1784165017917151.623	,1784165017917151.643	
0,N/A,KERNEL_AICPU,42,1,313.606,1784165017917160.243	,1784165017917473.849	
0,N/A,KERNEL_AICPU,43,2,374.587,1784165017917171.083	,1784165017917545.671	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,258.585,1784165017917278.226	,1784165017917536.811	
0,N/A,EVENT_RECORD,46,2,0.020,1784165017917630.313	,1784165017917630.333	
0,N/A,EVENT_WAIT,43,3,0.020,1784165017917636.933	,1784165017917636.953	
0,N/A,EVENT_WAIT,42,2,0.020,1784165017917637.533	,1784165017917637.553	
0,N/A,KERNEL_AICPU,42,3,107.862,1784165017917644.453	,1784165017917752.315	
0,N/A,KERNEL_AICPU,43,4,164.923,1784165017917651.513	,1784165017917816.436	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,148.622,1784165017917660.773	,1784165017917809.396	
0,N/A,EVENT_RECORD,46,4,0.020,1784165017917830.397	,1784165017917830.417	
0,N/A,EVENT_WAIT,43,5,0.020,1784165017917833.477	,1784165017917833.497	
0,N/A,EVENT_WAIT,42,4,0.020,1784165017917837.837	,1784165017917837.857	
0,N/A,KERNEL_AICPU,43,6,142.502,1784165017917840.917	,1784165017917983.420	
0,N/A,KERNEL_AICPU,42,5,69.921,1784165017917844.497	,1784165017917914.418	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,114.822,1784165017917855.037	,1784165017917969.859	
0,N/A,EVENT_RECORD,46,6,0.020,1784165017917997.780	,1784165017917997.800	
0,N/A,EVENT_WAIT,43,7,0.020,1784165017918001.120	,1784165017918001.140	
0,N/A,EVENT_WAIT,42,6,0.020,1784165017918004.800	,1784165017918004.820	
0,N/A,KERNEL_AICPU,42,7,59.141,1784165017918011.380	,1784165017918070.521	
0,N/A,KERNEL_AICPU,43,8,105.142,1784165017918016.920	,1784165017918122.062	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,93.301,1784165017918024.821	,1784165017918118.122	
0,N/A,EVENT_RECORD,46,8,0.020,1784165017918176.724	,1784165017918176.744	
0,N/A,EVENT_WAIT,43,9,0.020,1784165017918181.164	,1784165017918181.184	
0,N/A,EVENT_WAIT,42,8,0.020,1784165017918183.484	,1784165017918183.504	
0,N/A,KERNEL_AICPU,43,10,114.322,1784165017918187.704	,1784165017918302.026	
0,N/A,KERNEL_AICPU,42,9,51.901,1784165017918189.964	,1784165017918241.865	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,100.262,1784165017918195.924	,1784165017918296.186	
0,N/A,EVENT_RECORD,46,10,0.020,1784165017918333.927	,1784165017918333.947	
0,N/A,EVENT_WAIT,43,11,0.000,1784165017918337.247	,1784165017918337.247	
0,N/A,EVENT_WAIT,42,10,0.020,1784165017918340.907	,1784165017918340.927	
0,N/A,KERNEL_AICPU,42,11,57.601,1784165017918347.387	,1784165017918404.988	
0,N/A,KERNEL_AICPU,43,12,110.642,1784165017918353.067	,1784165017918463.709	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,95.721,1784165017918360.607	,1784165017918456.329	
0,N/A,EVENT_RECORD,46,12,0.020,1784165017918486.470	,1784165017918486.490	
0,N/A,EVENT_WAIT,43,13,0.020,1784165017918492.770	,1784165017918492.790	
0,N/A,EVENT_WAIT,42,12,0.020,1784165017918493.990	,1784165017918494.010	
0,N/A,KERNEL_AICPU,43,14,122.862,1784165017918499.330	,1784165017918622.192	
0,N/A,KERNEL_AICPU,42,13,62.581,1784165017918500.590	,1784165017918563.171	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,13,106.402,1784165017918512.630	,1784165017918619.032	
0,N/A,EVENT_RECORD,46,14,0.000,1784165017918647.533	,1784165017918647.533	
0,N/A,EVENT_WAIT,43,15,0.020,1784165017918651.713	,1784165017918651.733	
0,N/A,EVENT_WAIT,42,14,0.020,1784165017918654.553	,1784165017918654.573	
0,N/A,KERNEL_AICPU,43,16,105.142,1784165017918658.153	,1784165017918763.295	
0,N/A,KERNEL_AICPU,42,15,35.760,1784165017918661.013	,1784165017918696.774	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,15,89.241,1784165017918666.773	,1784165017918756.015	
0,N/A,EVENT_RECORD,46,16,0.000,1784165017918785.716	,1784165017918785.716	
0,N/A,EVENT_WAIT,43,17,0.020,1784165017918789.036	,1784165017918789.056	
0,N/A,EVENT_WAIT,42,16,0.020,1784165017918792.516	,1784165017918792.536	
0,N/A,KERNEL_AICPU,43,18,119.582,1784165017918796.396	,1784165017918915.978	
0,N/A,KERNEL_AICPU,42,17,52.161,1784165017918798.816	,1784165017918850.977	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,17,99.902,1784165017918810.356	,1784165017918910.258	
0,N/A,EVENT_RECORD,46,18,0.020,1784165017918924.078	,1784165017918924.098	
0,N/A,EVENT_WAIT,43,19,0.020,1784165017918927.659	,1784165017918927.679	
0,N/A,EVENT_WAIT,42,18,0.020,1784165017918930.899	,1784165017918930.919	
0,N/A,KERNEL_AICPU,43,20,108.082,1784165017918934.979	,1784165017919043.061	
0,N/A,KERNEL_AICPU,42,19,44.580,1784165017918937.519	,1784165017918982.100	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,19,90.341,1784165017918948.899	,1784165017919039.241	
0,N/A,EVENT_RECORD,46,20,0.020,1784165017919059.481	,1784165017919059.501	
0,N/A,EVENT_WAIT,43,21,0.000,1784165017919062.841	,1784165017919062.841	
0,N/A,EVENT_WAIT,42,20,0.020,1784165017919066.341	,1784165017919066.361	
0,N/A,KERNEL_AICPU,43,22,109.982,1784165017919070.221	,1784165017919180.204	
0,N/A,KERNEL_AICPU,42,21,43.420,1784165017919072.841	,1784165017919116.262	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,21,90.141,1784165017919084.162	,1784165017919174.303	
0,N/A,EVENT_RECORD,46,22,0.020,1784165017919204.744	,1784165017919204.764	
0,N/A,EVENT_WAIT,43,23,0.020,1784165017919210.924	,1784165017919210.944	
0,N/A,EVENT_WAIT,42,22,0.020,1784165017919212.084	,1784165017919212.104	
0,N/A,KERNEL_AICPU,43,24,115.302,1784165017919217.264	,1784165017919332.567	
0,N/A,KERNEL_AICPU,42,23,55.021,1784165017919218.424	,1784165017919273.445	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,23,96.201,1784165017919230.725	,1784165017919326.927	
0,N/A,EVENT_RECORD,46,24,0.020,1784165017919342.427	,1784165017919342.447	
0,N/A,EVENT_WAIT,43,25,0.000,1784165017919347.147	,1784165017919347.147	
0,N/A,EVENT_WAIT,42,24,0.020,1784165017919349.287	,1784165017919349.307	
0,N/A,KERNEL_AICPU,43,26,99.501,1784165017919353.547	,1784165017919453.049	
0,N/A,KERNEL_AICPU,42,25,42.560,1784165017919355.727	,1784165017919398.288	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,25,87.661,1784165017919362.027	,1784165017919449.689	
0,N/A,EVENT_RECORD,46,26,0.020,1784165017919489.430	,1784165017919489.450	
0,N/A,EVENT_WAIT,43,27,0.020,1784165017919492.850	,1784165017919492.870	
0,N/A,EVENT_WAIT,42,26,0.020,1784165017919496.150	,1784165017919496.170	
0,N/A,KERNEL_AICPU,42,27,58.241,1784165017919502.530	,1784165017919560.771	
0,N/A,KERNEL_AICPU,43,28,110.522,1784165017919508.510	,1784165017919619.032	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,27,97.021,1784165017919515.750	,1784165017919612.772	
0,N/A,EVENT_RECORD,46,28,0.020,1784165017919629.213	,1784165017919629.233	
0,N/A,EVENT_WAIT,43,29,0.020,1784165017919633.793	,1784165017919633.813	
0,N/A,EVENT_WAIT,42,28,0.020,1784165017919635.873	,1784165017919635.893	
0,N/A,KERNEL_AICPU,42,29,38.800,1784165017919642.273	,1784165017919681.074	
0,N/A,KERNEL_AICPU,43,30,87.381,1784165017919651.253	,1784165017919738.635	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,29,77.701,1784165017919655.393	,1784165017919733.095	
0,N/A,EVENT_RECORD,46,30,0.020,1784165017919769.275	,1784165017919769.295	
0,N/A,EVENT_WAIT,43,31,0.020,1784165017919773.615	,1784165017919773.635	
0,N/A,EVENT_WAIT,42,30,0.020,1784165017919775.915	,1784165017919775.935	
0,N/A,KERNEL_AICPU,42,31,52.781,1784165017919782.276	,1784165017919835.057	
0,N/A,KERNEL_AICPU,43,32,97.901,1784165017919791.676	,1784165017919889.578	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,31,90.981,1784165017919795.216	,1784165017919886.198	
0,N/A,EVENT_RECORD,46,32,0.020,1784165017919917.958	,1784165017919917.978	
0,N/A,EVENT_WAIT,43,33,0.020,1784165017919922.378	,1784165017919922.398	
0,N/A,EVENT_WAIT,42,32,0.000,1784165017919924.818	,1784165017919924.818	
0,N/A,KERNEL_AICPU,42,33,70.881,1784165017919931.539	,1784165017920002.420	
0,N/A,KERNEL_AICPU,43,34,114.362,1784165017919937.979	,1784165017920052.341	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,33,101.862,1784165017919944.879	,1784165017920046.741	
0,N/A,EVENT_RECORD,46,34,0.020,1784165017920084.102	,1784165017920084.122	
0,N/A,EVENT_WAIT,43,35,0.000,1784165017920088.282	,1784165017920088.282	
0,N/A,EVENT_WAIT,42,34,0.020,1784165017920090.982	,1784165017920091.002	
0,N/A,KERNEL_AICPU,43,36,99.421,1784165017920095.842	,1784165017920195.264	
0,N/A,KERNEL_AICPU,42,35,41.080,1784165017920097.642	,1784165017920138.723	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,35,79.521,1784165017920110.142	,1784165017920189.664	
0,N/A,EVENT_RECORD,46,36,0.020,1784165017920223.544	,1784165017920223.564	
0,N/A,EVENT_WAIT,43,37,0.020,1784165017920227.145	,1784165017920227.165	
0,N/A,EVENT_WAIT,42,36,0.020,1784165017920230.625	,1784165017920230.645	
0,N/A,KERNEL_AICPU,43,38,102.642,1784165017920234.385	,1784165017920337.027	
0,N/A,KERNEL_AICPU,42,37,42.480,1784165017920237.225	,1784165017920279.706	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,37,84.621,1784165017920248.745	,1784165017920333.367	
0,N/A,EVENT_RECORD,46,38,0.020,1784165017920357.327	,1784165017920357.347	
0,N/A,EVENT_WAIT,43,39,0.020,1784165017920360.487	,1784165017920360.507	
0,N/A,EVENT_WAIT,42,38,0.020,1784165017920364.347	,1784165017920364.367	
0,N/A,KERNEL_AICPU,43,40,115.102,1784165017920367.067	,1784165017920482.170	
