Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,44.18,100,0.442,0.36,1.57,0.016
host,acl,aclmdlRICaptureThreadExchangeMode,3.09,2,1.545,1.53,1.56,0
host,acl,aclrtCreateEventExWithFlag,3.05,1,3.05,3.05,3.05,0
host,acl,aclrtCreateStreamWithConfig,1869.21,2,934.605,809.16,1060.05,15736.448
host,acl,aclrtCtxSetSysParamOpt,6.52,2,3.26,0.58,5.94,7.182
host,acl,aclrtDestroyStreamForce,1577.23,1,1577.23,1577.23,1577.23,0
host,acl,aclrtGetCurrentContext,1.01,1,1.01,1.01,1.01,0
host,acl,aclrtGetStreamResLimit,87.07,204,0.427,0.29,1.63,0.023
host,acl,aclrtMemcpy,95.82,2,47.91,47.8,48.02,0.012
host,acl,aclrtRecordEvent,1146.45,100,11.465,5.84,137.29,325.27
host,acl,aclrtResetDevice,2.2,1,2.2,2.2,2.2,0
host,acl,aclrtSetDevice,41.58,1,41.58,41.58,41.58,0
host,acl,aclrtSetOpExecuteTimeOutV2,1199.29,1,1199.29,1199.29,1199.29,0
host,acl,aclrtSetStreamFailureMode,4.37,2,2.185,1.95,2.42,0.055
host,acl,aclrtStreamWaitEvent,861.7,200,4.308,3.04,18.06,4.454
host,acl,aclrtSynchronizeDeviceWithTimeout,73.91,4,18.478,6.69,45.94,257.482
host,acl,aclrtSynchronizeStream,4.92,2,2.46,2.05,2.87,0.168
host,node,launch,1471.93,300,4.906,2.8,99.28,32.109
