Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784164939659537.568	,1784164939659537.568	
0,N/A,TASK_TIMEOUT_SET,49,4,109.022,1784164939665732.952	,1784164939665841.974	
0,N/A,KERNEL_AICPU,43,0,2915.338,1784164941362169.926	,1784164941365085.265	
0,N/A,EVENT_RECORD,46,0,0.020,1784164941365350.910	,1784164941365350.930	
0,N/A,EVENT_WAIT,43,1,0.020,1784164941365354.130	,1784164941365354.150	
0,N/A,EVENT_WAIT,42,0,0.020,1784164941365358.490	,1784164941365358.510	
0,N/A,KERNEL_AICPU,42,1,295.165,1784164941365365.110	,1784164941365660.276	
0,N/A,KERNEL_AICPU,43,2,327.086,1784164941365378.011	,1784164941365705.097	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,214.444,1784164941365481.213	,1784164941365695.657	
0,N/A,EVENT_WAIT,43,3,3.720,1784164941365814.979	,1784164941365818.699	
0,N/A,EVENT_RECORD,46,2,0.020,1784164941365818.239	,1784164941365818.259	
0,N/A,EVENT_WAIT,42,2,0.020,1784164941365822.239	,1784164941365822.259	
0,N/A,KERNEL_AICPU,42,3,95.441,1784164941365828.720	,1784164941365924.162	
0,N/A,KERNEL_AICPU,43,4,134.682,1784164941365831.360	,1784164941365966.042	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,109.002,1784164941365842.580	,1784164941365951.582	
0,N/A,EVENT_WAIT,43,5,3.120,1784164941365992.123	,1784164941365995.243	
0,N/A,EVENT_RECORD,46,4,0.020,1784164941365994.783	,1784164941365994.803	
0,N/A,EVENT_WAIT,42,4,0.020,1784164941365999.303	,1784164941365999.323	
0,N/A,KERNEL_AICPU,42,5,60.301,1784164941366005.883	,1784164941366066.184	
0,N/A,KERNEL_AICPU,43,6,91.761,1784164941366007.703	,1784164941366099.465	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,73.681,1784164941366019.863	,1784164941366093.545	
0,N/A,EVENT_WAIT,43,7,3.260,1784164941366177.647	,1784164941366180.907	
0,N/A,EVENT_RECORD,46,6,0.020,1784164941366180.447	,1784164941366180.467	
0,N/A,EVENT_WAIT,42,6,0.000,1784164941366184.807	,1784164941366184.807	
0,N/A,KERNEL_AICPU,42,7,40.340,1784164941366191.307	,1784164941366231.648	
0,N/A,KERNEL_AICPU,43,8,69.821,1784164941366193.307	,1784164941366263.128	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,54.181,1784164941366205.487	,1784164941366259.668	
0,N/A,EVENT_WAIT,43,9,2.560,1784164941366329.710	,1784164941366332.270	
0,N/A,EVENT_RECORD,46,8,0.020,1784164941366331.730	,1784164941366331.750	
0,N/A,EVENT_WAIT,42,8,0.000,1784164941366336.790	,1784164941366336.790	
0,N/A,KERNEL_AICPU,42,9,51.021,1784164941366343.290	,1784164941366394.311	
0,N/A,KERNEL_AICPU,43,10,86.321,1784164941366344.610	,1784164941366430.932	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,65.061,1784164941366357.330	,1784164941366422.391	
0,N/A,EVENT_RECORD,46,10,0.020,1784164941366476.753	,1784164941366476.773	
0,N/A,EVENT_WAIT,43,11,0.020,1784164941366477.933	,1784164941366477.953	
0,N/A,EVENT_WAIT,42,10,0.000,1784164941366483.873	,1784164941366483.873	
0,N/A,KERNEL_AICPU,42,11,47.340,1784164941366490.353	,1784164941366537.694	
0,N/A,KERNEL_AICPU,43,12,74.381,1784164941366496.073	,1784164941366570.454	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,60.921,1784164941366503.913	,1784164941366564.834	
0,N/A,EVENT_WAIT,43,13,2.540,1784164941366624.355	,1784164941366626.896	
0,N/A,EVENT_RECORD,46,12,0.020,1784164941366626.436	,1784164941366626.456	
0,N/A,EVENT_WAIT,42,12,0.020,1784164941366631.536	,1784164941366631.556	
0,N/A,KERNEL_AICPU,42,13,30.260,1784164941366637.956	,1784164941366668.216	
0,N/A,KERNEL_AICPU,43,14,61.961,1784164941366639.176	,1784164941366701.137	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,13,46.320,1784164941366651.716	,1784164941366698.037	
0,N/A,EVENT_WAIT,43,15,2.900,1784164941366803.079	,1784164941366805.979	
0,N/A,EVENT_RECORD,46,14,0.000,1784164941366805.519	,1784164941366805.519	
0,N/A,EVENT_WAIT,42,14,0.020,1784164941366810.059	,1784164941366810.079	
0,N/A,KERNEL_AICPU,42,15,49.260,1784164941366816.579	,1784164941366865.840	
0,N/A,KERNEL_AICPU,43,16,81.661,1784164941366818.299	,1784164941366899.961	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,15,62.421,1784164941366830.500	,1784164941366892.921	
0,N/A,EVENT_WAIT,43,17,2.380,1784164941366949.262	,1784164941366951.642	
0,N/A,EVENT_RECORD,46,16,0.020,1784164941366951.162	,1784164941366951.182	
0,N/A,EVENT_WAIT,42,16,0.000,1784164941366956.302	,1784164941366956.302	
0,N/A,KERNEL_AICPU,42,17,37.600,1784164941366962.502	,1784164941367000.103	
0,N/A,KERNEL_AICPU,43,18,70.861,1784164941366963.722	,1784164941367034.584	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,17,53.341,1784164941366975.963	,1784164941367029.304	
0,N/A,EVENT_WAIT,43,19,3.060,1784164941367086.585	,1784164941367089.645	
0,N/A,EVENT_RECORD,46,18,0.020,1784164941367089.165	,1784164941367089.185	
0,N/A,EVENT_WAIT,42,18,0.020,1784164941367093.485	,1784164941367093.505	
0,N/A,KERNEL_AICPU,42,19,30.960,1784164941367099.905	,1784164941367130.866	
0,N/A,KERNEL_AICPU,43,20,62.621,1784164941367101.825	,1784164941367164.446	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,19,45.560,1784164941367115.245	,1784164941367160.806	
0,N/A,EVENT_RECORD,46,20,0.020,1784164941367222.287	,1784164941367222.307	
0,N/A,EVENT_WAIT,43,21,0.000,1784164941367224.487	,1784164941367224.487	
0,N/A,EVENT_WAIT,42,20,0.000,1784164941367229.308	,1784164941367229.308	
0,N/A,KERNEL_AICPU,42,21,49.400,1784164941367235.888	,1784164941367285.289	
0,N/A,KERNEL_AICPU,43,22,80.041,1784164941367238.328	,1784164941367318.369	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,21,66.501,1784164941367246.128	,1784164941367312.629	
0,N/A,EVENT_WAIT,43,23,2.920,1784164941367363.050	,1784164941367365.970	
0,N/A,EVENT_RECORD,46,22,0.020,1784164941367365.510	,1784164941367365.530	
0,N/A,EVENT_WAIT,42,22,0.020,1784164941367370.330	,1784164941367370.350	
0,N/A,KERNEL_AICPU,42,23,46.060,1784164941367376.751	,1784164941367422.811	
0,N/A,KERNEL_AICPU,43,24,78.621,1784164941367378.111	,1784164941367456.732	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,23,60.681,1784164941367390.511	,1784164941367451.192	
0,N/A,EVENT_WAIT,43,25,2.520,1784164941367502.313	,1784164941367504.833	
0,N/A,EVENT_RECORD,46,24,0.020,1784164941367504.373	,1784164941367504.393	
0,N/A,EVENT_WAIT,42,24,0.020,1784164941367509.113	,1784164941367509.133	
0,N/A,KERNEL_AICPU,42,25,30.240,1784164941367515.413	,1784164941367545.654	
0,N/A,KERNEL_AICPU,43,26,62.601,1784164941367517.033	,1784164941367579.635	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,25,46.460,1784164941367529.414	,1784164941367575.875	
0,N/A,EVENT_WAIT,43,27,2.780,1784164941367640.356	,1784164941367643.136	
0,N/A,EVENT_RECORD,46,26,0.020,1784164941367642.656	,1784164941367642.676	
0,N/A,EVENT_WAIT,42,26,0.020,1784164941367647.376	,1784164941367647.396	
0,N/A,KERNEL_AICPU,42,27,48.620,1784164941367653.836	,1784164941367702.457	
0,N/A,KERNEL_AICPU,43,28,82.341,1784164941367655.216	,1784164941367737.558	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,27,63.961,1784164941367667.356	,1784164941367731.318	
