Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,45.13,100,0.451,0.36,1.61,0.017
host,acl,aclmdlRICaptureThreadExchangeMode,3.1,2,1.55,1.44,1.66,0.012
host,acl,aclrtCreateEventExWithFlag,3.37,1,3.37,3.37,3.37,0
host,acl,aclrtCreateStreamWithConfig,3070.86,2,1535.43,733.44,2337.42,643187.96
host,acl,aclrtCtxSetSysParamOpt,2.27,2,1.135,0.62,1.65,0.265
host,acl,aclrtDestroyStreamForce,2804.08,1,2804.08,2804.08,2804.08,0
host,acl,aclrtGetCurrentContext,1.14,1,1.14,1.14,1.14,0
host,acl,aclrtGetStreamResLimit,89.62,204,0.439,0.29,1.75,0.031
host,acl,aclrtMemcpy,3405.07,2,1702.535,1623.42,1781.65,6259.183
host,acl,aclrtRecordEvent,1346.1,100,13.461,6.31,159.29,662.203
host,acl,aclrtResetDevice,2.61,1,2.61,2.61,2.61,0
host,acl,aclrtSetDevice,43.01,1,43.01,43.01,43.01,0
host,acl,aclrtSetOpExecuteTimeOutV2,1197.89,1,1197.89,1197.89,1197.89,0
host,acl,aclrtSetStreamFailureMode,4.64,2,2.32,2.07,2.57,0.063
host,acl,aclrtStreamWaitEvent,874.56,200,4.373,3.08,16.75,3.643
host,acl,aclrtSynchronizeDeviceWithTimeout,224.56,4,56.14,7.03,195.55,6481.263
host,acl,aclrtSynchronizeStream,5.25,2,2.625,2.48,2.77,0.021
host,node,launch,1518.59,300,5.062,2.15,100.31,34.706
