Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,44.43,100,0.444,0.35,1.28,0.011
host,acl,aclmdlRICaptureThreadExchangeMode,2.89,2,1.445,1.35,1.54,0.009
host,acl,aclrtCreateEventExWithFlag,3.22,1,3.22,3.22,3.22,0
host,acl,aclrtCreateStreamWithConfig,1843.62,2,921.81,732.29,1111.33,35917.83
host,acl,aclrtCtxSetSysParamOpt,2.2,2,1.1,0.51,1.69,0.348
host,acl,aclrtDestroyStreamForce,2562.68,1,2562.68,2562.68,2562.68,0
host,acl,aclrtGetCurrentContext,1.09,1,1.09,1.09,1.09,0
host,acl,aclrtGetStreamResLimit,87.52,204,0.429,0.28,1.97,0.027
host,acl,aclrtMemcpy,6573.45,2,3286.725,3177.06,3396.39,12026.412
host,acl,aclrtRecordEvent,1309.19,100,13.092,6.37,123.28,305.706
host,acl,aclrtResetDevice,2.72,1,2.72,2.72,2.72,0
host,acl,aclrtSetDevice,40.53,1,40.53,40.53,40.53,0
host,acl,aclrtSetOpExecuteTimeOutV2,1192.31,1,1192.31,1192.31,1192.31,0
host,acl,aclrtSetStreamFailureMode,4.58,2,2.29,1.94,2.64,0.123
host,acl,aclrtStreamWaitEvent,871.98,200,4.36,3.09,15.78,2.933
host,acl,aclrtSynchronizeDeviceWithTimeout,6944.06,4,1736.015,7.73,6916.03,8944186.737
host,acl,aclrtSynchronizeStream,4.95,2,2.475,2.27,2.68,0.042
host,node,launch,1465.82,300,4.886,2.51,103.79,35.173
